A,Atmospheric Sciences
AE,Atmospheric and Space Electricity
B,Biogeosciences
C,Cryosphere
DI,Study of the Earth's Deep Interior
ED,Education and Human Resources
EP,Earth and Planetary Surface Processes
G,Geodesy
GC,Global Environment Change
GP,Geomagnetism and Paleomagnetism
H,Hydrology
IN,Earth and Space Science Informatics
MR,Mineral and Rock Physics
NG,Nonlinear Geophysics
NH,Natural Hazards
NS,Near Surface Geophysics
OS,Ocean Sciences
P,Planetary Sciences
PA,Public Affairs
PP,Paleoceanography and Paleoclimatology
S,Seismology
SA,SPA-Aeronomy
SH,SPA-Solar and Heliospheric Physics
SM,SPA-Magnetospheric Physics
T,Tectonophysics
U,Union
V,Volcanology Geochemistry Petrology
