day	hour	value
1	1	300
1	2	178
1	3	233
1	4	290
1	5	374
1	6	143
1	7	180
1	8	171
1	9	219
1	10	133
1	11	132
1	12	189
1	13	186
1	14	163
1	15	150
1	16	302
1	17	90
2	1	0
2	2	218
2	3	251
2	4	318
2	5	358
2	6	1950
2	7	2584
2	8	3033
2	9	3129
2	10	2305
2	11	3258
2	12	3975
2	13	4110
2	14	4290
2	15	6325
2	16	5538
2	17	5763
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	8
3	7	10
3	8	8
3	9	16
3	10	4
3	11	13
3	12	8
3	13	10
3	14	10
3	15	0
3	16	0
3	17	0
4	1	2
4	2	3
4	3	12
4	4	18
4	5	18
4	6	0
4	7	1
4	8	0
4	9	0
4	10	1
4	11	0
4	12	4
4	13	2
4	14	1
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	14
5	7	38
5	8	36
5	9	34
5	10	33
5	11	40
5	12	40
5	13	88
5	14	114
5	15	109
5	16	79
5	17	67
6	1	0
6	2	0
6	3	0
6	4	0
6	5	5
6	6	0
6	7	0
6	8	9
6	9	1
6	10	1
6	11	1
6	12	0
6	13	1
6	14	1
6	15	0
6	16	37
6	17	0
7	1	7
7	2	3
7	3	9
7	4	12
7	5	15
7	6	1
7	7	2
7	8	6
7	9	0
7	10	1
7	11	0
7	12	4
7	13	2
7	14	0
7	15	0
7	16	0
7	17	0
8	1	188
8	2	144
8	3	164
8	4	277
8	5	260
8	6	114
8	7	102
8	8	114
8	9	115
8	10	51
8	11	163
8	12	116
8	13	162
8	14	102
8	15	63
8	16	47
8	17	127
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	2
9	7	2
9	8	4
9	9	6
9	10	1
9	11	4
9	12	4
9	13	3
9	14	2
9	15	0
9	16	0
9	17	11
10	1	2
10	2	0
10	3	0
10	4	4
10	5	4
10	6	2
10	7	4
10	8	5
10	9	7
10	10	0
10	11	3
10	12	0
10	13	0
10	14	3
10	15	0
10	16	0
10	17	0
11	1	6
11	2	5
11	3	1
11	4	2
11	5	9
11	6	19
11	7	4
11	8	11
11	9	1
11	10	0
11	11	8
11	12	9
11	13	0
11	14	1
11	15	0
11	16	0
11	17	0
12	1	494
12	2	265
12	3	338
12	4	479
12	5	556
12	6	187
12	7	210
12	8	279
12	9	236
12	10	188
12	11	268
12	12	286
12	13	337
12	14	373
12	15	850
12	16	818
12	17	452
13	1	7
13	2	0
13	3	2
13	4	6
13	5	8
13	6	0
13	7	3
13	8	4
13	9	6
13	10	0
13	11	1
13	12	0
13	13	1
13	14	0
13	15	0
13	16	0
13	17	0
14	1	263
14	2	137
14	3	235
14	4	328
14	5	238
14	6	250
14	7	372
14	8	253
14	9	188
14	10	135
14	11	318
14	12	419
14	13	321
14	14	305
14	15	351
14	16	307
14	17	247
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	16
15	11	27
15	12	39
15	13	24
15	14	48
15	15	90
15	16	32
15	17	24
16	1	0
16	2	0
16	3	1
16	4	1
16	5	0
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	1
17	6	0
17	7	0
17	8	0
17	9	0
17	10	0
17	11	0
17	12	0
17	13	0
17	14	0
17	15	0
17	16	0
17	17	0
18	1	0
18	2	0
18	3	3
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
18	12	0
18	13	0
18	14	0
18	15	0
18	16	0
18	17	0
19	1	17
19	2	7
19	3	6
19	4	85
19	5	96
19	6	4
19	7	72
19	8	41
19	9	35
19	10	4
19	11	5
19	12	11
19	13	7
19	14	16
19	15	25
19	16	35
19	17	28
20	1	10
20	2	6
20	3	10
20	4	14
20	5	12
20	6	5
20	7	6
20	8	1
20	9	9
20	10	0
20	11	10
20	12	2
20	13	4
20	14	9
20	15	44
20	16	38
20	17	0
21	1	95
21	2	64
21	3	65
21	4	71
21	5	98
21	6	73
21	7	33
21	8	41
21	9	27
21	10	32
21	11	33
21	12	32
21	13	22
21	14	27
21	15	0
21	16	88
21	17	163
22	1	14
22	2	16
22	3	9
22	4	23
22	5	26
22	6	5
22	7	7
22	8	4
22	9	17
22	10	3
22	11	2
22	12	3
22	13	12
22	14	7
22	15	0
22	16	0
22	17	0
23	1	6
23	2	6
23	3	8
23	4	10
23	5	4
23	6	3
23	7	4
23	8	3
23	9	4
23	10	4
23	11	8
23	12	2
23	13	4
23	14	1
23	15	25
23	16	0
23	17	0
24	1	28
24	2	4
24	3	17
24	4	40
24	5	35
24	6	7
24	7	20
24	8	26
24	9	11
24	10	5
24	11	21
24	12	17
24	13	27
24	14	14
24	15	5
24	16	0
24	17	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	13
25	13	18
25	14	35
25	15	25
25	16	65
25	17	56
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	4
26	7	1
26	8	1
26	9	0
26	10	0
26	11	9
26	12	1
26	13	0
26	14	5
26	15	0
26	16	13
26	17	22
27	1	10
27	2	1
27	3	3
27	4	3
27	5	7
27	6	1
27	7	3
27	8	6
27	9	8
27	10	0
27	11	9
27	12	3
27	13	6
27	14	5
27	15	0
27	16	0
27	17	0
28	1	288
28	2	136
28	3	189
28	4	296
28	5	351
28	6	84
28	7	114
28	8	147
28	9	130
28	10	14
28	11	62
28	12	59
28	13	85
28	14	31
28	15	29
28	16	11
28	17	18
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	9
29	7	17
29	8	24
29	9	13
29	10	2
29	11	26
29	12	31
29	13	77
29	14	5
29	15	30
29	16	0
29	17	0
30	1	8
30	2	0
30	3	2
30	4	6
30	5	10
30	6	0
30	7	0
30	8	1
30	9	1
30	10	0
30	11	0
30	12	0
30	13	0
30	14	0
30	15	0
30	16	35
30	17	0
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	9
31	7	3
31	8	0
31	9	6
31	10	19
31	11	3
31	12	6
31	13	7
31	14	2
31	15	16
31	16	0
31	17	15
32	1	3
32	2	1
32	3	9
32	4	6
32	5	13
32	6	1
32	7	1
32	8	1
32	9	6
32	10	6
32	11	0
32	12	3
32	13	0
32	14	4
32	15	0
32	16	0
32	17	0
33	1	0
33	2	0
33	3	1
33	4	2
33	5	1
33	6	0
33	7	1
33	8	0
33	9	0
33	10	1
33	11	0
33	12	0
33	13	0
33	14	0
33	15	0
33	16	0
33	17	0
34	1	0
34	2	0
34	3	1
34	4	1
34	5	4
34	6	0
34	7	0
34	8	0
34	9	0
34	10	0
34	11	0
34	12	0
34	13	0
34	14	0
34	15	0
34	16	0
34	17	0
35	1	3
35	2	7
35	3	7
35	4	15
35	5	1
35	6	1
35	7	2
35	8	1
35	9	1
35	10	4
35	11	0
35	12	2
35	13	1
35	14	3
35	15	0
35	16	0
35	17	0
36	1	4
36	2	2
36	3	3
36	4	5
36	5	22
36	6	1
36	7	2
36	8	2
36	9	3
36	10	1
36	11	3
36	12	5
36	13	26
36	14	10
36	15	0
36	16	0
36	17	53
37	1	6
37	2	1
37	3	4
37	4	4
37	5	6
37	6	1
37	7	0
37	8	1
37	9	1
37	10	0
37	11	6
37	12	0
37	13	2
37	14	2
37	15	0
37	16	0
37	17	0
38	1	2
38	2	2
38	3	2
38	4	0
38	5	0
38	6	0
38	7	0
38	8	2
38	9	1
38	10	1
38	11	2
38	12	2
38	13	1
38	14	2
38	15	0
38	16	0
38	17	0
39	1	1
39	2	0
39	3	0
39	4	18
39	5	11
39	6	0
39	7	8
39	8	1
39	9	9
39	10	0
39	11	0
39	12	3
39	13	1
39	14	0
39	15	0
39	16	0
39	17	0
40	1	0
40	2	0
40	3	0
40	4	0
40	5	0
40	6	0
40	7	0
40	8	0
40	9	1
40	10	0
40	11	0
40	12	0
40	13	0
40	14	0
40	15	0
40	16	0
40	17	0
41	1	0
41	2	0
41	3	1
41	4	0
41	5	0
41	6	0
41	7	0
41	8	0
41	9	0
41	10	0
41	11	0
41	12	0
41	13	0
41	14	0
41	15	0
41	16	0
41	17	0
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	1
42	7	0
42	8	0
42	9	0
42	10	0
42	11	0
42	12	0
42	13	0
42	14	0
42	15	0
42	16	0
42	17	0
43	1	4
43	2	0
43	3	0
43	4	3
43	5	3
43	6	1
43	7	0
43	8	0
43	9	0
43	10	0
43	11	0
43	12	1
43	13	2
43	14	0
43	15	0
43	16	0
43	17	0
44	1	3
44	2	0
44	3	5
44	4	18
44	5	21
44	6	2
44	7	18
44	8	11
44	9	7
44	10	1
44	11	5
44	12	2
44	13	0
44	14	0
44	15	0
44	16	0
44	17	0
45	1	3
45	2	1
45	3	4
45	4	9
45	5	22
45	6	13
45	7	8
45	8	2
45	9	21
45	10	1
45	11	5
45	12	2
45	13	4
45	14	4
45	15	0
45	16	0
45	17	0
46	1	70
46	2	21
46	3	23
46	4	32
46	5	55
46	6	9
46	7	12
46	8	12
46	9	11
46	10	7
46	11	9
46	12	12
46	13	15
46	14	23
46	15	0
46	16	30
46	17	0
47	1	6
47	2	1
47	3	1
47	4	7
47	5	21
47	6	1
47	7	2
47	8	0
47	9	3
47	10	1
47	11	15
47	12	4
47	13	4
47	14	0
47	15	0
47	16	0
47	17	0
48	1	18
48	2	5
48	3	13
48	4	5
48	5	10
48	6	2
48	7	1
48	8	4
48	9	1
48	10	1
48	11	2
48	12	3
48	13	4
48	14	6
48	15	0
48	16	0
48	17	0
