day	hour	value
1	1	5
1	2	0
1	3	2
1	4	1
1	5	4
1	6	0
1	7	4
1	8	4
1	9	5
1	10	0
1	11	3
1	12	0
1	13	3
1	14	1
1	15	0
1	16	0
1	17	0
2	1	0
2	2	0
2	3	1
2	4	2
2	5	3
2	6	4
2	7	0
2	8	6
2	9	9
2	10	9
2	11	4
2	12	10
2	13	10
2	14	5
2	15	0
2	16	84
2	17	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	9
3	7	6
3	8	7
3	9	20
3	10	6
3	11	7
3	12	9
3	13	16
3	14	16
3	15	56
3	16	0
3	17	11
4	1	26
4	2	21
4	3	4
4	4	7
4	5	18
4	6	16
4	7	5
4	8	10
4	9	11
4	10	14
4	11	10
4	12	6
4	13	10
4	14	22
4	15	0
4	16	65
4	17	67
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	0
5	10	0
5	11	1
5	12	3
5	13	4
5	14	0
5	15	0
5	16	0
5	17	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	4
6	10	0
6	11	2
6	12	0
6	13	0
6	14	1
6	15	0
6	16	0
6	17	0
7	1	20
7	2	37
7	3	19
7	4	16
7	5	14
7	6	20
7	7	2
7	8	17
7	9	43
7	10	14
7	11	10
7	12	27
7	13	28
7	14	32
7	15	0
7	16	35
7	17	95
8	1	3
8	2	4
8	3	10
8	4	6
8	5	12
8	6	4
8	7	1
8	8	4
8	9	7
8	10	6
8	11	9
8	12	3
8	13	6
8	14	12
8	15	0
8	16	0
8	17	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	7
9	7	7
9	8	8
9	9	6
9	10	19
9	11	9
9	12	15
9	13	7
9	14	33
9	15	29
9	16	0
9	17	40
10	1	2
10	2	2
10	3	2
10	4	3
10	5	10
10	6	5
10	7	13
10	8	1
10	9	25
10	10	4
10	11	4
10	12	13
10	13	10
10	14	11
10	15	36
10	16	30
10	17	42
11	1	399
11	2	383
11	3	298
11	4	408
11	5	498
11	6	534
11	7	480
11	8	553
11	9	604
11	10	430
11	11	414
11	12	509
11	13	441
11	14	584
11	15	683
11	16	659
11	17	552
12	1	3
12	2	1
12	3	4
12	4	4
12	5	16
12	6	5
12	7	9
12	8	7
12	9	6
12	10	8
12	11	3
12	12	8
12	13	8
12	14	7
12	15	0
12	16	0
12	17	0
13	1	1
13	2	2
13	3	1
13	4	1
13	5	5
13	6	5
13	7	0
13	8	0
13	9	3
13	10	1
13	11	3
13	12	3
13	13	1
13	14	0
13	15	0
13	16	0
13	17	0
14	1	3
14	2	28
14	3	5
14	4	1
14	5	1
14	6	1
14	7	0
14	8	14
14	9	6
14	10	4
14	11	1
14	12	1
14	13	5
14	14	3
14	15	0
14	16	0
14	17	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	1
15	11	1
15	12	3
15	13	8
15	14	11
15	15	0
15	16	0
15	17	0
16	1	0
16	2	0
16	3	0
16	4	0
16	5	1
16	6	1
16	7	4
16	8	1
16	9	0
16	10	0
16	11	1
16	12	0
16	13	2
16	14	0
16	15	0
16	16	0
16	17	0
17	1	13
17	2	1
17	3	0
17	4	0
17	5	14
17	6	9
17	7	0
17	8	3
17	9	6
17	10	2
17	11	0
17	12	4
17	13	5
17	14	2
17	15	36
17	16	0
17	17	0
18	1	15
18	2	5
18	3	0
18	4	0
18	5	3
18	6	15
18	7	2
18	8	0
18	9	5
18	10	4
18	11	4
18	12	5
18	13	9
18	14	4
18	15	36
18	16	0
18	17	31
19	1	9
19	2	14
19	3	10
19	4	7
19	5	18
19	6	37
19	7	7
19	8	12
19	9	27
19	10	25
19	11	12
19	12	17
19	13	17
19	14	43
19	15	30
19	16	0
19	17	39
20	1	10
20	2	15
20	3	16
20	4	10
20	5	19
20	6	3
20	7	3
20	8	4
20	9	15
20	10	14
20	11	2
20	12	7
20	13	7
20	14	20
20	15	28
20	16	0
20	17	0
21	1	5
21	2	0
21	3	3
21	4	2
21	5	4
21	6	3
21	7	0
21	8	1
21	9	5
21	10	1
21	11	0
21	12	2
21	13	0
21	14	0
21	15	0
21	16	0
21	17	0
22	1	2
22	2	5
22	3	6
22	4	8
22	5	20
22	6	12
22	7	6
22	8	7
22	9	18
22	10	12
22	11	8
22	12	1
22	13	5
22	14	11
22	15	0
22	16	0
22	17	0
23	1	0
23	2	4
23	3	21
23	4	16
23	5	7
23	6	16
23	7	3
23	8	7
23	9	8
23	10	1
23	11	8
23	12	3
23	13	7
23	14	10
23	15	0
23	16	35
23	17	39
24	1	1
24	2	1
24	3	8
24	4	0
24	5	9
24	6	3
24	7	3
24	8	5
24	9	0
24	10	3
24	11	1
24	12	0
24	13	2
24	14	0
24	15	0
24	16	0
24	17	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
