day	hour	value
1	1	29
1	2	30
1	3	19
1	4	87
1	5	50
1	6	19
1	7	21
1	8	31
1	9	33
1	10	30
1	11	27
1	12	24
1	13	31
1	14	35
1	15	104
1	16	13
1	17	0
2	1	0
2	2	33
2	3	22
2	4	26
2	5	52
2	6	223
2	7	275
2	8	400
2	9	507
2	10	476
2	11	445
2	12	550
2	13	459
2	14	609
2	15	602
2	16	805
2	17	440
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	41
3	7	34
3	8	35
3	9	59
3	10	24
3	11	38
3	12	53
3	13	54
3	14	56
3	15	28
3	16	21
3	17	0
4	1	10
4	2	3
4	3	7
4	4	15
4	5	16
4	6	10
4	7	12
4	8	10
4	9	9
4	10	8
4	11	11
4	12	19
4	13	12
4	14	3
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	46
5	7	73
5	8	66
5	9	87
5	10	36
5	11	46
5	12	46
5	13	34
5	14	61
5	15	19
5	16	13
5	17	24
6	1	0
6	2	0
6	3	0
6	4	0
6	5	3
6	6	4
6	7	5
6	8	9
6	9	3
6	10	3
6	11	0
6	12	3
6	13	3
6	14	2
6	15	0
6	16	29
6	17	0
7	1	31
7	2	16
7	3	28
7	4	53
7	5	35
7	6	29
7	7	18
7	8	28
7	9	40
7	10	35
7	11	35
7	12	41
7	13	39
7	14	20
7	15	0
7	16	27
7	17	0
8	1	160
8	2	120
8	3	83
8	4	84
8	5	198
8	6	76
8	7	77
8	8	93
8	9	165
8	10	186
8	11	138
8	12	159
8	13	184
8	14	193
8	15	82
8	16	168
8	17	163
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	37
9	7	32
9	8	10
9	9	50
9	10	3
9	11	1
9	12	3
9	13	1
9	14	8
9	15	0
9	16	0
9	17	0
10	1	8
10	2	6
10	3	9
10	4	4
10	5	24
10	6	33
10	7	33
10	8	18
10	9	33
10	10	17
10	11	17
10	12	15
10	13	18
10	14	22
10	15	0
10	16	29
10	17	0
11	1	2
11	2	1
11	3	0
11	4	7
11	5	1
11	6	3
11	7	0
11	8	0
11	9	0
11	10	2
11	11	0
11	12	2
11	13	1
11	14	0
11	15	0
11	16	0
11	17	0
12	1	155
12	2	129
12	3	131
12	4	174
12	5	180
12	6	185
12	7	198
12	8	199
12	9	229
12	10	150
12	11	169
12	12	219
12	13	200
12	14	203
12	15	227
12	16	416
12	17	393
13	1	8
13	2	8
13	3	13
13	4	26
13	5	23
13	6	23
13	7	16
13	8	8
13	9	13
13	10	6
13	11	5
13	12	6
13	13	3
13	14	2
13	15	16
13	16	0
13	17	0
14	1	2321
14	2	2213
14	3	2372
14	4	2573
14	5	3248
14	6	4071
14	7	4441
14	8	5394
14	9	6151
14	10	4473
14	11	5019
14	12	5595
14	13	5881
14	14	6535
14	15	9025
14	16	8191
14	17	7851
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	70
15	11	117
15	12	92
15	13	118
15	14	126
15	15	123
15	16	163
15	17	353
16	1	2
16	2	0
16	3	1
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	2
16	10	0
16	11	1
16	12	0
16	13	1
16	14	0
16	15	0
16	16	0
16	17	0
17	1	0
17	2	0
17	3	1
17	4	0
17	5	0
17	6	0
17	7	0
17	8	0
17	9	1
17	10	0
17	11	0
17	12	2
17	13	0
17	14	1
17	15	0
17	16	0
17	17	0
18	1	1
18	2	0
18	3	1
18	4	1
18	5	1
18	6	2
18	7	0
18	8	1
18	9	2
18	10	0
18	11	0
18	12	0
18	13	0
18	14	0
18	15	0
18	16	0
18	17	0
19	1	24
19	2	16
19	3	30
19	4	2
19	5	46
19	6	32
19	7	31
19	8	47
19	9	51
19	10	5
19	11	5
19	12	6
19	13	5
19	14	8
19	15	0
19	16	0
19	17	0
20	1	70
20	2	75
20	3	80
20	4	114
20	5	112
20	6	65
20	7	42
20	8	67
20	9	66
20	10	18
20	11	24
20	12	28
20	13	23
20	14	35
20	15	0
20	16	0
20	17	0
21	1	85
21	2	63
21	3	99
