day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	21
1	7	42
1	8	45
1	9	86
1	10	39
1	11	24
1	12	28
1	13	37
1	14	24
1	15	39
1	16	27
1	17	32
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	58
2	7	80
2	8	55
2	9	59
2	10	35
2	11	35
2	12	57
2	13	70
2	14	41
2	15	54
2	16	22
2	17	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	180
3	7	234
3	8	206
3	9	296
3	10	32
3	11	48
3	12	56
3	13	67
3	14	55
3	15	13
3	16	0
3	17	23
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	2
4	7	11
4	8	5
4	9	4
4	10	2
4	11	1
4	12	3
4	13	2
4	14	1
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	13
5	7	39
5	8	27
5	9	48
5	10	18
5	11	20
5	12	26
5	13	27
5	14	13
5	15	48
5	16	27
5	17	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	14
6	7	18
6	8	33
6	9	33
6	10	16
6	11	9
6	12	7
6	13	9
6	14	7
6	15	0
6	16	18
6	17	36
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	10
7	7	11
7	8	19
7	9	23
7	10	8
7	11	6
7	12	10
7	13	2
7	14	2
7	15	0
7	16	7
7	17	8
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	9
8	7	6
8	8	9
8	9	9
8	10	2
8	11	1
8	12	9
8	13	0
8	14	3
8	15	0
8	16	0
8	17	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	2
9	8	1
9	9	2
9	10	0
9	11	0
9	12	1
9	13	2
9	14	0
9	15	0
9	16	0
9	17	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	19
10	7	6
10	8	12
10	9	13
10	10	12
10	11	4
10	12	28
10	13	15
10	14	4
10	15	34
10	16	0
10	17	0
11	1	0
11	2	0
11	3	0
11	4	0
11	5	0
11	6	8
11	7	2
11	8	3
11	9	5
11	10	0
11	11	2
11	12	5
11	13	4
11	14	6
11	15	0
11	16	0
11	17	0
12	1	0
12	2	0
12	3	0
12	4	0
12	5	0
12	6	50
12	7	89
12	8	49
12	9	97
12	10	70
12	11	40
12	12	79
12	13	72
12	14	47
12	15	96
12	16	82
12	17	55
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	2
13	7	1
13	8	7
13	9	9
13	10	1
13	11	0
13	12	0
13	13	1
13	14	0
13	15	0
13	16	0
13	17	0
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	38
14	7	47
14	8	68
14	9	122
14	10	52
14	11	33
14	12	50
14	13	52
14	14	44
14	15	14
14	16	7
14	17	10
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	769
15	11	848
15	12	1006
15	13	1158
15	14	1167
15	15	1608
15	16	786
15	17	1753
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	1
16	7	2
16	8	2
16	9	3
16	10	0
16	11	0
16	12	0
16	13	1
16	14	2
16	15	0
16	16	0
16	17	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	4
17	7	5
17	8	6
17	9	6
17	10	0
17	11	2
17	12	3
17	13	13
17	14	0
17	15	0
17	16	0
17	17	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	5
18	7	15
18	8	4
18	9	8
18	10	0
18	11	3
18	12	8
18	13	9
18	14	3
18	15	0
18	16	0
18	17	0
19	1	0
19	2	0
19	3	0
19	4	0
19	5	0
19	6	26
19	7	26
19	8	19
19	9	19
19	10	3
19	11	2
19	12	4
19	13	1
19	14	4
19	15	0
19	16	0
19	17	0
20	1	0
20	2	0
20	3	0
20	4	0
20	5	0
20	6	37
20	7	17
20	8	10
20	9	25
20	10	7
20	11	11
20	12	4
20	13	7
20	14	7
20	15	28
20	16	0
20	17	0
21	1	0
21	2	0
21	3	0
21	4	0
21	5	0
21	6	31
21	7	47
21	8	51
21	9	57
21	10	66
21	11	20
21	12	40
21	13	40
21	14	23
21	15	73
21	16	108
21	17	88
22	1	0
22	2	0
22	3	0
22	4	0
22	5	0
22	6	6
22	7	2
22	8	2
22	9	7
22	10	2
22	11	1
22	12	5
22	13	3
22	14	0
22	15	0
22	16	0
22	17	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	1
23	7	2
23	8	0
23	9	1
23	10	0
23	11	0
23	12	0
23	13	1
23	14	0
23	15	0
23	16	0
23	17	0
24	1	0
24	2	0
24	3	0
24	4	0
24	5	0
24	6	53
24	7	35
24	8	40
24	9	83
24	10	30
24	11	9
24	12	20
24	13	11
24	14	12
24	15	39
24	16	54
24	17	32
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	40
25	13	30
25	14	26
25	15	34
25	16	32
25	17	24
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	3
26	7	2
26	8	1
26	9	0
26	10	0
26	11	2
26	12	2
26	13	0
26	14	1
26	15	21
26	16	0
26	17	0
27	1	0
27	2	0
27	3	0
27	4	0
27	5	0
27	6	7
27	7	11
27	8	6
27	9	17
27	10	10
27	11	10
27	12	4
27	13	3
27	14	7
27	15	0
27	16	18
27	17	0
28	1	0
28	2	0
28	3	0
28	4	0
28	5	0
28	6	6
28	7	6
28	8	7
28	9	14
28	10	5
28	11	3
28	12	2
28	13	3
28	14	1
28	15	0
28	16	0
28	17	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	3
29	7	0
29	8	1
29	9	2
29	10	1
29	11	1
29	12	1
29	13	0
29	14	0
29	15	0
29	16	0
29	17	0
30	1	0
30	2	0
30	3	0
30	4	0
30	5	0
30	6	1
30	7	1
30	8	4
30	9	1
30	10	0
30	11	0
30	12	4
30	13	0
30	14	0
30	15	0
30	16	0
30	17	0
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	0
31	7	0
31	8	0
31	9	0
31	10	0
31	11	0
31	12	0
31	13	0
31	14	0
31	15	0
31	16	0
31	17	0
32	1	0
32	2	0
32	3	0
32	4	0
32	5	0
32	6	6
32	7	16
32	8	2
32	9	6
32	10	3
32	11	5
32	12	1
32	13	3
32	14	3
32	15	0
32	16	0
32	17	24
33	1	0
33	2	0
33	3	0
33	4	0
33	5	0
33	6	1
33	7	0
33	8	1
33	9	0
33	10	0
33	11	0
33	12	0
33	13	0
33	14	1
33	15	0
33	16	0
33	17	0
34	1	0
34	2	0
34	3	0
34	4	0
34	5	0
34	6	0
34	7	0
34	8	0
34	9	0
34	10	0
34	11	0
34	12	0
34	13	1
34	14	0
34	15	0
34	16	0
34	17	0
35	1	0
35	2	0
35	3	0
35	4	0
35	5	0
35	6	2
35	7	9
35	8	1
35	9	5
35	10	2
35	11	0
35	12	1
35	13	4
35	14	1
35	15	0
35	16	0
35	17	0
36	1	0
36	2	0
36	3	0
36	4	0
36	5	0
36	6	14
36	7	38
36	8	36
36	9	26
36	10	6
36	11	5
36	12	12
36	13	9
36	14	3
36	15	0
36	16	26
36	17	29
37	1	0
37	2	0
37	3	0
37	4	0
37	5	0
37	6	13
37	7	6
37	8	4
37	9	10
37	10	2
37	11	4
37	12	1
37	13	5
37	14	2
37	15	10
37	16	18
37	17	26
38	1	0
38	2	0
38	3	0
38	4	0
38	5	0
38	6	15
38	7	5
38	8	5
38	9	11
38	10	4
38	11	3
38	12	5
38	13	8
38	14	2
38	15	0
38	16	0
38	17	0
39	1	0
39	2	0
39	3	0
39	4	0
39	5	0
39	6	19
39	7	25
39	8	29
39	9	42
39	10	5
39	11	11
39	12	26
39	13	16
39	14	16
39	15	0
39	16	0
39	17	0
40	1	0
40	2	0
40	3	0
40	4	0
40	5	0
40	6	10
40	7	8
40	8	13
40	9	9
40	10	1
40	11	4
40	12	2
40	13	9
40	14	8
40	15	0
40	16	0
40	17	14
41	1	0
41	2	0
41	3	0
41	4	0
41	5	0
41	6	5
41	7	4
41	8	5
41	9	6
41	10	1
41	11	2
41	12	0
41	13	6
41	14	3
41	15	0
41	16	0
41	17	0
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	9
42	7	16
42	8	9
42	9	13
42	10	1
42	11	7
42	12	6
42	13	27
42	14	13
42	15	34
42	16	27
42	17	24
43	1	0
43	2	0
43	3	0
43	4	0
43	5	0
43	6	2
43	7	7
43	8	3
43	9	11
43	10	2
43	11	2
43	12	2
43	13	1
43	14	0
43	15	0
43	16	0
43	17	0
44	1	0
44	2	0
44	3	0
44	4	0
44	5	0
44	6	9
44	7	6
44	8	1
44	9	11
44	10	2
44	11	1
44	12	10
44	13	4
44	14	0
44	15	0
44	16	0
44	17	0
45	1	0
45	2	0
45	3	0
45	4	0
45	5	0
45	6	2
45	7	14
45	8	17
45	9	17
45	10	4
45	11	8
45	12	16
45	13	2
45	14	6
45	15	0
45	16	5
45	17	0
46	1	0
46	2	0
46	3	0
46	4	0
46	5	0
46	6	7
46	7	11
46	8	6
46	9	15
46	10	1
46	11	0
46	12	6
46	13	4
46	14	4
46	15	0
46	16	9
46	17	0
47	1	0
47	2	0
47	3	0
47	4	0
47	5	0
47	6	1
47	7	2
47	8	0
47	9	3
47	10	0
47	11	0
47	12	0
47	13	2
47	14	0
47	15	0
47	16	0
47	17	0
48	1	0
48	2	0
48	3	0
48	4	0
48	5	0
48	6	114
48	7	89
48	8	113
48	9	111
48	10	12
48	11	17
48	12	3
48	13	8
48	14	7
48	15	20
48	16	32
48	17	23
