day	hour	value
1	1	0
1	2	0
1	3	6
1	4	0
1	5	3
1	6	0
1	7	2
1	8	0
1	9	1
1	10	1
1	11	0
1	12	0
1	13	1
1	14	2
1	15	0
1	16	0
1	17	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	2
2	6	0
2	7	3
2	8	0
2	9	12
2	10	2
2	11	0
2	12	0
2	13	1
2	14	6
2	15	0
2	16	0
2	17	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	10
3	7	7
3	8	17
3	9	17
3	10	19
3	11	10
3	12	20
3	13	11
3	14	21
3	15	0
3	16	17
3	17	0
4	1	0
4	2	0
4	3	3
4	4	0
4	5	0
4	6	2
4	7	1
4	8	0
4	9	0
4	10	0
4	11	1
4	12	1
4	13	0
4	14	5
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	2
5	7	11
5	8	3
5	9	2
5	10	6
5	11	3
5	12	2
5	13	0
5	14	1
5	15	0
5	16	18
5	17	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	1
6	6	0
6	7	1
6	8	0
6	9	1
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
7	1	0
7	2	0
7	3	4
7	4	0
7	5	9
7	6	6
7	7	5
7	8	1
7	9	4
7	10	1
7	11	2
7	12	7
7	13	11
7	14	8
7	15	0
7	16	0
7	17	12
8	1	0
8	2	0
8	3	35
8	4	0
8	5	34
8	6	72
8	7	87
8	8	58
8	9	112
8	10	44
8	11	48
8	12	77
8	13	44
8	14	114
8	15	104
8	16	143
8	17	62
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	2
9	8	1
9	9	3
9	10	5
9	11	0
9	12	0
9	13	1
9	14	2
9	15	0
9	16	0
9	17	0
10	1	0
10	2	0
10	3	11
10	4	0
10	5	18
10	6	12
10	7	12
10	8	8
10	9	5
10	10	5
10	11	3
10	12	5
10	13	0
10	14	4
10	15	41
10	16	0
10	17	0
11	1	0
11	2	0
11	3	9
11	4	0
11	5	19
11	6	4
11	7	11
11	8	4
11	9	1
11	10	5
11	11	4
11	12	3
11	13	2
11	14	8
11	15	0
11	16	26
11	17	0
12	1	0
12	2	0
12	3	0
12	4	0
12	5	1
12	6	2
12	7	0
12	8	0
12	9	1
12	10	0
12	11	1
12	12	1
12	13	2
12	14	3
12	15	0
12	16	0
12	17	0
13	1	0
13	2	0
13	3	2
13	4	0
13	5	2
13	6	2
13	7	4
13	8	0
13	9	0
13	10	0
13	11	0
13	12	2
13	13	0
13	14	1
13	15	0
13	16	0
13	17	0
14	1	0
14	2	0
14	3	1
14	4	0
14	5	5
14	6	5
14	7	1
14	8	1
14	9	14
14	10	6
14	11	3
14	12	7
14	13	13
14	14	24
14	15	96
14	16	173
14	17	51
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	7
15	11	3
15	12	0
15	13	0
15	14	3
15	15	0
15	16	0
15	17	0
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	1
16	10	0
16	11	0
16	12	0
16	13	2
16	14	0
16	15	0
16	16	0
16	17	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	0
17	7	0
17	8	0
17	9	0
17	10	0
17	11	0
17	12	0
17	13	0
17	14	1
17	15	0
17	16	0
17	17	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
18	12	0
18	13	0
18	14	0
18	15	0
18	16	0
18	17	0
19	1	0
19	2	0
19	3	5
19	4	0
19	5	1
19	6	6
19	7	26
19	8	0
19	9	1
19	10	0
19	11	1
19	12	2
19	13	4
19	14	10
19	15	0
19	16	0
19	17	0
20	1	0
20	2	0
20	3	6
20	4	0
20	5	8
20	6	2
20	7	3
20	8	1
20	9	4
20	10	5
20	11	3
20	12	1
20	13	1
20	14	6
20	15	0
20	16	0
20	17	0
21	1	0
21	2	0
21	3	0
21	4	0
21	5	2
21	6	0
21	7	0
21	8	0
21	9	0
21	10	0
21	11	0
21	12	0
21	13	0
21	14	0
21	15	0
21	16	0
21	17	0
22	1	0
22	2	0
22	3	43
22	4	0
22	5	66
22	6	123
22	7	220
22	8	165
22	9	216
22	10	124
22	11	101
22	12	104
22	13	141
22	14	202
22	15	118
22	16	59
22	17	222
23	1	0
23	2	0
23	3	222
23	4	0
23	5	242
23	6	400
23	7	526
23	8	400
23	9	393
23	10	350
23	11	343
23	12	393
23	13	378
23	14	490
23	15	480
23	16	423
23	17	536
24	1	0
24	2	0
24	3	0
24	4	0
24	5	0
24	6	1
24	7	0
24	8	2
24	9	1
24	10	0
24	11	0
24	12	0
24	13	0
24	14	0
24	15	0
24	16	0
24	17	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	0
25	13	0
25	14	1
25	15	0
25	16	0
25	17	0
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	5
26	7	5
26	8	16
26	9	7
26	10	2
26	11	1
26	12	2
26	13	2
26	14	4
26	15	0
26	16	0
26	17	0
27	1	0
27	2	0
27	3	0
27	4	0
27	5	0
27	6	0
27	7	0
27	8	0
27	9	0
27	10	0
27	11	0
27	12	1
27	13	0
27	14	0
27	15	0
27	16	0
27	17	0
28	1	0
28	2	0
28	3	0
28	4	0
28	5	1
28	6	0
28	7	7
28	8	0
28	9	1
28	10	0
28	11	0
28	12	0
28	13	0
28	14	3
28	15	0
28	16	0
28	17	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	0
29	7	0
29	8	0
29	9	0
29	10	0
29	11	0
29	12	0
29	13	0
29	14	0
29	15	0
29	16	0
29	17	0
30	1	0
30	2	0
30	3	86
30	4	0
30	5	50
30	6	107
30	7	67
30	8	96
30	9	87
30	10	45
30	11	43
30	12	56
30	13	68
30	14	139
30	15	227
30	16	260
30	17	322
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	0
31	7	3
31	8	0
31	9	9
31	10	7
31	11	1
31	12	0
31	13	0
31	14	0
31	15	0
31	16	0
31	17	0
32	1	0
32	2	0
32	3	3
32	4	0
32	5	8
32	6	14
32	7	29
32	8	29
32	9	27
32	10	26
32	11	20
32	12	10
32	13	14
32	14	16
32	15	0
32	16	0
32	17	85
33	1	0
33	2	0
33	3	1
33	4	0
33	5	2
33	6	3
33	7	6
33	8	3
33	9	2
33	10	3
33	11	1
33	12	2
33	13	10
33	14	8
33	15	62
33	16	41
33	17	0
34	1	0
34	2	0
34	3	3
34	4	0
34	5	1
34	6	2
34	7	11
34	8	17
34	9	7
34	10	8
34	11	2
34	12	3
34	13	2
34	14	1
34	15	0
34	16	0
34	17	0
35	1	0
35	2	0
35	3	0
35	4	0
35	5	0
35	6	2
35	7	7
35	8	9
35	9	28
35	10	12
35	11	6
35	12	6
35	13	10
35	14	23
35	15	62
35	16	41
35	17	0
36	1	0
36	2	0
36	3	0
36	4	0
36	5	0
36	6	0
36	7	0
36	8	0
36	9	0
36	10	0
36	11	0
36	12	0
36	13	0
36	14	0
36	15	0
36	16	0
36	17	0
37	1	0
37	2	0
37	3	0
37	4	0
37	5	0
37	6	0
37	7	1
37	8	0
37	9	0
37	10	0
37	11	0
37	12	0
37	13	0
37	14	0
37	15	0
37	16	0
37	17	0
38	1	0
38	2	0
38	3	0
38	4	0
38	5	0
38	6	1
38	7	1
38	8	0
38	9	1
38	10	0
38	11	1
38	12	0
38	13	0
38	14	1
38	15	0
38	16	0
38	17	0
39	1	0
39	2	0
39	3	20
39	4	0
39	5	26
39	6	39
39	7	25
39	8	24
39	9	19
39	10	19
39	11	23
39	12	15
39	13	17
39	14	44
39	15	23
39	16	68
39	17	88
40	1	0
40	2	0
40	3	0
40	4	0
40	5	1
40	6	0
40	7	0
40	8	0
40	9	0
40	10	0
40	11	0
40	12	0
40	13	0
40	14	0
40	15	0
40	16	0
40	17	0
41	1	0
41	2	0
41	3	0
41	4	0
41	5	0
41	6	0
41	7	1
41	8	0
41	9	0
41	10	0
41	11	0
41	12	0
41	13	1
41	14	0
41	15	0
41	16	0
41	17	0
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	0
42	7	0
42	8	0
42	9	0
42	10	0
42	11	0
42	12	0
42	13	0
42	14	0
42	15	0
42	16	0
42	17	0
43	1	0
43	2	0
43	3	9
43	4	0
43	5	10
43	6	9
43	7	9
43	8	20
43	9	18
43	10	29
43	11	19
43	12	11
43	13	30
43	14	44
43	15	27
43	16	20
43	17	34
44	1	0
44	2	0
44	3	86
44	4	0
44	5	58
44	6	73
44	7	103
44	8	56
44	9	53
44	10	52
44	11	46
44	12	53
44	13	44
44	14	94
44	15	68
44	16	229
44	17	90
45	1	0
45	2	0
45	3	6
45	4	0
45	5	4
45	6	17
45	7	11
45	8	13
45	9	8
45	10	2
45	11	3
45	12	3
45	13	8
45	14	15
45	15	0
45	16	0
45	17	0
46	1	0
46	2	0
46	3	0
46	4	0
46	5	1
46	6	0
46	7	1
46	8	1
46	9	0
46	10	0
46	11	0
46	12	0
46	13	0
46	14	2
46	15	0
46	16	0
46	17	0
47	1	0
47	2	0
47	3	0
47	4	0
47	5	0
47	6	0
47	7	0
47	8	0
47	9	0
47	10	0
47	11	0
47	12	0
47	13	0
47	14	1
47	15	0
47	16	0
47	17	0
48	1	0
48	2	0
48	3	0
48	4	0
48	5	1
48	6	1
48	7	0
48	8	0
48	9	1
48	10	0
48	11	1
48	12	2
48	13	1
48	14	4
48	15	0
48	16	0
48	17	0
