day	hour	value
1	1	42
1	2	49
1	3	41
1	4	15
1	5	25
1	6	6
1	7	28
1	8	6
1	9	56
1	10	3
1	11	15
1	12	14
1	13	17
1	14	7
1	15	50
1	16	0
1	17	0
2	1	0
2	2	4
2	3	7
2	4	7
2	5	13
2	6	53
2	7	99
2	8	68
2	9	212
2	10	47
2	11	196
2	12	94
2	13	201
2	14	159
2	15	60
2	16	119
2	17	76
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	5
3	7	18
3	8	8
3	9	17
3	10	7
3	11	12
3	12	4
3	13	11
3	14	16
3	15	0
3	16	0
3	17	0
4	1	1
4	2	9
4	3	7
4	4	1
4	5	8
4	6	3
4	7	2
4	8	0
4	9	0
4	10	1
4	11	0
4	12	1
4	13	4
4	14	0
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	13
5	7	42
5	8	13
5	9	25
5	10	17
5	11	10
5	12	6
5	13	22
5	14	63
5	15	55
5	16	0
5	17	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	106
6	6	1
6	7	1
6	8	4
6	9	0
6	10	0
6	11	6
6	12	14
6	13	5
6	14	0
6	15	0
6	16	0
6	17	0
7	1	26
7	2	31
7	3	32
7	4	37
7	5	25
7	6	17
7	7	14
7	8	17
7	9	17
7	10	19
7	11	16
7	12	20
7	13	25
7	14	18
7	15	0
7	16	0
7	17	0
8	1	138
8	2	92
8	3	51
8	4	42
8	5	80
8	6	75
8	7	83
8	8	94
8	9	64
8	10	61
8	11	102
8	12	64
8	13	124
8	14	96
8	15	34
8	16	131
8	17	41
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	2
9	7	19
9	8	11
9	9	7
9	10	2
9	11	3
9	12	2
9	13	4
9	14	6
9	15	0
9	16	0
9	17	0
10	1	9
10	2	7
10	3	28
10	4	5
10	5	8
10	6	4
10	7	12
10	8	2
10	9	18
10	10	3
10	11	3
10	12	7
10	13	7
10	14	5
10	15	30
10	16	0
10	17	0
11	1	16
11	2	1
11	3	27
11	4	5
11	5	0
11	6	7
11	7	9
11	8	4
11	9	3
11	10	1
11	11	6
11	12	2
11	13	0
11	14	6
11	15	0
11	16	0
11	17	0
12	1	235
12	2	104
12	3	138
12	4	88
12	5	76
12	6	57
12	7	191
12	8	41
12	9	139
12	10	19
12	11	65
12	12	75
12	13	156
12	14	73
12	15	133
12	16	26
12	17	61
13	1	20
13	2	22
13	3	39
13	4	17
13	5	15
13	6	0
13	7	2
13	8	1
13	9	11
13	10	0
13	11	0
13	12	3
13	13	2
13	14	1
13	15	0
13	16	0
13	17	0
14	1	75
14	2	47
14	3	40
14	4	53
14	5	32
14	6	16
14	7	120
14	8	27
14	9	111
14	10	18
14	11	64
14	12	24
14	13	39
14	14	45
14	15	0
14	16	0
14	17	22
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	16
15	11	25
15	12	16
15	13	26
15	14	17
15	15	45
15	16	0
15	17	0
16	1	0
16	2	0
16	3	0
16	4	0
16	5	1
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	1
16	14	0
16	15	0
16	16	0
16	17	0
17	1	0
17	2	0
17	3	1
17	4	1
17	5	4
17	6	0
17	7	1
17	8	0
17	9	3
17	10	0
17	11	0
17	12	0
17	13	0
17	14	0
17	15	0
17	16	0
17	17	0
18	1	0
18	2	0
18	3	0
18	4	1
18	5	0
18	6	0
18	7	1
18	8	0
18	9	2
18	10	0
18	11	0
18	12	0
18	13	0
18	14	0
18	15	0
18	16	0
18	17	0
19	1	375
19	2	216
19	3	258
19	4	220
19	5	256
19	6	251
19	7	413
19	8	223
19	9	314
19	10	274
19	11	362
19	12	286
19	13	453
19	14	310
19	15	776
19	16	251
19	17	308
20	1	21
20	2	11
20	3	16
20	4	14
20	5	23
20	6	6
20	7	18
20	8	7
20	9	19
20	10	1
20	11	6
20	12	3
20	13	16
20	14	7
20	15	0
20	16	19
20	17	0
21	1	181
21	2	93
21	3	123
21	4	54
21	5	38
21	6	15
21	7	128
21	8	39
21	9	99
21	10	4
21	11	40
21	12	47
21	13	164
21	14	54
21	15	55
21	16	97
21	17	92
22	1	11
22	2	11
22	3	7
22	4	1
22	5	7
22	6	6
22	7	10
22	8	4
22	9	6
22	10	11
22	11	16
22	12	13
22	13	21
22	14	17
22	15	0
22	16	0
22	17	82
23	1	4
23	2	2
23	3	0
23	4	2
23	5	4
23	6	3
23	7	5
23	8	1
23	9	5
23	10	3
23	11	1
23	12	1
23	13	6
23	14	0
23	15	0
23	16	0
23	17	0
24	1	828
24	2	330
24	3	638
24	4	232
24	5	562
24	6	149
24	7	568
24	8	242
24	9	908
24	10	151
24	11	559
24	12	355
24	13	788
24	14	390
24	15	684
24	16	53
24	17	565
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	10
25	13	99
25	14	22
25	15	86
25	16	0
25	17	92
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	3
26	7	21
26	8	2
26	9	28
26	10	3
26	11	7
26	12	5
26	13	9
26	14	5
26	15	50
26	16	0
26	17	0
27	1	789
27	2	357
27	3	719
27	4	174
27	5	643
27	6	108
27	7	848
27	8	224
27	9	1067
27	10	132
27	11	630
27	12	249
27	13	904
27	14	263
27	15	1218
27	16	244
27	17	845
28	1	445
28	2	331
28	3	472
28	4	156
28	5	530
28	6	177
28	7	352
28	8	192
28	9	640
28	10	78
28	11	311
28	12	151
28	13	314
28	14	158
28	15	209
28	16	74
