day	hour	value
1	1	0
1	2	16
1	3	22
1	4	43
1	5	45
1	6	23
1	7	12
1	8	16
1	9	23
1	10	17
1	11	13
1	12	19
1	13	25
1	14	23
1	15	60
1	16	72
1	17	86
2	1	0
2	2	9
2	3	18
2	4	4
2	5	19
2	6	152
2	7	159
2	8	222
2	9	397
2	10	274
2	11	269
2	12	210
2	13	323
2	14	363
2	15	292
2	16	333
2	17	132
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	4
3	7	2
3	8	3
3	9	3
3	10	3
3	11	4
3	12	3
3	13	2
3	14	3
3	15	0
3	16	0
3	17	0
4	1	0
4	2	0
4	3	0
4	4	1
4	5	1
4	6	1
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	91
5	7	39
5	8	83
5	9	56
5	10	92
5	11	71
5	12	101
5	13	76
5	14	80
5	15	91
5	16	28
5	17	68
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	0
6	12	1
6	13	1
6	14	0
6	15	0
6	16	0
6	17	0
7	1	0
7	2	5
7	3	7
7	4	3
7	5	1
7	6	3
7	7	1
7	8	5
7	9	0
7	10	1
7	11	1
7	12	0
7	13	1
7	14	0
7	15	0
7	16	0
7	17	0
8	1	0
8	2	88
8	3	150
8	4	112
8	5	225
8	6	221
8	7	179
8	8	211
8	9	284
8	10	215
8	11	210
8	12	269
8	13	240
8	14	262
8	15	391
8	16	292
8	17	171
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	31
9	7	54
9	8	76
9	9	91
9	10	79
9	11	47
9	12	58
9	13	61
9	14	64
9	15	84
9	16	84
9	17	72
10	1	0
10	2	2
10	3	2
10	4	3
10	5	2
10	6	1
10	7	2
10	8	7
10	9	3
10	10	0
10	11	2
10	12	3
10	13	1
10	14	0
10	15	0
10	16	0
10	17	0
11	1	0
11	2	25
11	3	13
11	4	9
11	5	15
11	6	16
11	7	10
11	8	23
11	9	19
11	10	8
11	11	12
11	12	26
11	13	12
11	14	11
11	15	0
11	16	0
11	17	29
12	1	0
12	2	166
12	3	219
12	4	178
12	5	267
12	6	381
12	7	306
12	8	411
12	9	352
12	10	314
12	11	262
12	12	295
12	13	263
12	14	343
12	15	746
12	16	668
12	17	662
13	1	0
13	2	4
13	3	5
13	4	6
13	5	7
13	6	4
13	7	4
13	8	1
13	9	1
13	10	0
13	11	0
13	12	0
13	13	0
13	14	2
13	15	0
13	16	0
13	17	0
14	1	0
14	2	61
14	3	121
14	4	55
14	5	114
14	6	69
14	7	31
14	8	48
14	9	50
14	10	39
14	11	29
14	12	46
14	13	41
14	14	94
14	15	140
14	16	96
14	17	122
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	4
15	11	4
15	12	5
15	13	12
15	14	12
15	15	0
15	16	0
15	17	0
16	1	0
16	2	3
16	3	0
16	4	0
16	5	3
16	6	2
16	7	0
16	8	1
16	9	4
16	10	2
16	11	0
16	12	1
16	13	3
16	14	1
16	15	0
16	16	0
16	17	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	1
17	7	0
17	8	0
17	9	1
17	10	0
17	11	0
17	12	0
17	13	0
17	14	0
17	15	0
17	16	0
17	17	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
18	12	0
18	13	0
18	14	0
18	15	0
18	16	0
18	17	0
19	1	0
19	2	67
19	3	92
19	4	81
19	5	103
19	6	61
19	7	55
19	8	65
19	9	38
19	10	41
19	11	62
19	12	41
19	13	48
19	14	44
19	15	213
19	16	44
19	17	0
20	1	0
20	2	2
20	3	3
20	4	6
20	5	2
20	6	6
20	7	3
20	8	6
20	9	12
20	10	9
20	11	9
20	12	3
20	13	8
20	14	14
20	15	36
20	16	0
20	17	0
21	1	0
21	2	138
21	3	198
21	4	200
21	5	252
21	6	166
21	7	137
21	8	141
21	9	132
21	10	87
21	11	81
21	12	118
21	13	89
21	14	106
21	15	114
21	16	136
21	17	180
22	1	0
22	2	5
22	3	4
22	4	2
22	5	8
22	6	6
22	7	2
22	8	5
22	9	3
22	10	8
22	11	6
22	12	3
22	13	4
22	14	3
22	15	0
22	16	0
22	17	0
23	1	0
23	2	2
23	3	0
23	4	1
23	5	0
23	6	0
23	7	0
23	8	0
23	9	2
23	10	3
23	11	1
23	12	1
23	13	0
23	14	0
23	15	0
23	16	0
23	17	0
24	1	0
24	2	275
24	3	297
24	4	230
24	5	332
24	6	63
24	7	63
24	8	49
24	9	66
24	10	39
24	11	39
24	12	39
24	13	28
24	14	33
24	15	65
24	16	0
24	17	80
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	3
25	13	4
25	14	7
25	15	0
25	16	0
25	17	0
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	0
26	7	0
26	8	1
26	9	2
26	10	0
26	11	1
26	12	2
26	13	3
26	14	2
26	15	0
26	16	0
26	17	0
27	1	0
27	2	25
27	3	39
27	4	29
27	5	44
27	6	30
27	7	47
27	8	33
27	9	48
27	10	22
27	11	18
27	12	24
27	13	16
27	14	17
27	15	24
27	16	0
27	17	0
28	1	0
28	2	162
28	3	201
28	4	161
28	5	220
28	6	126
28	7	139
28	8	137
