day	hour	value
1	1	128
1	2	214
1	3	230
1	4	290
1	5	283
1	6	298
1	7	184
1	8	263
1	9	237
1	10	184
1	11	244
1	12	203
1	13	222
1	14	191
1	15	261
1	16	99
1	17	176
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	6
2	7	0
2	8	0
2	9	1
2	10	0
2	11	0
2	12	0
2	13	4
2	14	0
2	15	0
2	16	0
2	17	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	4
3	7	8
3	8	2
3	9	24
3	10	1
3	11	0
3	12	3
3	13	4
3	14	3
3	15	0
3	16	0
3	17	0
4	1	1
4	2	4
4	3	1
4	4	11
4	5	6
4	6	1
4	7	3
4	8	5
4	9	3
4	10	5
4	11	9
4	12	5
4	13	9
4	14	9
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
5	14	0
5	15	0
5	16	0
5	17	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	1
6	6	0
6	7	2
6	8	0
6	9	0
6	10	2
6	11	0
6	12	1
6	13	2
6	14	0
6	15	0
6	16	0
6	17	0
7	1	1
7	2	0
7	3	3
7	4	2
7	5	1
7	6	1
7	7	0
7	8	1
7	9	1
7	10	1
7	11	0
7	12	0
7	13	6
7	14	2
7	15	0
7	16	0
7	17	0
8	1	0
8	2	1
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	0
8	9	0
8	10	0
8	11	0
8	12	0
8	13	0
8	14	0
8	15	0
8	16	0
8	17	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
9	10	0
9	11	0
9	12	0
9	13	0
9	14	0
9	15	0
9	16	0
9	17	0
10	1	0
10	2	4
10	3	0
10	4	0
10	5	2
10	6	2
10	7	0
10	8	0
10	9	1
10	10	1
10	11	2
10	12	3
10	13	4
10	14	2
10	15	0
10	16	0
10	17	0
11	1	0
11	2	0
11	3	1
11	4	1
11	5	3
11	6	0
11	7	2
11	8	2
11	9	3
11	10	0
11	11	1
11	12	3
11	13	0
11	14	2
11	15	0
11	16	0
11	17	0
12	1	8
12	2	10
12	3	5
12	4	19
12	5	10
12	6	5
12	7	9
12	8	18
12	9	10
12	10	9
12	11	7
12	12	5
12	13	11
12	14	10
12	15	19
12	16	0
12	17	20
13	1	0
13	2	1
13	3	0
13	4	1
13	5	0
13	6	0
13	7	0
13	8	1
13	9	1
13	10	1
13	11	0
13	12	1
13	13	1
13	14	0
13	15	0
13	16	0
13	17	0
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	0
14	7	0
14	8	0
14	9	0
14	10	0
14	11	0
14	12	0
14	13	0
14	14	0
14	15	0
14	16	0
14	17	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	3
15	11	0
15	12	3
15	13	3
15	14	13
15	15	0
15	16	0
15	17	0
16	1	2
16	2	6
16	3	12
16	4	4
16	5	39
16	6	5
16	7	13
16	8	6
16	9	34
16	10	1
16	11	0
16	12	7
16	13	8
16	14	3
16	15	0
16	16	0
16	17	12
17	1	201
17	2	280
17	3	275
17	4	294
17	5	413
17	6	385
17	7	351
17	8	448
17	9	582
17	10	469
17	11	520
17	12	562
17	13	573
17	14	564
17	15	842
17	16	674
17	17	429
18	1	40
18	2	16
18	3	122
18	4	25
18	5	137
18	6	174
18	7	61
18	8	73
18	9	84
18	10	27
18	11	87
18	12	117
18	13	111
18	14	69
18	15	87
18	16	65
18	17	91
19	1	0
19	2	0
19	3	0
19	4	0
19	5	0
19	6	0
19	7	0
19	8	0
19	9	0
19	10	0
19	11	0
19	12	0
19	13	0
19	14	0
