day	hour	value
1	1	26
1	2	43
1	3	18
1	4	72
1	5	17
1	6	10
1	7	43
1	8	19
1	9	99
1	10	71
1	11	4
1	12	49
1	13	18
1	14	14
1	15	8
1	16	16
1	17	0
2	1	0
2	2	5
2	3	5
2	4	11
2	5	11
2	6	13
2	7	43
2	8	76
2	9	132
2	10	116
2	11	39
2	12	75
2	13	22
2	14	10
2	15	73
2	16	10
2	17	16
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	14
3	7	15
3	8	26
3	9	25
3	10	25
3	11	10
3	12	15
3	13	0
3	14	5
3	15	8
3	16	0
3	17	0
4	1	1
4	2	1
4	3	0
4	4	1
4	5	0
4	6	9
4	7	0
4	8	1
4	9	1
4	10	8
4	11	2
4	12	0
4	13	0
4	14	0
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	30
5	7	133
5	8	82
5	9	82
5	10	75
5	11	12
5	12	19
5	13	11
5	14	12
5	15	23
5	16	5
5	17	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	18
6	7	57
6	8	9
6	9	5
6	10	32
6	11	1
6	12	9
6	13	3
6	14	2
6	15	23
6	16	4
6	17	12
7	1	1
7	2	1
7	3	10
7	4	11
7	5	3
7	6	21
7	7	2
7	8	10
7	9	5
7	10	32
7	11	8
7	12	4
7	13	0
7	14	1
7	15	0
7	16	0
7	17	0
8	1	48
8	2	35
8	3	52
8	4	31
8	5	65
8	6	10
8	7	104
8	8	194
8	9	73
8	10	53
8	11	79
8	12	62
8	13	6
8	14	0
8	15	10
8	16	7
8	17	6
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	71
9	7	3
9	8	27
9	9	6
9	10	5
9	11	10
9	12	2
9	13	2
9	14	0
9	15	0
9	16	0
9	17	0
10	1	16
10	2	10
10	3	20
10	4	16
10	5	18
10	6	42
10	7	34
10	8	105
10	9	81
10	10	68
10	11	12
10	12	25
10	13	0
10	14	0
10	15	8
10	16	28
10	17	0
11	1	3
11	2	5
11	3	14
11	4	40
11	5	81
11	6	19
11	7	11
11	8	31
11	9	8
11	10	3
11	11	8
11	12	16
11	13	0
11	14	0
11	15	0
11	16	0
11	17	0
12	1	138
12	2	72
12	3	61
12	4	72
12	5	116
12	6	114
12	7	206
12	8	217
12	9	202
12	10	178
12	11	32
12	12	88
12	13	43
12	14	44
12	15	71
12	16	42
12	17	63
13	1	4
13	2	6
13	3	5
13	4	5
13	5	12
13	6	6
13	7	8
13	8	6
13	9	8
13	10	3
13	11	0
13	12	0
13	13	2
13	14	0
13	15	0
13	16	0
13	17	0
14	1	82
14	2	24
14	3	47
14	4	19
14	5	85
14	6	74
14	7	47
14	8	85
14	9	60
14	10	157
14	11	9
14	12	26
14	13	24
14	14	29
14	15	19
14	16	8
14	17	51
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	52
15	11	15
15	12	34
15	13	29
15	14	14
15	15	8
15	16	22
15	17	24
16	1	2
16	2	5
16	3	5
16	4	23
16	5	7
16	6	1
16	7	2
16	8	0
16	9	6
16	10	14
16	11	0
16	12	0
16	13	0
16	14	1
16	15	0
16	16	0
16	17	0
17	1	0
17	2	1
17	3	0
17	4	15
17	5	0
17	6	2
17	7	4
17	8	0
17	9	1
17	10	5
17	11	1
17	12	11
17	13	0
17	14	0
17	15	0
17	16	0
17	17	0
18	1	0
18	2	3
18	3	4
18	4	18
18	5	1
18	6	3
18	7	3
18	8	1
18	9	92
18	10	0
18	11	0
18	12	0
18	13	0
18	14	0
18	15	0
18	16	0
18	17	0
19	1	13
19	2	11
19	3	13
19	4	22
19	5	6
19	6	44
19	7	71
19	8	35
19	9	83
19	10	14
19	11	51
19	12	7
19	13	0
19	14	0
19	15	0
19	16	0
19	17	0
20	1	11
20	2	21
20	3	28
20	4	15
20	5	15
20	6	9
20	7	12
20	8	19
20	9	12
20	10	6
20	11	3
20	12	8
20	13	1
20	14	2
20	15	0
20	16	0
20	17	0
21	1	68
21	2	34
21	3	25
21	4	67
21	5	67
21	6	13
21	7	92
21	8	62
21	9	93
21	10	45
21	11	15
21	12	60
21	13	6
21	14	9
21	15	0
21	16	3
21	17	13
22	1	2
22	2	15
22	3	14
22	4	4
22	5	10
22	6	0
22	7	41
22	8	53
22	9	49
22	10	15
22	11	28
22	12	21
22	13	2
22	14	0
22	15	0
22	16	0
22	17	0
23	1	5
23	2	7
23	3	25
23	4	17
23	5	20
23	6	0
23	7	57
23	8	23
23	9	14
23	10	16
23	11	6
23	12	7
23	13	1
23	14	0
23	15	0
23	16	0
23	17	0
24	1	31
24	2	18
24	3	13
24	4	24
24	5	35
24	6	13
24	7	39
24	8	53
24	9	21
24	10	23
24	11	9
24	12	10
24	13	4
24	14	9
24	15	0
24	16	0
24	17	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	62
25	13	8
25	14	5
25	15	29
25	16	18
25	17	30
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	1
26	7	3
26	8	40
26	9	4
26	10	0
26	11	3
26	12	7
26	13	0
26	14	1
26	15	0
26	16	0
26	17	0
27	1	35
27	2	9
27	3	9
27	4	3
27	5	5
27	6	38
27	7	36
27	8	29
27	9	17
27	10	46
27	11	6
27	12	16
27	13	4
27	14	0
27	15	0
27	16	0
27	17	6
28	1	20
28	2	11
28	3	16
28	4	32
28	5	12
28	6	6
28	7	18
28	8	22
28	9	19
28	10	2
28	11	6
28	12	4
28	13	1
28	14	0
28	15	7
28	16	0
28	17	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	15
29	7	88
29	8	59
29	9	46
29	10	9
29	11	8
29	12	3
29	13	2
29	14	0
29	15	7
29	16	11
29	17	36
30	1	3
30	2	2
30	3	10
30	4	2
30	5	2
30	6	4
30	7	3
30	8	10
30	9	15
30	10	7
30	11	1
30	12	4
30	13	0
30	14	0
30	15	0
30	16	0
30	17	0
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	1
31	7	3
31	8	1
31	9	7
31	10	2
31	11	3
31	12	10
31	13	1
31	14	1
31	15	0
31	16	7
31	17	8
32	1	0
32	2	36
32	3	21
32	4	2
32	5	13
32	6	12
32	7	27
32	8	48
32	9	170
32	10	88
32	11	21
32	12	35
32	13	7
32	14	0
32	15	8
32	16	16
32	17	0
33	1	1
33	2	2
33	3	1
33	4	0
33	5	10
33	6	0
33	7	1
33	8	2
33	9	7
33	10	0
33	11	3
33	12	0
33	13	0
33	14	0
33	15	0
33	16	0
33	17	24
34	1	0
34	2	5
34	3	5
34	4	1
34	5	2
34	6	1
34	7	4
34	8	14
34	9	8
34	10	3
34	11	2
34	12	45
34	13	2
34	14	0
34	15	0
34	16	0
34	17	0
35	1	1
35	2	14
35	3	18
35	4	5
35	5	8
35	6	7
35	7	19
35	8	9
35	9	73
35	10	49
35	11	10
35	12	37
35	13	4
35	14	0
35	15	0
35	16	12
35	17	0
36	1	8
36	2	13
36	3	16
36	4	47
36	5	1
36	6	15
36	7	7
36	8	34
36	9	46
36	10	37
36	11	15
36	12	14
36	13	20
36	14	15
36	15	14
36	16	9
36	17	39
37	1	3
37	2	8
37	3	16
37	4	19
37	5	8
37	6	16
37	7	36
37	8	32
37	9	20
37	10	16
37	11	10
37	12	9
37	13	7
37	14	10
37	15	9
37	16	18
37	17	46
38	1	1
38	2	1
38	3	0
38	4	1
38	5	0
38	6	0
38	7	1
38	8	3
38	9	7
38	10	3
38	11	0
38	12	1
38	13	0
38	14	1
38	15	0
38	16	0
38	17	0
39	1	28
39	2	37
39	3	44
39	4	89
39	5	28
39	6	109
39	7	161
39	8	165
39	9	291
39	10	296
39	11	81
39	12	254
39	13	2
39	14	4
39	15	6
39	16	14
39	17	0
40	1	0
40	2	1
40	3	0
40	4	7
40	5	11
40	6	4
40	7	9
40	8	0
40	9	6
40	10	8
40	11	0
40	12	0
40	13	1
40	14	0
40	15	0
40	16	0
40	17	0
41	1	0
41	2	1
41	3	0
41	4	7
41	5	2
41	6	1
41	7	5
41	8	1
41	9	14
41	10	1
41	11	0
41	12	0
41	13	0
41	14	0
41	15	0
41	16	6
41	17	0
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	0
42	7	4
42	8	0
42	9	8
42	10	7
42	11	0
42	12	0
42	13	1
42	14	0
42	15	0
42	16	0
42	17	0
43	1	3
43	2	4
43	3	4
43	4	4
43	5	0
43	6	10
43	7	4
43	8	11
43	9	35
43	10	7
43	11	9
43	12	4
43	13	0
43	14	0
43	15	0
43	16	0
43	17	0
44	1	91
44	2	89
44	3	54
44	4	57
44	5	96
44	6	115
44	7	146
44	8	182
44	9	302
44	10	116
44	11	136
44	12	106
44	13	0
44	14	1
44	15	7
44	16	24
44	17	0
45	1	3
