day	hour	value
1	1	19
1 	2 	15
1 	3 	20
1 	4 	11
1 	5 	18 
1 	6 	4
1	7	9
2 	1 	15
2 	2 	10
2 	3 	6
2 	4 	6
2 	5 	10
2 	6 	2
2 	7 	7
3 	1 	1
3 	2 	1
3 	3 	5
3 	4 	5
3 	5 	11
3 	6 	2
3 	7 	0
4 	1 	13
4 	2 	14
4 	3 	23
4 	4 	21
4 	5 	16
4 	6 	15
4 	7	3
5 	1 	13
5 	2 	14
5 	3 	23
5 	4 	21
5 	5 	16
5 	6 	16
5 	7 	19
6 	1 	0
6 	2 	2
6 	3 	0
6 	4 	3
6 	5 	0
6 	6 	0
6	7	1
7 	1 	0
7 	2 	1
7 	3 	2
7 	4 	10
7 	5 	7
7 	6 	2
7	7	5
8 	1 	20
8 	2 	27
8 	3 	31
8 	4 	19
8 	5 	35
8 	6 	13
8	7	29
9 	1 	0
9 	2 	0
9 	3 	1
9 	4 	0
9 	5 	0
9 	6 	0
9	7	0
10 	1 	8
10 	2 	7
10 	3 	14
10 	4 	15
10 	5 	14
10 	6 	12
10 	7	9
11 	1 	54
11 	2 	111
11 	3 	103
11 	4 	116
11 	5 	150 
11 	6 	48
11 	7	130
12 	1 	0
12 	2 	2
12 	3 	2
12 	4 	2
12 	5 	3
12 	6 	0
12	7	0
13 	1 	1
13 	2 	2
13 	3 	2
13 	4 	21
13 	5 	1
13 	6 	1
13 	7 	0
14 	1 	0
14 	2 	0
14 	3 	0
14 	4 	0
14 	5 	8
14 	6 	0
14 	7 	0
15 	1 	1
15 	2 	0
15 	3 	0
15 	4 	0
15 	5 	1
15 	6 	0
15 	7	0
16 	1 	17
16 	2 	12
16 	3 	15
16 	4 	3
16 	5 	11 
16 	6 	20
16 	7 	30
17 	1 	0
17 	2 	0
17 	3 	2
17 	4 	0
17 	5 	2
17 	6 	0
17 	7 	0
18 	1 	2
18 	2 	3
18 	3 	6
18 	4 	2
18 	5 	0
18 	6 	0
18 	7	0
19 	1 	0
19 	2 	1
19 	3 	0
19 	4 	0
19 	5 	9
19 	6 	4
19 	7 	5
20 	1 	0
20 	2 	0
20 	3 	0
20 	4 	2
20 	5 	2
20 	6 	0
20	7	0
21 	1 	2
21 	2 	1
21 	3 	2
21 	4 	0
21 	5 	3
21 	6 	0
21 	7	1
22 	1 	0
22 	2 	1
22 	3 	2
22 	4 	1
22 	5 	1
22 	6 	0
22	7	1
23 	1 	0
23 	2 	0
23 	3 	0
23 	4 	2
23 	5 	0
23 	6 	0
23	7	0
24 	1 	0
24 	2 	0
24 	3 	2
24 	4 	3
24 	5 	0
24 	6 	0
24	7	0
25 	1 	1
25 	2 	1
25 	3 	6
25 	4 	4
25 	5 	3
25 	6 	5
25	7	16
26 	1 	0
26 	2 	2
26 	3 	3
26 	4 	5
26 	5 	3
26 	6 	9
26	7	22
27 	1 	0
27 	2 	0
27 	3 	0
27 	4 	1
27 	5 	0
27 	6 	0
27	7	0
28 	1 	0
28 	2 	0
28 	3 	0
28 	4 	1
28 	5 	4
28 	6 	1
28	7	1
29 	1 	1
29 	2 	1
29 	3 	0
29 	4 	2
29 	5 	0
29 	6 	0
29	7	0
30 	1 	0
30 	2 	0
30 	3 	0
30 	4 	2
30 	5 	0
30 	6 	0
30	7	0
31 	1 	0
31 	2 	0
31 	3 	0
31 	4 	2
31 	5 	0
31 	6 	0
31	7	0
32 	1 	0
32 	2 	0
32 	3 	0
32 	4 	0
32 	5 	1
32 	6 	2
32	7	1
33 	1 	0
33 	2 	2
33 	3 	0
33 	4 	0
33 	5 	0
33 	6 	0
33	7	0
34 	1 	0
34 	2 	2
34 	3 	0
34 	4 	0
34 	5 	0
34 	6 	0
34	7	0
35 	1 	2
35 	2 	0
35 	3 	0
35 	4 	2
35 	5 	6
35 	6 	3
35	7	6
