day	hour	value
1	1	29
1 	2 	13
1 	3 	25
1 	4 	15
1 	5 	23 
1 	6 	11
1 	7 	21
2 	1 	10
2 	2 	5
2 	3 	3
2 	4 	7
2 	5 	12
2 	6 	5
2 	7 	5
3 	1 	5
3 	2 	4
3 	3 	0
3 	4 	6
3 	5 	4
3 	6 	1
3 	7 	4
4 	1 	0
4 	2 	0
4 	3 	0
4 	4 	0
4 	5 	1
4 	6 	0
4 	7 	0
5 	1 	23
5 	2 	28
5 	3 	32
5 	4 	23
5 	5 	19
5 	6 	0
5 	7 	16
6 	1 	0
6 	2 	0
6 	3 	0
6 	4 	0
6 	5 	3
6 	6 	0
6 	7 	0
7 	1 	0
7 	2 	0
7 	3 	2
7 	4 	6
7 	5 	5
7 	6 	1
7 	7 	0
8 	1 	5
8 	2 	7
8 	3 	15
8 	4 	3
8 	5 	25
8 	6 	6
8 	7 	0
9 	1 	9
9 	2 	4
9 	3 	11
9 	4 	11
9 	5 	16
9 	6 	9
9 	7 	9
10 	1 	73
10 	2 	151
10 	3 	142
10 	4 	142
10 	5 	180
10 	6 	74
10 	7 	181
11 	1 	0
11 	2 	1
11 	3 	0
11 	4 	2
11 	5 	10 
11 	6 	6
11 	7 	7
12 	1 	2
12 	2 	0
12 	3 	0
12 	4 	3
12 	5 	0
12 	6 	0
12 	7 	1
13 	1 	3
13 	2 	2
13 	3 	5
13 	4 	0
13 	5 	0
13 	6 	0
13 	7 	2
14 	1 	0
14 	2 	1
14 	3 	1
14 	4 	5
14 	5 	10
14 	6 	0
14 	7 	1
15 	1 	2
15 	2 	2
15 	3 	11
15 	4 	13
15 	5 	6
15 	6 	13
15 	7 	28
16 	1 	0
16 	2 	0
16 	3 	0
16 	4 	1
16 	5 	3 
16 	6 	2
16 	7 	1
17 	1 	0
17 	2 	0
17 	3 	1
17 	4 	0
17 	5 	3
17 	6 	0
17 	7 	0
18 	1 	0
18 	2 	0
18 	3 	1
18 	4 	0
18 	5 	3
18 	6 	0
18 	7 	0
19 	1 	1
19 	2 	1
19 	3 	2
19 	4 	24
19 	5 	1
19 	6 	1
19 	7 	0
20 	1 	0
20 	2 	0
20 	3 	0
20 	4 	0
20 	5 	1
20 	6 	1
20 	7 	0
21 	1 	0
21 	2 	7
21 	3 	2
21 	4 	1
21 	5 	2
21 	6 	3
21 	7 	0
22 	1 	0
22 	2 	0
22 	3 	0
22 	4 	2
22 	5 	2
22 	6 	1
22 	7 	0
