day	hour	value
1	1	1414
1	2	1167
1	3	1898
1	4	2006
1	5	1982
1	6	2410
1	7	2465
1	8	2809
1	9	2681
1	10	2702
1	11	2803
1	12	2787
1	13	3209
1	14	3416
1	15	4986
1	16	4666
1	17	3275
2	1	0
2	2	5
2	3	11
2	4	14
2	5	20
2	6	140
2	7	164
2	8	130
2	9	195
2	10	206
2	11	290
2	12	167
2	13	270
2	14	292
2	15	302
2	16	380
2	17	352
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	29
3	7	72
3	8	42
3	9	58
3	10	35
3	11	38
3	12	42
3	13	59
3	14	41
3	15	70
3	16	65
3	17	115
4	1	2
4	2	3
4	3	17
4	4	1
4	5	8
4	6	6
4	7	12
4	8	10
4	9	2
4	10	3
4	11	4
4	12	6
4	13	10
4	14	8
4	15	20
4	16	0
4	17	33
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	64
5	7	36
5	8	58
5	9	32
5	10	78
5	11	50
5	12	42
5	13	64
5	14	55
5	15	61
5	16	9
5	17	47
6	1	0
6	2	0
6	3	0
6	4	0
6	5	4
6	6	0
6	7	2
6	8	4
6	9	6
6	10	0
6	11	2
6	12	5
6	13	4
6	14	4
6	15	0
6	16	0
6	17	0
7	1	2
7	2	3
7	3	1
7	4	11
7	5	14
7	6	3
7	7	1
7	8	4
7	9	2
7	10	4
7	11	1
7	12	4
7	13	7
7	14	3
7	15	0
7	16	0
7	17	0
8	1	10
8	2	9
8	3	7
8	4	16
8	5	13
8	6	13
8	7	23
8	8	12
8	9	32
8	10	22
8	11	26
8	12	16
8	13	34
8	14	15
8	15	0
8	16	0
8	17	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	1
9	7	0
9	8	1
9	9	0
9	10	0
9	11	0
9	12	1
9	13	0
9	14	1
9	15	0
9	16	0
9	17	0
10	1	0
10	2	0
10	3	2
10	4	1
10	5	1
10	6	19
10	7	23
10	8	8
10	9	15
10	10	3
10	11	3
10	12	8
10	13	6
10	14	1
10	15	0
10	16	18
10	17	0
11	1	0
11	2	0
11	3	2
11	4	0
11	5	0
11	6	1
11	7	1
11	8	1
11	9	1
11	10	2
11	11	0
11	12	1
11	13	4
11	14	1
11	15	0
11	16	0
11	17	0
12	1	250
12	2	204
12	3	203
12	4	160
12	5	376
12	6	228
12	7	389
12	8	287
12	9	476
12	10	398
12	11	446
12	12	373
12	13	606
12	14	596
12	15	1189
12	16	1340
12	17	568
13	1	9
13	2	2
13	3	12
13	4	6
13	5	9
13	6	4
13	7	8
13	8	5
13	9	3
13	10	1
13	11	2
13	12	0
13	13	3
13	14	2
13	15	0
13	16	0
13	17	0
14	1	79
14	2	26
14	3	36
14	4	27
14	5	118
14	6	26
14	7	106
14	8	40
14	9	77
14	10	76
14	11	119
14	12	95
14	13	90
14	14	113
14	15	309
14	16	258
14	17	217
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	19
15	11	29
15	12	25
15	13	66
15	14	39
15	15	20
15	16	65
15	17	34
16	1	5
16	2	1
16	3	1
16	4	1
16	5	4
16	6	14
16	7	1
16	8	0
16	9	0
16	10	0
16	11	0
16	12	1
16	13	1
16	14	1
16	15	0
16	16	0
16	17	0
17	1	27
17	2	6
17	3	18
17	4	4
17	5	3
17	6	10
17	7	1
17	8	0
17	9	2
17	10	1
17	11	1
17	12	3
17	13	10
17	14	3
17	15	0
17	16	0
17	17	0
18	1	1
18	2	2
18	3	1
18	4	0
18	5	0
18	6	0
18	7	1
18	8	0
18	9	1
18	10	0
18	11	0
18	12	0
18	13	3
18	14	0
18	15	0
18	16	0
18	17	0
19	1	0
19	2	1
19	3	0
19	4	0
19	5	0
19	6	1
19	7	0
19	8	1
19	9	1
19	10	2
19	11	1
19	12	0
19	13	3
19	14	2
19	15	0
19	16	0
19	17	0
20	1	8
20	2	7
20	3	11
20	4	20
20	5	26
20	6	12
20	7	48
20	8	16
20	9	29
20	10	15
20	11	11
20	12	21
20	13	37
20	14	21
20	15	0
20	16	33
20	17	81
21	1	643
21	2	379
21	3	673
21	4	350
21	5	613
21	6	671
21	7	1181
21	8	983
21	9	1644
21	10	1195
21	11	1273
21	12	1365
21	13	2292
21	14	2012
21	15	3165
21	16	3526
21	17	4571
22	1	2
22	2	0
22	3	0
22	4	0
22	5	0
22	6	0
22	7	0
22	8	0
22	9	4
22	10	2
22	11	0
22	12	0
22	13	0
22	14	1
22	15	0
22	16	0
22	17	0
23	1	1
23	2	0
23	3	0
23	4	0
23	5	1
23	6	0
23	7	1
23	8	1
23	9	1
23	10	0
23	11	0
23	12	0
23	13	2
23	14	1
23	15	0
23	16	0
23	17	0
24	1	35
24	2	7
24	3	17
24	4	21
24	5	46
24	6	9
24	7	66
24	8	23
24	9	37
24	10	21
24	11	22
24	12	18
24	13	68
24	14	30
24	15	97
24	16	45
24	17	105
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	20
25	13	33
25	14	34
25	15	82
25	16	124
25	17	216
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	0
26	7	4
26	8	5
26	9	11
26	10	3
26	11	6
26	12	7
26	13	14
26	14	18
26	15	24
26	16	0
26	17	0
27	1	18
27	2	11
27	3	32
27	4	22
27	5	42
27	6	30
27	7	44
27	8	27
27	9	66
27	10	34
27	11	29
27	12	11
27	13	65
27	14	35
27	15	121
27	16	50
27	17	99
28	1	31
28	2	22
28	3	65
28	4	36
28	5	39
28	6	27
28	7	67
28	8	45
28	9	54
28	10	24
28	11	10
28	12	13
28	13	18
28	14	20
28	15	0
28	16	41
28	17	50
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	16
29	7	33
29	8	27
29	9	37
29	10	11
29	11	6
29	12	2
29	13	7
29	14	6
29	15	0
29	16	27
29	17	27
30	1	1
30	2	0
30	3	0
30	4	0
30	5	2
30	6	0
30	7	0
30	8	0
30	9	0
30	10	0
30	11	0
30	12	0
30	13	0
30	14	0
30	15	0
30	16	0
30	17	0
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	0
31	7	0
31	8	0
31	9	1
31	10	0
31	11	1
31	12	1
31	13	0
31	14	6
31	15	0
31	16	0
31	17	0
32	1	3
32	2	2
32	3	3
32	4	9
32	5	5
32	6	0
32	7	1
32	8	0
32	9	1
32	10	3
32	11	0
32	12	5
32	13	5
32	14	10
32	15	0
32	16	0
32	17	0
33	1	2
33	2	1
33	3	1
33	4	4
33	5	0
33	6	0
33	7	1
33	8	0
33	9	0
33	10	1
33	11	5
33	12	3
33	13	1
33	14	4
33	15	0
33	16	0
33	17	0
34	1	0
34	2	2
34	3	1
34	4	4
34	5	3
34	6	0
34	7	3
34	8	1
34	9	1
34	10	0
34	11	1
34	12	0
34	13	0
34	14	0
34	15	0
34	16	0
34	17	0
35	1	2
35	2	0
35	3	0
35	4	8
35	5	1
35	6	0
35	7	0
35	8	2
35	9	2
35	10	0
35	11	1
35	12	2
35	13	3
35	14	9
35	15	0
35	16	0
35	17	0
36	1	4
36	2	0
36	3	5
36	4	1
36	5	13
36	6	0
36	7	1
36	8	6
36	9	9
36	10	14
36	11	12
36	12	5
36	13	9
36	14	22
36	15	0
36	16	0
36	17	25
37	1	0
37	2	0
37	3	1
37	4	1
37	5	7
37	6	0
37	7	2
37	8	4
37	9	2
37	10	0
37	11	1
37	12	1
37	13	1
37	14	2
37	15	0
37	16	0
37	17	0
38	1	4
38	2	3
38	3	8
38	4	0
38	5	4
38	6	10
38	7	10
38	8	2
38	9	1
38	10	6
38	11	2
38	12	6
38	13	8
38	14	5
38	15	0
38	16	90
38	17	24
39	1	0
39	2	0
39	3	1
39	4	0
39	5	0
39	6	0
39	7	2
39	8	0
39	9	10
39	10	9
39	11	0
39	12	13
39	13	8
39	14	0
39	15	0
39	16	0
39	17	0
40	1	15
40	2	9
40	3	2
40	4	0
40	5	1
40	6	2
40	7	3
40	8	2
40	9	3
40	10	0
40	11	3
40	12	1
40	13	0
40	14	4
40	15	0
40	16	0
40	17	0
41	1	1
41	2	1
41	3	1
41	4	1
41	5	0
41	6	0
41	7	1
41	8	0
41	9	0
41	10	1
41	11	0
41	12	0
41	13	0
41	14	1
41	15	0
41	16	0
41	17	0
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	0
42	7	2
42	8	0
42	9	1
42	10	0
42	11	1
42	12	1
42	13	3
42	14	3
42	15	0
42	16	0
42	17	0
43	1	0
43	2	0
43	3	0
43	4	0
43	5	1
43	6	0
43	7	0
43	8	0
43	9	1
43	10	0
43	11	0
43	12	0
43	13	0
43	14	0
43	15	0
43	16	0
43	17	0
44	1	1
44	2	0
44	3	0
44	4	0
44	5	0
44	6	0
44	7	0
