day	hour	value
1	1	0
1	2	16
1	3	0
1	4	24
1	5	53
1	6	19
1	7	51
1	8	25
1	9	25
1	10	20
1	11	24
1	12	20
1	13	26
1	14	25
1	15	47
1	16	0
1	17	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	1
2	15	0
2	16	0
2	17	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	1
3	7	2
3	8	0
3	9	1
3	10	2
3	11	2
3	12	3
3	13	0
3	14	1
3	15	0
3	16	0
3	17	0
4	1	0
4	2	8
4	3	0
4	4	8
4	5	17
4	6	8
4	7	5
4	8	5
4	9	8
4	10	14
4	11	5
4	12	15
4	13	17
4	14	16
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	1
5	14	0
5	15	0
5	16	0
5	17	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	3
7	6	0
7	7	0
7	8	1
7	9	0
7	10	1
7	11	0
7	12	0
7	13	1
7	14	0
7	15	0
7	16	0
7	17	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	1
8	9	0
8	10	0
8	11	0
8	12	0
8	13	0
8	14	0
8	15	0
8	16	0
8	17	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
9	10	0
9	11	0
9	12	0
9	13	0
9	14	0
9	15	0
9	16	0
9	17	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	0
10	7	0
10	8	0
10	9	0
10	10	0
10	11	0
10	12	0
10	13	0
10	14	0
10	15	0
10	16	0
10	17	0
11	1	0
11	2	2
11	3	0
11	4	0
11	5	0
11	6	1
11	7	0
11	8	0
11	9	0
11	10	0
11	11	0
11	12	0
11	13	1
11	14	0
11	15	0
11	16	0
11	17	0
12	1	0
12	2	2
12	3	0
12	4	0
12	5	6
12	6	1
12	7	1
12	8	1
12	9	1
12	10	3
12	11	3
12	12	0
12	13	1
12	14	2
12	15	0
12	16	0
12	17	0
13	1	0
13	2	0
13	3	0
13	4	0
13	5	1
13	6	0
13	7	0
13	8	1
13	9	0
13	10	0
13	11	0
13	12	0
13	13	0
13	14	0
13	15	0
13	16	0
13	17	0
14	1	0
14	2	1
14	3	0
14	4	3
14	5	2
14	6	0
14	7	1
14	8	0
14	9	0
14	10	1
14	11	2
14	12	1
14	13	0
14	14	0
14	15	0
14	16	0
14	17	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	2
15	11	0
15	12	0
15	13	2
15	14	3
15	15	0
15	16	0
15	17	0
16	1	0
16	2	0
16	3	0
16	4	2
16	5	2
16	6	1
16	7	1
16	8	1
16	9	0
16	10	0
16	11	0
16	12	5
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
17	1	0
17	2	14
17	3	0
17	4	42
17	5	37
17	6	41
17	7	42
17	8	19
17	9	19
17	10	16
17	11	22
17	12	22
17	13	15
17	14	33
17	15	0
17	16	23
17	17	18
18	1	0
18	2	0
18	3	0
18	4	1
18	5	2
18	6	8
18	7	1
18	8	4
18	9	2
18	10	0
18	11	1
18	12	2
18	13	1
18	14	7
18	15	0
18	16	0
18	17	18
19	1	0
19	2	0
19	3	0
19	4	0
19	5	0
19	6	0
19	7	0
19	8	1
19	9	0
19	10	0
19	11	0
19	12	0
19	13	0
19	14	0
19	15	0
19	16	0
19	17	0
20	1	0
20	2	0
20	3	0
20	4	1
20	5	6
20	6	0
20	7	0
20	8	1
20	9	2
20	10	2
20	11	0
20	12	2
20	13	1
20	14	1
20	15	0
20	16	0
20	17	0
21	1	0
21	2	186
21	3	0
21	4	280
21	5	261
21	6	237
21	7	312
21	8	207
21	9	231
21	10	210
21	11	213
21	12	200
21	13	229
21	14	280
21	15	215
21	16	417
21	17	269
22	1	0
22	2	0
22	3	0
22	4	0
22	5	0
22	6	0
22	7	0
22	8	0
22	9	0
22	10	0
22	11	0
22	12	0
22	13	0
22	14	0
22	15	0
22	16	0
22	17	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	0
23	7	0
23	8	0
23	9	0
23	10	0
23	11	0
23	12	0
23	13	0
23	14	0
23	15	0
23	16	0
23	17	0
24	1	0
24	2	2
24	3	0
24	4	0
24	5	0
24	6	0
24	7	0
24	8	0
24	9	0
24	10	1
24	11	0
24	12	0
24	13	0
24	14	0
24	15	0
24	16	0
24	17	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	5
25	13	6
25	14	3
25	15	0
25	16	0
25	17	0
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	1
26	7	0
26	8	0
26	9	0
26	10	1
26	11	1
26	12	0
26	13	1
26	14	1
26	15	0
26	16	0
26	17	0
27	1	0
27	2	0
27	3	0
27	4	0
27	5	0
27	6	0
27	7	0
27	8	0
27	9	0
27	10	0
27	11	1
27	12	0
27	13	0
27	14	1
27	15	0
27	16	0
27	17	0
28	1	0
28	2	0
28	3	0
28	4	0
28	5	0
28	6	0
28	7	0
28	8	1
