day	hour	value
1	1	0
1	2	0
1	3	1
1	4	27
1	5	26
1	6	9
1	7	20
1	8	5
1	9	43
1	10	30
1	11	28
1	12	40
1	13	46
1	14	69
1	15	37
1	16	79
1	17	61
2	1	0
2	2	0
2	3	0
2	4	14
2	5	4
2	6	32
2	7	130
2	8	47
2	9	58
2	10	26
2	11	35
2	12	65
2	13	98
2	14	36
2	15	0
2	16	43
2	17	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	8
3	7	10
3	8	11
3	9	14
3	10	14
3	11	13
3	12	10
3	13	10
3	14	12
3	15	0
3	16	0
3	17	0
4	1	0
4	2	0
4	3	8
4	4	4
4	5	12
4	6	0
4	7	2
4	8	2
4	9	3
4	10	5
4	11	4
4	12	9
4	13	6
4	14	3
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	809
5	7	1074
5	8	1025
5	9	1482
5	10	1245
5	11	1594
5	12	1801
5	13	1915
5	14	1639
5	15	2446
5	16	2344
5	17	2284
6	1	0
6	2	0
6	3	0
6	4	0
6	5	6
6	6	2
6	7	0
6	8	2
6	9	3
6	10	4
6	11	5
6	12	3
6	13	2
6	14	3
6	15	0
6	16	0
6	17	0
7	1	0
7	2	0
7	3	4
7	4	27
7	5	8
7	6	12
7	7	10
7	8	7
7	9	11
7	10	12
7	11	5
7	12	9
7	13	9
7	14	9
7	15	25
7	16	0
7	17	0
8	1	0
8	2	0
8	3	1
8	4	11
8	5	34
8	6	7
8	7	5
8	8	5
8	9	32
8	10	1
8	11	12
8	12	16
8	13	10
8	14	3
8	15	0
8	16	0
8	17	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	8
9	7	5
9	8	8
9	9	7
9	10	7
9	11	10
9	12	4
9	13	27
9	14	6
9	15	27
9	16	0
9	17	7
10	1	0
10	2	0
10	3	5
10	4	21
10	5	19
10	6	18
10	7	21
10	8	24
10	9	33
10	10	20
10	11	25
10	12	21
10	13	24
10	14	15
10	15	40
10	16	0
10	17	134
11	1	0
11	2	0
11	3	0
11	4	1
11	5	1
11	6	2
11	7	5
11	8	5
11	9	6
11	10	2
11	11	4
11	12	0
11	13	1
11	14	2
11	15	0
11	16	0
11	17	0
12	1	0
12	2	0
12	3	51
12	4	157
12	5	202
12	6	105
12	7	156
12	8	92
12	9	256
12	10	74
12	11	116
12	12	155
12	13	145
12	14	135
12	15	230
12	16	196
12	17	147
13	1	0
13	2	0
13	3	3
13	4	8
13	5	17
13	6	4
13	7	5
13	8	1
13	9	2
13	10	0
13	11	0
13	12	0
13	13	0
13	14	0
13	15	0
13	16	0
13	17	0
14	1	0
14	2	0
14	3	214
14	4	465
14	5	556
14	6	136
14	7	174
14	8	114
14	9	152
14	10	94
14	11	132
14	12	161
14	13	131
14	14	147
14	15	231
14	16	89
14	17	146
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	11
15	11	13
15	12	13
15	13	18
15	14	8
15	15	12
15	16	0
15	17	0
16	1	0
16	2	0
16	3	0
16	4	1
16	5	0
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	1
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	1
17	6	0
17	7	0
17	8	1
17	9	0
17	10	0
17	11	0
17	12	0
17	13	2
17	14	0
17	15	0
17	16	0
17	17	0
18	1	0
18	2	0
18	3	0
18	4	3
18	5	2
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
18	12	0
18	13	2
18	14	0
18	15	0
18	16	0
18	17	0
19	1	0
19	2	0
19	3	4
19	4	4
19	5	19
19	6	5
19	7	10
19	8	23
19	9	38
19	10	5
19	11	19
19	12	2
19	13	15
19	14	11
19	15	0
19	16	0
19	17	0
20	1	0
20	2	0
20	3	8
20	4	11
20	5	16
20	6	2
20	7	4
20	8	8
20	9	6
20	10	0
20	11	5
20	12	2
20	13	3
20	14	5
20	15	40
20	16	0
20	17	0
21	1	0
21	2	0
21	3	40
21	4	73
21	5	141
21	6	57
21	7	40
21	8	11
21	9	92
21	10	29
21	11	33
21	12	51
21	13	51
21	14	49
21	15	29
21	16	89
21	17	117
22	1	0
22	2	0
22	3	0
22	4	2
22	5	2
22	6	0
22	7	0
22	8	0
22	9	2
22	10	0
22	11	3
22	12	0
22	13	0
22	14	2
22	15	0
22	16	0
22	17	0
23	1	0
23	2	0
23	3	2
23	4	2
23	5	0
23	6	1
23	7	1
23	8	0
23	9	1
23	10	5
23	11	3
23	12	0
23	13	3
23	14	1
23	15	0
23	16	0
23	17	0
24	1	0
24	2	0
24	3	10
24	4	35
24	5	88
24	6	18
24	7	50
24	8	8
24	9	53
24	10	23
24	11	28
24	12	42
24	13	48
24	14	24
24	15	118
24	16	30
24	17	103
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	5
25	13	6
25	14	12
25	15	29
25	16	0
25	17	0
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	4
26	7	3
26	8	5
26	9	8
26	10	1
26	11	2
26	12	5
26	13	2
26	14	0
26	15	0
26	16	0
26	17	0
27	1	0
27	2	0
27	3	12
27	4	33
27	5	82
27	6	30
27	7	43
27	8	29
27	9	71
27	10	22
27	11	47
27	12	21
27	13	23
27	14	9
27	15	121
27	16	101
27	17	85
28	1	0
28	2	0
28	3	1
28	4	17
28	5	19
28	6	12
28	7	18
28	8	3
28	9	17
28	10	2
28	11	5
28	12	1
28	13	4
28	14	3
28	15	12
28	16	8
28	17	34
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	10
29	7	7
29	8	19
29	9	40
29	10	1
29	11	22
29	12	11
29	13	18
29	14	11
29	15	0
29	16	0
29	17	13
30	1	0
30	2	0
30	3	1
30	4	11
30	5	3
30	6	3
30	7	3
30	8	0
30	9	2
30	10	5
30	11	2
30	12	1
30	13	3
30	14	1
30	15	0
30	16	0
30	17	0
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	0
31	7	0
31	8	1
31	9	0
31	10	0
31	11	0
31	12	4
31	13	0
31	14	0
31	15	0
31	16	0
31	17	0
32	1	0
32	2	0
32	3	7
32	4	26
32	5	10
32	6	1
32	7	1
32	8	8
32	9	3
32	10	2
32	11	1
32	12	8
32	13	3
32	14	3
32	15	0
32	16	0
32	17	0
33	1	0
33	2	0
33	3	0
33	4	0
33	5	0
33	6	0
33	7	0
33	8	1
33	9	2
33	10	0
33	11	0
33	12	0
33	13	0
33	14	0
33	15	0
33	16	0
33	17	0
34	1	0
34	2	0
34	3	2
34	4	2
34	5	2
34	6	0
34	7	0
34	8	0
34	9	0
34	10	0
34	11	1
34	12	0
34	13	0
34	14	0
34	15	0
34	16	0
34	17	0
35	1	0
35	2	0
35	3	0
35	4	18
35	5	0
35	6	0
35	7	0
35	8	1
35	9	3
35	10	0
35	11	0
35	12	5
35	13	0
35	14	0
35	15	0
35	16	0
35	17	0
36	1	0
36	2	0
36	3	0
36	4	2
36	5	3
36	6	0
36	7	1
36	8	1
36	9	1
36	10	2
36	11	1
36	12	2
36	13	1
36	14	3
36	15	0
36	16	0
36	17	0
37	1	0
37	2	0
37	3	0
37	4	8
37	5	2
37	6	1
37	7	1
37	8	0
37	9	0
37	10	0
37	11	0
37	12	2
37	13	0
37	14	0
37	15	0
37	16	0
37	17	0
38	1	0
38	2	0
38	3	7
38	4	18
38	5	11
38	6	1
38	7	1
38	8	3
38	9	5
38	10	6
38	11	9
38	12	4
38	13	5
38	14	5
38	15	0
38	16	0
38	17	0
39	1	0
39	2	0
39	3	0
39	4	8
39	5	4
39	6	2
39	7	7
39	8	2
39	9	8
39	10	10
39	11	29
39	12	12
39	13	15
39	14	27
39	15	0
39	16	0
39	17	25
40	1	0
40	2	0
40	3	0
40	4	0
40	5	0
40	6	0
40	7	0
40	8	0
40	9	0
40	10	0
40	11	0
40	12	0
40	13	0
40	14	0
40	15	0
40	16	0
40	17	0
41	1	0
41	2	0
41	3	0
41	4	0
41	5	0
41	6	0
41	7	0
41	8	0
41	9	0
41	10	0
41	11	0
41	12	0
41	13	0
41	14	0
41	15	0
41	16	0
41	17	0
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	0
42	7	1
42	8	1
42	9	0
42	10	0
42	11	0
42	12	0
42	13	0
42	14	0
42	15	0
42	16	0
42	17	0
43	1	0
43	2	0
43	3	0
43	4	3
43	5	0
43	6	5
43	7	1
43	8	1
43	9	3
43	10	2
43	11	3
43	12	4
43	13	1
43	14	3
43	15	0
43	16	0
43	17	0
44	1	0
44	2	0
44	3	1
44	4	7
44	5	14
44	6	1
44	7	9
44	8	21
44	9	5
44	10	9
44	11	10
44	12	1
44	13	4
44	14	4
44	15	0
44	16	0
44	17	0
45	1	0
45	2	0
45	3	0
45	4	0
45	5	1
45	6	2
45	7	1
45	8	4
45	9	7
45	10	2
45	11	4
45	12	0
45	13	1
45	14	3
45	15	0
45	16	0
45	17	0
46	1	0
46	2	0
46	3	27
46	4	63
46	5	119
46	6	32
46	7	30
46	8	27
46	9	55
46	10	23
46	11	38
46	12	28
46	13	24
46	14	17
46	15	34
46	16	0
46	17	0
47	1	0
47	2	0
47	3	1
47	4	2
47	5	7
47	6	1
47	7	1
47	8	0
47	9	13
47	10	0
47	11	3
47	12	2
47	13	2
47	14	0
47	15	0
47	16	0
47	17	0
48	1	0
48	2	0
48	3	0
48	4	11
48	5	8
48	6	1
48	7	4
48	8	0
48	9	0
48	10	1
48	11	0
48	12	4
48	13	2
48	14	0
48	15	0
48	16	0
48	17	0
