day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	3
1	11	0
1	12	0
1	13	0
1	14	0
1	15	0
1	16	0
1	17	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	0
2	15	0
2	16	0
2	17	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	2
3	7	0
3	8	9
3	9	41
3	10	50
3	11	47
3	12	42
3	13	39
3	14	57
3	15	38
3	16	0
3	17	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	1
4	10	6
4	11	6
4	12	2
4	13	0
4	14	2
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	2
5	12	7
5	13	1
5	14	7
5	15	0
5	16	0
5	17	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	1
6	15	0
6	16	0
6	17	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	2
7	10	4
7	11	7
7	12	4
7	13	0
7	14	10
7	15	0
7	16	0
7	17	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	6
8	7	0
8	8	63
8	9	58
8	10	44
8	11	67
8	12	65
8	13	121
8	14	56
8	15	175
8	16	276
8	17	261
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	3
9	10	1
9	11	0
9	12	0
9	13	4
9	14	1
9	15	0
9	16	0
9	17	14
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	5
10	7	0
10	8	19
10	9	71
10	10	5
10	11	29
10	12	20
10	13	5
10	14	10
10	15	0
10	16	99
10	17	0
11	1	0
11	2	0
11	3	0
11	4	0
11	5	0
11	6	1
11	7	0
11	8	24
11	9	29
11	10	10
11	11	63
11	12	28
11	13	49
11	14	20
11	15	52
11	16	54
11	17	89
12	1	0
12	2	0
12	3	0
12	4	0
12	5	0
12	6	0
12	7	0
12	8	0
12	9	1
12	10	2
12	11	3
12	12	2
12	13	0
12	14	1
12	15	0
12	16	0
12	17	0
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	2
13	9	4
13	10	0
13	11	2
13	12	0
13	13	1
13	14	0
13	15	0
13	16	0
13	17	0
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	0
14	7	0
14	8	0
14	9	0
14	10	4
14	11	1
14	12	0
14	13	2
14	14	7
14	15	0
14	16	0
14	17	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	4
15	11	1
15	12	11
15	13	6
15	14	20
15	15	40
15	16	0
15	17	54
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	0
17	7	0
17	8	0
17	9	0
17	10	0
17	11	0
17	12	1
17	13	0
17	14	0
17	15	0
17	16	0
17	17	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	1
18	10	1
18	11	0
18	12	0
18	13	0
18	14	0
18	15	0
18	16	0
18	17	0
19	1	0
19	2	0
19	3	0
19	4	0
19	5	0
19	6	0
19	7	0
19	8	10
19	9	16
19	10	11
19	11	16
19	12	14
19	13	14
19	14	29
19	15	0
19	16	21
19	17	0
20	1	0
20	2	0
20	3	0
20	4	0
20	5	0
20	6	1
20	7	0
20	8	6
20	9	22
20	10	12
20	11	6
20	12	13
20	13	8
20	14	15
20	15	20
20	16	0
20	17	54
21	1	0
21	2	0
21	3	0
21	4	0
21	5	0
21	6	0
21	7	0
21	8	0
21	9	1
21	10	0
21	11	0
21	12	0
21	13	1
21	14	1
21	15	0
21	16	0
21	17	0
22	1	0
22	2	0
22	3	0
22	4	0
22	5	0
22	6	13
22	7	0
22	8	94
22	9	46
22	10	51
22	11	64
22	12	56
22	13	87
22	14	39
22	15	135
22	16	101
22	17	21
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	14
23	7	0
23	8	78
23	9	114
23	10	105
23	11	105
23	12	84
23	13	95
23	14	54
23	15	155
23	16	59
23	17	75
24	1	0
24	2	0
24	3	0
24	4	0
24	5	0
24	6	0
24	7	0
24	8	1
24	9	6
24	10	1
24	11	0
24	12	0
24	13	0
24	14	0
24	15	0
24	16	0
24	17	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	0
25	13	0
25	14	1
25	15	0
25	16	0
25	17	0
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	5
26	7	0
26	8	3
26	9	3
26	10	1
26	11	3
26	12	1
26	13	3
26	14	1
26	15	0
26	16	0
26	17	0
27	1	0
27	2	0
27	3	0
27	4	0
27	5	0
27	6	0
27	7	0
27	8	1
27	9	0
27	10	1
27	11	2
27	12	0
27	13	0
27	14	0
27	15	0
27	16	0
27	17	0
28	1	0
28	2	0
28	3	0
28	4	0
28	5	0
28	6	0
28	7	0
28	8	0
28	9	0
28	10	0
28	11	0
28	12	0
28	13	0
28	14	0
28	15	0
28	16	0
28	17	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	0
29	7	0
29	8	0
29	9	0
29	10	0
29	11	0
29	12	0
29	13	0
29	14	0
29	15	0
29	16	0
29	17	0
30	1	0
30	2	0
30	3	0
30	4	0
30	5	0
30	6	1
30	7	0
30	8	3
30	9	20
30	10	5
30	11	14
30	12	7
30	13	5
30	14	5
30	15	39
30	16	0
30	17	0
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	0
31	7	0
31	8	0
31	9	0
31	10	0
31	11	0
31	12	0
31	13	0
31	14	1
31	15	0
31	16	0
31	17	0
32	1	0
32	2	0
32	3	0
32	4	0
32	5	0
32	6	0
32	7	0
32	8	4
32	9	8
32	10	5
32	11	40
32	12	24
32	13	19
32	14	5
32	15	65
32	16	17
32	17	63
33	1	0
33	2	0
33	3	0
33	4	0
33	5	0
33	6	0
33	7	0
33	8	2
33	9	0
33	10	1
33	11	7
33	12	1
33	13	7
33	14	4
33	15	0
33	16	17
33	17	0
34	1	0
34	2	0
34	3	0
34	4	0
34	5	0
34	6	0
34	7	0
34	8	0
34	9	0
34	10	0
34	11	2
34	12	0
34	13	2
34	14	0
34	15	0
34	16	0
34	17	0
35	1	0
35	2	0
35	3	0
35	4	0
35	5	0
35	6	0
35	7	0
35	8	0
35	9	1
35	10	0
35	11	20
35	12	6
35	13	5
35	14	1
35	15	0
35	16	17
35	17	0
36	1	0
36	2	0
36	3	0
36	4	0
36	5	0
36	6	0
36	7	0
36	8	0
36	9	0
36	10	0
36	11	0
36	12	0
36	13	0
36	14	0
36	15	0
36	16	0
36	17	0
37	1	0
37	2	0
37	3	0
37	4	0
37	5	0
37	6	0
37	7	0
37	8	0
37	9	0
37	10	0
37	11	0
37	12	0
37	13	0
37	14	0
37	15	0
37	16	0
37	17	0
38	1	0
38	2	0
38	3	0
38	4	0
38	5	0
38	6	0
38	7	0
38	8	0
38	9	10
38	10	0
38	11	1
38	12	0
38	13	0
38	14	0
38	15	0
38	16	0
38	17	0
39	1	0
39	2	0
39	3	0
39	4	0
39	5	0
39	6	34
39	7	0
39	8	101
39	9	277
39	10	212
39	11	255
39	12	240
39	13	220
39	14	288
39	15	233
39	16	263
39	17	177
40	1	0
40	2	0
40	3	0
40	4	0
40	5	0
40	6	0
40	7	0
40	8	0
40	9	0
40	10	0
40	11	0
40	12	0
40	13	1
40	14	0
40	15	0
40	16	0
40	17	0
41	1	0
41	2	0
41	3	0
41	4	0
41	5	0
41	6	0
41	7	0
41	8	0
41	9	1
41	10	0
41	11	0
41	12	0
41	13	0
41	14	0
41	15	0
41	16	0
41	17	0
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	0
42	7	0
42	8	0
42	9	0
42	10	0
42	11	0
42	12	0
42	13	0
42	14	0
42	15	0
42	16	0
42	17	0
43	1	0
43	2	0
43	3	0
43	4	0
43	5	0
43	6	0
43	7	0
43	8	6
43	9	12
43	10	6
43	11	5
43	12	7
43	13	3
43	14	6
43	15	0
43	16	0
43	17	0
44	1	0
44	2	0
44	3	0
44	4	0
44	5	0
44	6	28
44	7	0
44	8	113
44	9	288
44	10	173
44	11	238
44	12	212
44	13	214
44	14	213
44	15	314
44	16	335
44	17	252
45	1	0
45	2	0
45	3	0
45	4	0
45	5	0
45	6	0
45	7	0
45	8	10
45	9	8
45	10	11
45	11	8
45	12	17
45	13	42
45	14	10
45	15	49
45	16	0
45	17	43
46	1	0
46	2	0
46	3	0
46	4	0
46	5	0
46	6	2
46	7	0
46	8	2
46	9	5
46	10	8
46	11	6
46	12	8
46	13	10
46	14	7
46	15	0
46	16	0
46	17	0
47	1	0
47	2	0
47	3	0
47	4	0
47	5	0
47	6	0
47	7	0
47	8	1
47	9	0
47	10	1
47	11	1
47	12	1
47	13	0
47	14	0
47	15	0
47	16	0
47	17	0
48	1	0
48	2	0
48	3	0
48	4	0
48	5	0
48	6	0
48	7	0
48	8	0
48	9	1
48	10	0
48	11	0
48	12	0
48	13	3
48	14	0
48	15	0
48	16	0
48	17	0
