day	hour	value
1	1	4
1	2	11
1	3	8
1	4	15
1	5	14
1	6	11
1	7	11
1	8	12
1	9	15
1	10	18
1	11	14
1	12	20
1	13	29
1	14	23
1	15	0
1	16	0
1	17	0
2	1	0
2	2	4
2	3	1
2	4	8
2	5	7
2	6	25
2	7	16
2	8	22
2	9	21
2	10	49
2	11	32
2	12	58
2	13	90
2	14	97
2	15	0
2	16	5
2	17	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	11
3	7	11
3	8	4
3	9	29
3	10	7
3	11	14
3	12	7
3	13	12
3	14	15
3	15	0
3	16	0
3	17	0
4	1	0
4	2	0
4	3	0
4	4	2
4	5	1
4	6	0
4	7	0
4	8	0
4	9	3
4	10	1
4	11	0
4	12	2
4	13	1
4	14	2
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	10
5	7	36
5	8	37
5	9	36
5	10	13
5	11	17
5	12	11
5	13	22
5	14	25
5	15	0
5	16	0
5	17	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	687
6	6	762
6	7	797
6	8	849
6	9	921
6	10	781
6	11	903
6	12	1189
6	13	1084
6	14	1080
6	15	1890
6	16	1592
6	17	1725
7	1	2
7	2	1
7	3	0
7	4	17
7	5	29
7	6	1
7	7	5
7	8	0
7	9	11
7	10	1
7	11	2
7	12	2
7	13	9
7	14	9
7	15	0
7	16	0
7	17	0
8	1	0
8	2	6
8	3	1
8	4	7
8	5	8
8	6	6
8	7	1
8	8	1
8	9	1
8	10	2
8	11	9
8	12	6
8	13	18
8	14	16
8	15	0
8	16	0
8	17	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	1
9	7	0
9	8	1
9	9	2
9	10	4
9	11	1
9	12	2
9	13	9
9	14	7
9	15	0
9	16	0
9	17	0
10	1	2
10	2	1
10	3	1
10	4	3
10	5	3
10	6	1
10	7	5
10	8	5
10	9	7
10	10	2
10	11	4
10	12	7
10	13	9
10	14	7
10	15	0
10	16	0
10	17	0
11	1	0
11	2	0
11	3	0
11	4	4
11	5	6
11	6	1
11	7	1
11	8	0
11	9	1
11	10	2
11	11	3
11	12	0
11	13	4
11	14	5
11	15	0
11	16	0
11	17	0
12	1	18
12	2	14
12	3	15
12	4	39
12	5	42
12	6	19
12	7	39
12	8	44
12	9	49
12	10	53
12	11	76
12	12	96
12	13	114
12	14	105
12	15	108
12	16	72
12	17	122
13	1	1
13	2	0
13	3	1
13	4	6
13	5	2
13	6	4
13	7	3
13	8	1
13	9	4
13	10	1
13	11	8
13	12	1
13	13	1
13	14	8
13	15	0
13	16	0
13	17	0
14	1	3
14	2	10
14	3	15
14	4	41
14	5	18
14	6	24
14	7	29
14	8	24
14	9	22
14	10	13
14	11	31
14	12	29
14	13	63
14	14	138
14	15	86
14	16	0
14	17	28
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	52
15	11	54
15	12	68
15	13	62
15	14	89
15	15	45
15	16	29
15	17	82
16	1	1
16	2	0
16	3	0
16	4	5
16	5	8
16	6	1
16	7	5
16	8	1
16	9	2
16	10	2
16	11	1
16	12	6
16	13	0
16	14	1
16	15	0
16	16	0
16	17	0
17	1	0
17	2	1
17	3	2
17	4	4
17	5	6
17	6	4
17	7	5
17	8	0
17	9	3
17	10	1
17	11	3
17	12	3
17	13	7
17	14	8
17	15	0
17	16	0
17	17	0
18	1	1
18	2	3
18	3	2
18	4	8
18	5	16
18	6	4
18	7	4
18	8	2
18	9	5
18	10	0
18	11	1
18	12	7
18	13	2
18	14	2
18	15	0
18	16	0
18	17	0
19	1	9
19	2	11
19	3	5
19	4	13
19	5	10
19	6	12
19	7	6
19	8	16
19	9	12
19	10	11
19	11	6
19	12	8
19	13	9
19	14	12
19	15	0
19	16	0
19	17	0
20	1	1
20	2	1
20	3	2
20	4	4
20	5	0
20	6	1
20	7	0
20	8	0
20	9	1
20	10	1
20	11	1
20	12	1
20	13	4
20	14	0
20	15	0
20	16	0
20	17	0
21	1	10
21	2	2
21	3	8
21	4	22
21	5	11
21	6	8
21	7	5
21	8	13
21	9	11
