day	hour	value
1	1	4
1	2	2
1	3	0
1	4	7
1	5	5
1	6	5
1	7	1
1	8	6
1	9	4
1	10	5
1	11	15
1	12	1
1	13	4
1	14	8
1	15	0
1	16	0
1	17	0
2	1	0
2	2	0
2	3	0
2	4	2
2	5	1
2	6	25
2	7	9
2	8	10
2	9	4
2	10	2
2	11	8
2	12	4
2	13	3
2	14	3
2	15	0
2	16	0
2	17	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	11
3	7	31
3	8	18
3	9	18
3	10	13
3	11	20
3	12	17
3	13	15
3	14	21
3	15	0
3	16	25
3	17	0
4	1	2
4	2	0
4	3	0
4	4	6
4	5	3
4	6	2
4	7	0
4	8	0
4	9	4
4	10	2
4	11	5
4	12	1
4	13	1
4	14	1
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	15
5	7	26
5	8	57
5	9	42
5	10	61
5	11	34
5	12	33
5	13	38
5	14	57
5	15	53
5	16	86
5	17	21
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	2
6	9	0
6	10	0
6	11	1
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
7	1	10
7	2	9
7	3	18
7	4	11
7	5	21
7	6	3
7	7	4
7	8	5
7	9	10
7	10	4
7	11	9
7	12	14
7	13	5
7	14	12
7	15	0
7	16	0
7	17	0
8	1	0
8	2	1
8	3	0
8	4	0
8	5	1
8	6	1
8	7	2
8	8	1
8	9	2
8	10	0
8	11	1
8	12	0
8	13	0
8	14	1
8	15	0
8	16	0
8	17	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	2
9	7	3
9	8	2
9	9	1
9	10	1
9	11	0
9	12	1
9	13	4
9	14	2
9	15	0
9	16	0
9	17	0
10	1	362
10	2	515
10	3	337
10	4	538
10	5	696
10	6	716
10	7	819
10	8	789
10	9	900
10	10	733
10	11	829
10	12	812
10	13	841
10	14	922
10	15	1017
10	16	1090
10	17	1267
11	1	0
11	2	1
11	3	1
11	4	13
11	5	6
11	6	3
11	7	2
11	8	2
11	9	0
11	10	2
11	11	1
11	12	1
11	13	1
11	14	1
11	15	54
11	16	36
11	17	43
12	1	22
12	2	44
12	3	13
12	4	34
12	5	17
12	6	43
12	7	41
12	8	41
12	9	42
12	10	38
12	11	43
12	12	51
12	13	48
12	14	51
12	15	46
12	16	81
12	17	31
13	1	8
13	2	2
13	3	7
13	4	17
13	5	19
13	6	2
13	7	5
13	8	3
13	9	3
13	10	1
13	11	0
13	12	1
13	13	1
13	14	1
13	15	0
13	16	0
13	17	0
14	1	20
14	2	19
14	3	29
14	4	39
14	5	32
14	6	48
14	7	50
14	8	44
14	9	72
14	10	45
14	11	28
14	12	42
14	13	44
14	14	66
14	15	53
14	16	0
14	17	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	9
15	11	10
15	12	9
15	13	22
15	14	15
15	15	0
15	16	0
15	17	0
16	1	0
16	2	0
16	3	0
16	4	0
16	5	1
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	1
16	14	0
16	15	0
16	16	0
16	17	0
17	1	0
17	2	2
17	3	1
17	4	0
17	5	9
17	6	1
17	7	4
17	8	10
17	9	23
17	10	4
17	11	12
17	12	6
17	13	12
17	14	18
17	15	0
17	16	0
17	17	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	2
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	1
18	12	0
18	13	0
18	14	0
18	15	0
