day	hour	value
1	1	0
1	2	24
1	3	41
1	4	17
1	5	10
1	6	59
1	7	12
1	8	50
1	9	90
1	10	59
1	11	88
1	12	127
1	13	136
1	14	50
1	15	371
1	16	173
1	17	117
2	1	0
2	2	1
2	3	12
2	4	4
2	5	2
2	6	27
2	7	51
2	8	110
2	9	160
2	10	95
2	11	389
2	12	382
2	13	329
2	14	358
2	15	584
2	16	714
2	17	723
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	4
3	7	7
3	8	19
3	9	12
3	10	9
3	11	16
3	12	32
3	13	28
3	14	28
3	15	0
3	16	0
3	17	61
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	4
4	10	3
4	11	0
4	12	0
4	13	1
4	14	0
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	9
5	7	15
5	8	88
5	9	84
5	10	68
5	11	185
5	12	126
5	13	125
5	14	143
5	15	101
5	16	89
5	17	108
6	1	0
6	2	0
6	3	0
6	4	0
6	5	1
6	6	1
6	7	0
6	8	0
6	9	9
6	10	4
6	11	5
6	12	7
6	13	25
6	14	6
6	15	81
6	16	0
6	17	0
7	1	0
7	2	2
7	3	2
7	4	11
7	5	2
7	6	7
7	7	1
7	8	2
7	9	0
7	10	0
7	11	5
7	12	17
7	13	14
7	14	2
7	15	0
7	16	0
7	17	0
8	1	0
8	2	1
8	3	20
8	4	16
8	5	15
8	6	8
8	7	9
8	8	12
8	9	11
8	10	1
8	11	85
8	12	68
8	13	27
8	14	38
8	15	0
8	16	0
8	17	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	1
9	7	4
9	8	4
9	9	15
9	10	3
9	11	11
9	12	10
9	13	18
9	14	6
9	15	0
9	16	0
9	17	24
10	1	0
10	2	0
10	3	1
10	4	4
10	5	1
10	6	4
10	7	11
10	8	13
10	9	31
10	10	0
10	11	3
10	12	13
10	13	22
10	14	14
10	15	0
10	16	0
10	17	0
11	1	0
11	2	1
11	3	2
11	4	1
11	5	0
11	6	0
11	7	1
11	8	0
11	9	1
11	10	0
11	11	1
11	12	5
11	13	2
11	14	0
11	15	0
11	16	0
11	17	0
12	1	0
12	2	105
12	3	124
12	4	113
12	5	99
12	6	194
12	7	238
12	8	776
12	9	825
12	10	522
12	11	1197
12	12	1412
12	13	1418
12	14	1492
12	15	3226
12	16	2520
12	17	2837
13	1	0
13	2	0
13	3	2
13	4	0
13	5	2
13	6	0
13	7	1
13	8	3
13	9	6
13	10	1
13	11	6
13	12	3
13	13	6
13	14	2
13	15	2
13	16	0
13	17	0
14	1	0
14	2	14
14	3	13
14	4	50
14	5	43
14	6	134
14	7	106
14	8	190
14	9	246
14	10	83
14	11	198
14	12	378
14	13	386
14	14	488
14	15	569
14	16	615
14	17	408
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	12
15	11	32
15	12	33
15	13	56
15	14	79
15	15	132
15	16	164
15	17	144
16	1	0
16	2	0
16	3	1
16	4	2
16	5	0
16	6	0
16	7	0
16	8	2
16	9	0
16	10	1
16	11	0
16	12	1
16	13	0
16	14	1
16	15	0
16	16	0
16	17	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	0
17	7	0
17	8	0
17	9	0
17	10	0
17	11	3
17	12	2
17	13	0
17	14	1
17	15	0
17	16	0
17	17	0
18	1	0
18	2	0
18	3	0
18	4	1
18	5	0
18	6	0
18	7	0
18	8	0
18	9	1
18	10	0
18	11	1
18	12	0
18	13	1
18	14	2
18	15	0
18	16	0
18	17	0
19	1	0
19	2	0
19	3	1
19	4	3
19	5	3
19	6	0
19	7	3
19	8	9
19	9	1
19	10	2
19	11	7
19	12	24
19	13	4
19	14	7
19	15	40
19	16	0
19	17	0
20	1	0
20	2	4
20	3	1
20	4	4
20	5	2
20	6	2
20	7	5
20	8	16
20	9	7
20	10	10
20	11	14
20	12	39
20	13	31
20	14	19
20	15	40
20	16	29
20	17	0
21	1	0
21	2	48
21	3	23
21	4	43
21	5	50
21	6	53
21	7	32
21	8	156
21	9	209
21	10	82
21	11	214
21	12	259
21	13	223
21	14	150
21	15	40
21	16	231
21	17	211
22	1	0
22	2	0
22	3	0
22	4	1
22	5	1
22	6	3
22	7	1
22	8	0
22	9	0
22	10	0
22	11	21
22	12	16
22	13	0
22	14	4
22	15	0
22	16	0
22	17	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	1
23	7	0
23	8	0
23	9	0
23	10	0
23	11	4
23	12	1
23	13	3
23	14	1
23	15	0
23	16	0
23	17	0
24	1	0
24	2	14
24	3	14
24	4	8
24	5	15
24	6	2
24	7	3
24	8	19
24	9	14
24	10	12
24	11	44
24	12	49
24	13	25
24	14	27
24	15	24
24	16	82
24	17	76
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	71
25	13	82
25	14	111
25	15	255
25	16	130
25	17	127
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	3
26	7	2
26	8	3
26	9	1
26	10	3
26	11	5
26	12	6
26	13	4
26	14	3
26	15	0
26	16	0
26	17	0
27	1	0
27	2	7
27	3	3
27	4	5
27	5	2
27	6	2
27	7	7
27	8	18
27	9	26
27	10	4
27	11	42
27	12	23
27	13	27
27	14	27
27	15	45
27	16	40
27	17	0
28	1	0
28	2	0
28	3	42
28	4	4
28	5	10
28	6	6
28	7	5
28	8	6
28	9	11
28	10	6
28	11	35
28	12	9
28	13	12
28	14	4
28	15	0
28	16	129
28	17	42
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	1
29	7	38
29	8	39
29	9	28
29	10	3
29	11	49
29	12	40
29	13	27
29	14	33
29	15	0
29	16	0
29	17	15
30	1	0
30	2	0
30	3	0
30	4	1
30	5	1
30	6	6
30	7	0
30	8	0
30	9	0
30	10	0
30	11	4
30	12	23
30	13	6
30	14	2
30	15	0
30	16	0
30	17	0
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	0
31	7	0
31	8	1
31	9	0
31	10	0
31	11	1
31	12	0
31	13	0
31	14	0
31	15	0
31	16	0
31	17	0
32	1	0
32	2	0
32	3	0
32	4	0
32	5	0
32	6	0
32	7	0
32	8	6
32	9	0
32	10	2
32	11	1
32	12	1
32	13	0
32	14	1
32	15	0
32	16	0
32	17	0
33	1	0
33	2	0
33	3	0
33	4	0
33	5	0
33	6	0
33	7	0
33	8	1
33	9	0
33	10	1
33	11	0
33	12	1
33	13	0
33	14	0
33	15	0
33	16	0
33	17	0
34	1	0
34	2	0
34	3	0
34	4	0
34	5	0
34	6	0
34	7	1
34	8	1
34	9	1
34	10	0
34	11	0
34	12	0
34	13	0
34	14	0
34	15	0
34	16	0
34	17	0
35	1	0
35	2	0
35	3	0
35	4	0
35	5	0
35	6	0
35	7	0
35	8	0
35	9	0
35	10	0
35	11	0
35	12	0
35	13	0
35	14	1
35	15	0
35	16	0
35	17	0
36	1	0
36	2	6
36	3	6
36	4	0
36	5	3
36	6	14
36	7	28
36	8	11
36	9	34
36	10	11
36	11	26
36	12	31
36	13	54
36	14	71
36	15	167
36	16	147
36	17	124
37	1	0
37	2	5
37	3	4
37	4	1
37	5	3
37	6	1
37	7	8
37	8	7
37	9	13
37	10	3
37	11	11
37	12	6
37	13	24
37	14	12
37	15	42
37	16	4
37	17	18
38	1	0
38	2	1
38	3	0
38	4	0
38	5	0
38	6	0
38	7	0
38	8	1
38	9	0
38	10	3
38	11	0
38	12	0
38	13	1
38	14	1
38	15	0
38	16	0
38	17	14
39	1	0
39	2	0
39	3	0
39	4	1
39	5	1
39	6	0
39	7	15
39	8	0
39	9	0
39	10	0
39	11	0
39	12	4
39	13	5
39	14	8
39	15	0
39	16	0
39	17	0
40	1	0
40	2	1
40	3	0
40	4	0
40	5	0
40	6	0
40	7	0
40	8	40
40	9	13
40	10	10
40	11	48
40	12	65
40	13	6
40	14	43
40	15	0
40	16	0
40	17	0
41	1	0
41	2	0
41	3	0
41	4	0
41	5	0
41	6	0
41	7	0
41	8	0
41	9	0
41	10	0
41	11	0
41	12	0
41	13	0
41	14	2
41	15	0
41	16	0
41	17	0
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	0
42	7	6
42	8	0
42	9	0
42	10	0
42	11	0
42	12	4
42	13	1
42	14	4
42	15	0
42	16	0
42	17	0
43	1	0
43	2	0
43	3	0
43	4	1
43	5	1
43	6	2
43	7	0
43	8	0
43	9	0
43	10	0
43	11	4
43	12	0
43	13	0
43	14	1
43	15	0
43	16	0
43	17	0
44	1	0
44	2	1
44	3	2
44	4	1
44	5	3
44	6	1
44	7	1
44	8	2
44	9	1
44	10	0
44	11	1
44	12	5
44	13	4
44	14	6
44	15	0
44	16	0
44	17	31
45	1	0
45	2	0
45	3	1
45	4	2
45	5	0
45	6	0
45	7	9
45	8	7
45	9	2
45	10	0
45	11	2
45	12	2
45	13	6
45	14	3
45	15	0
45	16	0
45	17	0
46	1	0
46	2	3
46	3	6
46	4	2
46	5	20
46	6	5
46	7	9
46	8	13
46	9	21
46	10	21
46	11	42
46	12	34
46	13	39
46	14	37
46	15	65
46	16	63
46	17	77
47	1	0
47	2	0
47	3	2
47	4	0
47	5	5
47	6	0
47	7	0
47	8	0
47	9	3
47	10	0
47	11	4
47	12	2
47	13	5
47	14	0
47	15	0
47	16	0
47	17	0
48	1	0
48	2	1
48	3	2
48	4	1
48	5	1
48	6	1
48	7	2
48	8	3
48	9	2
48	10	3
48	11	6
48	12	6
48	13	10
48	14	4
48	15	0
48	16	27
48	17	20
