day	hour	value
1	1	13
1	2	10
1	3	9
1	4	2
1	5	9
1	6	1
1	7	2
1	8	2
1	9	1
1	10	2
1	11	4
1	12	7
1	13	17
1	14	11
1	15	0
1	16	0
1	17	0
2	1	0
2	2	6
2	3	0
2	4	0
2	5	2
2	6	13
2	7	1
2	8	6
2	9	3
2	10	8
2	11	9
2	12	6
2	13	5
2	14	6
2	15	28
2	16	0
2	17	4
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	30
3	7	28
3	8	16
3	9	17
3	10	27
3	11	25
3	12	25
3	13	32
3	14	22
3	15	22
3	16	87
3	17	0
4	1	3
4	2	4
4	3	5
4	4	1
4	5	5
4	6	6
4	7	12
4	8	4
4	9	2
4	10	13
4	11	1
4	12	3
4	13	2
4	14	1
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	8
5	7	0
5	8	0
5	9	0
5	10	2
5	11	6
5	12	5
5	13	2
5	14	4
5	15	0
5	16	0
5	17	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	2
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
7	1	9
7	2	13
7	3	7
7	4	12
7	5	13
7	6	20
7	7	17
7	8	15
7	9	16
7	10	7
7	11	2
7	12	1
7	13	10
7	14	7
7	15	0
7	16	26
7	17	0
8	1	1
8	2	1
8	3	2
8	4	3
8	5	3
8	6	1
8	7	19
8	8	1
8	9	0
8	10	3
8	11	7
8	12	0
8	13	2
8	14	8
8	15	0
8	16	0
8	17	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
9	10	0
9	11	0
9	12	0
9	13	1
9	14	0
9	15	0
9	16	0
9	17	0
10	1	13
10	2	4
10	3	9
10	4	3
10	5	5
10	6	11
10	7	6
10	8	0
10	9	1
10	10	1
10	11	0
10	12	0
10	13	1
10	14	2
10	15	0
10	16	0
10	17	0
11	1	4
11	2	0
11	3	3
11	4	0
11	5	3
11	6	7
11	7	4
11	8	3
11	9	0
11	10	0
11	11	13
11	12	11
11	13	9
11	14	9
11	15	0
11	16	0
11	17	0
12	1	28
12	2	21
12	3	18
12	4	9
12	5	12
12	6	8
12	7	1
12	8	24
12	9	5
12	10	16
12	11	23
12	12	31
12	13	18
12	14	26
12	15	26
12	16	29
12	17	0
13	1	1
13	2	3
13	3	6
13	4	1
13	5	1
13	6	2
13	7	0
13	8	1
13	9	1
13	10	0
13	11	1
13	12	0
13	13	0
13	14	2
13	15	0
13	16	0
13	17	0
14	1	70
14	2	88
14	3	52
14	4	53
14	5	12
14	6	26
14	7	46
14	8	14
14	9	23
14	10	78
14	11	61
14	12	47
14	13	54
14	14	35
14	15	22
14	16	40
14	17	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	6
15	11	6
15	12	8
15	13	17
15	14	18
15	15	100
15	16	32
15	17	31
16	1	0
16	2	3
16	3	2
16	4	2
16	5	18
16	6	16
16	7	2
16	8	9
16	9	13
16	10	15
16	11	3
16	12	4
16	13	4
16	14	0
16	15	0
16	16	0
16	17	0
17	1	0
17	2	0
17	3	3
17	4	0
17	5	7
17	6	3
17	7	2
17	8	3
17	9	7
17	10	0
17	11	0
17	12	13
17	13	0
17	14	0
17	15	0
17	16	39
17	17	0
18	1	5
18	2	0
18	3	1
18	4	1
18	5	22
18	6	11
18	7	12
18	8	17
18	9	35
18	10	5
18	11	5
18	12	26
18	13	11
18	14	1
18	15	0
18	16	0
18	17	0
19	1	1
19	2	4
19	3	4
19	4	0
19	5	8
19	6	2
19	7	9
19	8	3
19	9	5
19	10	3
19	11	1
19	12	1
19	13	1
19	14	1
19	15	0
19	16	0
19	17	0
20	1	290
20	2	185
20	3	237
20	4	139
20	5	171
20	6	88
20	7	36
20	8	46
20	9	40
20	10	33
20	11	67
20	12	53
20	13	90
20	14	68
20	15	59
20	16	29
20	17	138
21	1	70
21	2	45
21	3	31
21	4	33
21	5	13
21	6	15
21	7	3
21	8	14
21	9	7
21	10	14
21	11	43
21	12	73
21	13	59
21	14	65
21	15	190
21	16	100
21	17	135
22	1	0
22	2	1
22	3	2
22	4	0
22	5	2
22	6	0
22	7	4
22	8	1
22	9	0
22	10	0
22	11	4
22	12	0
22	13	0
22	14	2
22	15	0
22	16	0
22	17	0
23	1	0
23	2	1
23	3	13
23	4	10
23	5	6
23	6	4
23	7	0
23	8	0
23	9	1
23	10	0
23	11	1
23	12	0
23	13	0
23	14	1
23	15	0
23	16	0
23	17	0
24	1	36
24	2	16
24	3	8
24	4	6
24	5	5
24	6	20
24	7	6
24	8	5
24	9	4
24	10	3
24	11	19
24	12	24
24	13	18
24	14	8
24	15	26
24	16	32
24	17	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	14
25	13	14
25	14	14
25	15	0
25	16	0
25	17	0
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	140
26	7	148
26	8	154
26	9	152
26	10	168
26	11	252
26	12	209
26	13	199
26	14	167
26	15	224
26	16	140
26	17	151
27	1	44
27	2	13
27	3	10
27	4	14
27	5	16
27	6	2
27	7	4
27	8	6
27	9	4
27	10	2
27	11	17
27	12	36
27	13	33
27	14	9
27	15	0
27	16	0
27	17	0
28	1	9
28	2	3
28	3	1
28	4	2
28	5	0
28	6	1
28	7	1
28	8	0
28	9	1
28	10	0
28	11	0
28	12	4
28	13	3
28	14	4
28	15	0
28	16	0
28	17	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	5
29	7	0
29	8	1
29	9	0
29	10	1
29	11	0
29	12	0
29	13	3
29	14	1
29	15	0
29	16	0
29	17	0
30	1	12
30	2	8
30	3	30
30	4	13
30	5	8
30	6	14
30	7	11
30	8	4
30	9	2
30	10	3
30	11	4
30	12	2
30	13	1
30	14	3
30	15	23
30	16	26
30	17	0
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	4
31	7	0
31	8	0
31	9	0
31	10	0
31	11	0
31	12	0
31	13	1
31	14	0
31	15	0
31	16	0
31	17	0
32	1	3
32	2	0
32	3	2
32	4	2
32	5	8
32	6	1
32	7	2
32	8	0
32	9	0
32	10	0
32	11	2
