day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	21
1	11	51
1	12	11
1	13	6
1	14	13
1	15	0
1	16	0
1	17	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	63
2	11	85
2	12	32
2	13	33
2	14	12
2	15	0
2	16	17
2	17	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	28
3	11	27
3	12	17
3	13	12
3	14	14
3	15	0
3	16	0
3	17	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	12
4	11	7
4	12	6
4	13	9
4	14	11
4	15	24
4	16	0
4	17	28
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	4
5	11	25
5	12	2
5	13	5
5	14	3
5	15	24
5	16	0
5	17	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	4
6	12	3
6	13	1
6	14	2
6	15	54
6	16	0
6	17	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	12
7	11	7
7	12	5
7	13	2
7	14	4
7	15	0
7	16	0
7	17	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	0
8	9	0
8	10	11
8	11	7
8	12	1
8	13	4
8	14	3
8	15	0
8	16	20
8	17	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
9	10	7
9	11	0
9	12	2
9	13	4
9	14	5
9	15	24
9	16	21
9	17	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	0
10	7	0
10	8	0
10	9	0
10	10	17
10	11	9
10	12	13
10	13	22
10	14	14
10	15	25
10	16	0
10	17	21
11	1	0
11	2	0
11	3	0
11	4	0
11	5	0
11	6	0
11	7	0
11	8	0
11	9	0
11	10	7
11	11	12
11	12	4
11	13	3
11	14	5
11	15	0
11	16	0
11	17	0
12	1	0
12	2	0
12	3	0
12	4	0
12	5	0
12	6	0
12	7	0
12	8	0
12	9	0
12	10	65
12	11	81
12	12	16
12	13	27
12	14	23
12	15	34
12	16	107
12	17	116
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	0
13	9	0
13	10	1
13	11	0
13	12	2
13	13	2
13	14	0
13	15	0
13	16	0
13	17	0
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	0
14	7	0
14	8	0
14	9	0
14	10	228
14	11	123
14	12	94
14	13	72
14	14	82
14	15	242
14	16	153
14	17	21
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	28
15	11	33
15	12	14
15	13	20
15	14	32
15	15	0
15	16	0
15	17	4
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	0
16	14	1
16	15	0
16	16	0
16	17	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	0
17	7	0
17	8	0
17	9	0
17	10	22
17	11	16
17	12	26
17	13	16
17	14	34
17	15	25
17	16	20
17	17	44
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
18	12	1
18	13	2
18	14	1
18	15	0
18	16	0
18	17	0
19	1	0
19	2	0
19	3	0
19	4	0
19	5	0
19	6	0
19	7	0
19	8	0
19	9	0
19	10	67
19	11	10
19	12	9
19	13	15
19	14	19
19	15	0
19	16	63
19	17	0
20	1	0
20	2	0
20	3	0
20	4	0
20	5	0
20	6	0
20	7	0
20	8	0
20	9	0
20	10	23
20	11	9
20	12	7
20	13	9
20	14	6
20	15	0
20	16	4
20	17	129
21	1	0
21	2	0
21	3	0
21	4	0
21	5	0
21	6	0
21	7	0
21	8	0
21	9	0
21	10	31
21	11	48
21	12	27
21	13	10
21	14	19
21	15	0
21	16	0
21	17	16
22	1	0
22	2	0
22	3	0
22	4	0
22	5	0
22	6	0
22	7	0
22	8	0
22	9	0
22	10	2
22	11	0
22	12	1
22	13	2
22	14	0
22	15	0
22	16	0
22	17	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	0
23	7	0
23	8	0
23	9	0
23	10	0
23	11	0
23	12	4
23	13	6
23	14	5
23	15	0
23	16	0
23	17	0
24	1	0
24	2	0
24	3	0
24	4	0
24	5	0
24	6	0
24	7	0
24	8	0
24	9	0
24	10	38
24	11	14
24	12	19
24	13	24
24	14	22
24	15	0
24	16	0
24	17	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	603
25	13	743
25	14	749
25	15	1009
25	16	1963
25	17	1356
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	0
26	7	0
26	8	0
26	9	0
26	10	17
26	11	5
26	12	3
26	13	7
26	14	2
26	15	0
26	16	0
26	17	0
27	1	0
27	2	0
27	3	0
27	4	0
27	5	0
27	6	0
27	7	0
27	8	0
27	9	0
27	10	56
27	11	33
27	12	58
27	13	105
27	14	74
27	15	73
27	16	70
27	17	180
28	1	0
28	2	0
28	3	0
28	4	0
28	5	0
28	6	0
28	7	0
28	8	0
28	9	0
28	10	3
28	11	0
28	12	1
28	13	0
28	14	2
28	15	0
28	16	0
28	17	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	0
29	7	0
29	8	0
29	9	0
29	10	7
29	11	0
29	12	0
29	13	0
29	14	1
29	15	0
29	16	0
29	17	0
30	1	0
30	2	0
30	3	0
30	4	0
30	5	0
30	6	0
30	7	0
30	8	0
30	9	0
30	10	8
30	11	5
30	12	2
30	13	5
30	14	7
30	15	0
30	16	0
30	17	0
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	0
31	7	0
31	8	0
31	9	0
31	10	3
31	11	0
31	12	0
31	13	0
31	14	0
31	15	0
31	16	0
31	17	0
32	1	0
32	2	0
32	3	0
32	4	0
32	5	0
32	6	0
32	7	0
32	8	0
32	9	0
32	10	13
32	11	3
32	12	2
32	13	3
32	14	6
32	15	0
32	16	0
32	17	0
33	1	0
33	2	0
33	3	0
33	4	0
33	5	0
33	6	0
33	7	0
33	8	0
33	9	0
33	10	0
33	11	1
33	12	0
33	13	0
33	14	0
33	15	0
33	16	0
33	17	0
34	1	0
34	2	0
34	3	0
34	4	0
34	5	0
34	6	0
34	7	0
34	8	0
34	9	0
34	10	9
34	11	1
34	12	1
34	13	0
34	14	4
34	15	0
34	16	29
34	17	33
35	1	0
35	2	0
35	3	0
35	4	0
35	5	0
35	6	0
35	7	0
35	8	0
35	9	0
35	10	13
35	11	1
35	12	1
35	13	0
35	14	15
35	15	0
35	16	29
35	17	33
36	1	0
36	2	0
36	3	0
36	4	0
36	5	0
36	6	0
36	7	0
36	8	0
36	9	0
36	10	24
36	11	28
36	12	1
36	13	2
36	14	8
36	15	32
36	16	0
36	17	19
37	1	0
37	2	0
37	3	0
37	4	0
37	5	0
37	6	0
37	7	0
37	8	0
37	9	0
37	10	8
37	11	21
37	12	0
37	13	2
37	14	1
37	15	32
37	16	0
37	17	19
38	1	0
38	2	0
38	3	0
38	4	0
38	5	0
38	6	0
38	7	0
38	8	0
38	9	0
38	10	8
38	11	5
38	12	8
38	13	9
38	14	11
38	15	0
38	16	52
38	17	16
39	1	0
39	2	0
39	3	0
39	4	0
39	5	0
39	6	0
39	7	0
39	8	0
39	9	0
39	10	114
39	11	92
39	12	69
39	13	74
39	14	86
39	15	94
39	16	86
39	17	81
40	1	0
40	2	0
40	3	0
40	4	0
40	5	0
40	6	0
40	7	0
40	8	0
40	9	0
40	10	0
40	11	1
40	12	1
40	13	0
40	14	1
40	15	0
40	16	0
40	17	0
41	1	0
41	2	0
41	3	0
41	4	0
41	5	0
41	6	0
41	7	0
41	8	0
41	9	0
41	10	0
41	11	0
41	12	1
41	13	0
41	14	0
41	15	0
41	16	0
41	17	0
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	0
42	7	0
42	8	0
42	9	0
42	10	0
42	11	3
42	12	3
42	13	1
42	14	1
42	15	25
42	16	24
42	17	0
43	1	0
43	2	0
43	3	0
43	4	0
43	5	0
43	6	0
43	7	0
43	8	0
43	9	0
43	10	19
43	11	2
43	12	7
43	13	13
43	14	5
43	15	0
43	16	0
43	17	14
44	1	0
44	2	0
44	3	0
44	4	0
44	5	0
44	6	0
44	7	0
44	8	0
44	9	0
44	10	33
44	11	13
44	12	12
44	13	15
44	14	9
44	15	0
44	16	20
44	17	0
45	1	0
45	2	0
45	3	0
45	4	0
45	5	0
45	6	0
45	7	0
45	8	0
45	9	0
45	10	37
45	11	93
45	12	30
45	13	25
45	14	30
45	15	0
45	16	0
45	17	40
46	1	0
46	2	0
46	3	0
46	4	0
46	5	0
46	6	0
46	7	0
46	8	0
46	9	0
46	10	25
46	11	13
46	12	12
46	13	7
46	14	4
46	15	0
46	16	0
46	17	0
47	1	0
47	2	0
47	3	0
47	4	0
47	5	0
47	6	0
47	7	0
47	8	0
47	9	0
47	10	2
47	11	0
47	12	0
47	13	0
47	14	0
47	15	0
47	16	0
47	17	0
48	1	0
48	2	0
48	3	0
48	4	0
48	5	0
48	6	0
48	7	0
48	8	0
48	9	0
48	10	4
48	11	10
48	12	0
48	13	1
48	14	0
48	15	0
48	16	52
48	17	52
