day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	2
1	11	2
1	12	0
1	13	0
1	14	1
1	15	0
1	16	0
1	17	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	10
2	8	30
2	9	2
2	10	7
2	11	37
2	12	2
2	13	3
2	14	24
2	15	12
2	16	0
2	17	31
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	10
3	8	27
3	9	20
3	10	25
3	11	27
3	12	21
3	13	44
3	14	22
3	15	0
3	16	0
3	17	34
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	18
4	8	17
4	9	18
4	10	22
4	11	35
4	12	26
4	13	38
4	14	30
4	15	8
4	16	61
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	3
5	8	64
5	9	14
5	10	5
5	11	5
5	12	18
5	13	0
5	14	6
5	15	34
5	16	18
5	17	37
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	0
6	11	0
6	12	0
6	13	2
6	14	0
6	15	0
6	16	0
6	17	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	92
7	8	99
7	9	65
7	10	89
7	11	72
7	12	100
7	13	132
7	14	139
7	15	436
7	16	277
7	17	331
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	4
8	9	2
8	10	0
8	11	2
8	12	4
8	13	4
8	14	3
8	15	0
8	16	0
8	17	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	2
9	9	0
9	10	0
9	11	0
9	12	0
9	13	1
9	14	2
9	15	0
9	16	0
9	17	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	0
10	7	1
10	8	5
10	9	7
10	10	4
10	11	5
10	12	2
10	13	7
10	14	7
10	15	0
10	16	0
10	17	0
11	1	0
11	2	0
11	3	0
11	4	0
11	5	0
11	6	0
11	7	0
11	8	14
11	9	3
11	10	3
11	11	13
11	12	6
11	13	3
11	14	5
11	15	0
11	16	0
11	17	0
12	1	0
12	2	0
12	3	0
12	4	0
12	5	0
12	6	0
12	7	2
12	8	4
12	9	2
12	10	0
12	11	2
12	12	3
12	13	3
12	14	0
12	15	0
12	16	0
12	17	0
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	0
13	9	0
13	10	0
13	11	0
13	12	0
13	13	0
13	14	3
13	15	0
13	16	0
13	17	0
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	0
14	7	48
14	8	73
14	9	66
14	10	57
14	11	43
14	12	80
14	13	79
14	14	63
14	15	169
14	16	212
14	17	230
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	7
15	11	0
15	12	2
15	13	3
15	14	2
15	15	0
15	16	0
15	17	0
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	0
17	7	0
17	8	0
17	9	0
17	10	0
17	11	0
17	12	0
17	13	2
17	14	0
17	15	0
17	16	0
17	17	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
18	12	0
18	13	0
18	14	0
18	15	0
18	16	0
18	17	0
19	1	0
19	2	0
19	3	0
19	4	0
19	5	0
19	6	0
19	7	22
19	8	20
19	9	18
19	10	1
19	11	5
19	12	7
19	13	13
19	14	8
19	15	7
19	16	0
19	17	0
20	1	0
20	2	0
20	3	0
20	4	0
20	5	0
20	6	0
20	7	25
20	8	13
20	9	12
20	10	15
20	11	23
20	12	14
20	13	19
20	14	16
20	15	0
20	16	23
20	17	34
21	1	0
21	2	0
21	3	0
21	4	0
21	5	0
21	6	0
21	7	0
21	8	0
21	9	0
21	10	2
21	11	0
21	12	0
21	13	0
21	14	2
21	15	0
21	16	0
21	17	0
22	1	0
22	2	0
22	3	0
22	4	0
22	5	0
22	6	0
22	7	1
22	8	2
22	9	1
22	10	5
22	11	3
22	12	0
22	13	3
22	14	1
22	15	0
22	16	0
22	17	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	0
23	7	5
23	8	1
23	9	3
23	10	8
23	11	4
23	12	3
23	13	3
23	14	0
23	15	0
23	16	0
23	17	0
24	1	0
24	2	0
24	3	0
24	4	0
24	5	0
24	6	0
24	7	14
24	8	2
24	9	0
24	10	2
24	11	0
24	12	1
24	13	2
24	14	1
24	15	0
24	16	0
24	17	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	12
25	13	5
25	14	10
25	15	19
25	16	0
25	17	11
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	0
26	7	2
26	8	3
26	9	1
26	10	1
26	11	4
26	12	0
26	13	3
26	14	2
26	15	0
26	16	0
26	17	0
27	1	0
27	2	0
27	3	0
27	4	0
27	5	0
27	6	0
27	7	4
27	8	5
27	9	0
27	10	2
27	11	0
27	12	0
27	13	2
27	14	1
27	15	0
27	16	0
27	17	0
28	1	0
28	2	0
28	3	0
28	4	0
28	5	0
28	6	0
28	7	0
28	8	0
28	9	0
28	10	0
28	11	1
28	12	0
28	13	1
28	14	0
28	15	0
28	16	0
28	17	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	0
29	7	0
29	8	1
29	9	0
29	10	0
29	11	0
29	12	0
29	13	2
29	14	0
29	15	0
29	16	0
29	17	0
30	1	0
30	2	0
30	3	0
30	4	0
30	5	0
30	6	0
30	7	18
30	8	16
30	9	40
30	10	30
30	11	8
30	12	23
30	13	24
30	14	9
30	15	0
30	16	0
30	17	0
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	0
31	7	0
31	8	0
31	9	0
31	10	0
31	11	0
31	12	0
31	13	0
31	14	0
31	15	0
31	16	0
31	17	0
32	1	0
32	2	0
32	3	0
32	4	0
32	5	0
32	6	0
32	7	2
32	8	0
32	9	1
32	10	0
32	11	1
32	12	2
32	13	0
32	14	0
32	15	0
32	16	0
32	17	0
33	1	0
33	2	0
33	3	0
33	4	0
33	5	0
33	6	0
33	7	0
33	8	0
33	9	0
33	10	0
33	11	0
33	12	0
33	13	0
33	14	0
33	15	0
33	16	0
33	17	0
34	1	0
34	2	0
34	3	0
34	4	0
34	5	0
34	6	0
34	7	0
34	8	0
34	9	0
34	10	0
34	11	0
34	12	0
34	13	0
34	14	0
34	15	0
34	16	0
34	17	0
35	1	0
35	2	0
35	3	0
35	4	0
35	5	0
35	6	0
35	7	0
35	8	0
35	9	0
35	10	0
35	11	0
35	12	0
35	13	0
35	14	0
35	15	0
35	16	0
35	17	0
36	1	0
36	2	0
36	3	0
36	4	0
36	5	0
36	6	0
36	7	1
36	8	1
36	9	0
36	10	3
36	11	0
36	12	0
36	13	0
36	14	0
36	15	0
36	16	0
36	17	0
37	1	0
37	2	0
37	3	0
37	4	0
37	5	0
37	6	0
37	7	0
37	8	0
37	9	0
37	10	0
37	11	0
37	12	0
37	13	0
37	14	0
37	15	0
37	16	0
37	17	0
38	1	0
38	2	0
38	3	0
38	4	0
38	5	0
38	6	0
38	7	1
38	8	2
38	9	3
38	10	1
38	11	4
38	12	0
38	13	3
38	14	3
38	15	0
38	16	0
38	17	0
39	1	0
39	2	0
39	3	0
39	4	0
39	5	0
39	6	0
39	7	19
39	8	67
39	9	16
39	10	18
39	11	29
39	12	24
39	13	30
39	14	32
39	15	18
39	16	13
39	17	4
40	1	0
40	2	0
40	3	0
40	4	0
40	5	0
40	6	0
40	7	0
40	8	0
40	9	0
40	10	0
40	11	0
40	12	0
40	13	0
40	14	0
40	15	0
40	16	0
40	17	0
41	1	0
41	2	0
41	3	0
41	4	0
41	5	0
41	6	0
41	7	0
41	8	0
41	9	1
41	10	0
41	11	0
41	12	0
41	13	0
41	14	0
41	15	0
41	16	0
41	17	0
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	0
42	7	0
42	8	1
42	9	0
42	10	0
42	11	0
42	12	0
42	13	0
42	14	0
42	15	0
42	16	0
42	17	0
43	1	0
43	2	0
43	3	0
43	4	0
43	5	0
43	6	0
43	7	5
43	8	20
43	9	13
43	10	6
43	11	2
43	12	5
43	13	4
43	14	1
43	15	6
43	16	16
43	17	4
44	1	0
44	2	0
44	3	0
44	4	0
44	5	0
44	6	0
44	7	7
44	8	22
44	9	6
44	10	1
44	11	8
44	12	6
44	13	7
44	14	4
44	15	0
44	16	13
44	17	0
45	1	0
45	2	0
45	3	0
45	4	0
45	5	0
45	6	0
45	7	0
45	8	9
45	9	4
45	10	1
45	11	6
45	12	4
45	13	1
45	14	3
45	15	0
45	16	0
45	17	0
46	1	0
46	2	0
46	3	0
46	4	0
46	5	0
46	6	0
46	7	0
46	8	7
46	9	3
46	10	2
46	11	2
46	12	1
46	13	3
46	14	6
46	15	0
46	16	0
46	17	0
47	1	0
47	2	0
47	3	0
47	4	0
47	5	0
47	6	0
47	7	0
47	8	1
47	9	1
47	10	0
47	11	1
47	12	0
47	13	0
47	14	0
47	15	0
47	16	0
47	17	0
48	1	0
48	2	0
48	3	0
48	4	0
48	5	0
48	6	0
48	7	1
48	8	2
48	9	1
48	10	6
48	11	3
48	12	1
48	13	2
48	14	3
48	15	20
48	16	21
48	17	4
