day	hour	value
1	1	38
1	2	24
1	3	30
1	4	20
1	5	65
1	6	75
1	7	47
1	8	56
1	9	85
1	10	99
1	11	66
1	12	96
1	13	132
1	14	105
1	15	116
1	16	69
1	17	34
2	1	0
2	2	3
2	3	4
2	4	3
2	5	4
2	6	72
2	7	10
2	8	23
2	9	99
2	10	33
2	11	73
2	12	16
2	13	23
2	14	39
2	15	49
2	16	60
2	17	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	3
3	7	11
3	8	14
3	9	23
3	10	14
3	11	9
3	12	14
3	13	13
3	14	9
3	15	0
3	16	0
3	17	0
4	1	3
4	2	2
4	3	5
4	4	5
4	5	10
4	6	6
4	7	14
4	8	6
4	9	4
4	10	7
4	11	5
4	12	11
4	13	15
4	14	5
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	19
5	7	13
5	8	43
5	9	25
5	10	14
5	11	13
5	12	14
5	13	10
5	14	24
5	15	0
5	16	0
5	17	22
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	3
6	7	1
6	8	2
6	9	1
6	10	4
6	11	1
6	12	1
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
7	1	3
7	2	7
7	3	7
7	4	7
7	5	1
7	6	5
7	7	12
7	8	2
7	9	1
7	10	2
7	11	5
7	12	15
7	13	8
7	14	10
7	15	0
7	16	0
7	17	0
8	1	24
8	2	26
8	3	40
8	4	21
8	5	44
8	6	56
8	7	34
8	8	49
8	9	60
8	10	48
8	11	50
8	12	85
8	13	76
8	14	56
8	15	123
8	16	45
8	17	100
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	5
9	7	9
9	8	2
9	9	4
9	10	4
9	11	6
9	12	7
9	13	9
9	14	3
9	15	18
9	16	0
9	17	0
10	1	10
10	2	11
10	3	25
10	4	10
10	5	1
10	6	11
10	7	7
10	8	14
10	9	20
10	10	10
10	11	13
10	12	30
10	13	17
10	14	15
10	15	0
10	16	34
10	17	0
11	1	5
11	2	1
11	3	6
11	4	3
11	5	8
11	6	3
11	7	4
11	8	14
11	9	10
