day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	1
1	6	0
1	7	10
1	8	3
1	9	1
1	10	3
1	11	5
1	12	1
1	13	8
1	14	6
1	15	25
1	16	0
1	17	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	3
2	6	0
2	7	12
2	8	3
2	9	11
2	10	10
2	11	15
2	12	17
2	13	13
2	14	15
2	15	74
2	16	49
2	17	30
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	4
3	8	2
3	9	4
3	10	0
3	11	1
3	12	2
3	13	3
3	14	3
3	15	0
3	16	0
3	17	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	5
5	8	0
5	9	1
5	10	2
5	11	3
5	12	6
5	13	2
5	14	10
5	15	0
5	16	11
5	17	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	22
6	8	0
6	9	5
6	10	4
6	11	18
6	12	10
6	13	69
6	14	74
6	15	40
6	16	42
6	17	70
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	0
7	11	0
7	12	0
7	13	0
7	14	1
7	15	0
7	16	0
7	17	6
8	1	0
8	2	0
8	3	0
8	4	0
8	5	2
8	6	0
8	7	0
8	8	0
8	9	0
8	10	1
8	11	2
8	12	0
8	13	0
8	14	1
8	15	0
8	16	0
8	17	6
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	2
9	8	0
9	9	0
9	10	0
9	11	1
9	12	0
9	13	0
9	14	0
9	15	0
9	16	0
9	17	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	0
10	7	0
10	8	0
10	9	5
10	10	0
10	11	0
10	12	1
10	13	2
10	14	1
10	15	0
10	16	0
10	17	0
11	1	0
11	2	0
11	3	0
11	4	0
11	5	0
11	6	0
11	7	0
11	8	0
11	9	0
11	10	0
11	11	0
11	12	0
11	13	1
11	14	1
11	15	0
11	16	0
11	17	0
12	1	0
12	2	0
12	3	0
12	4	0
12	5	18
12	6	0
12	7	33
12	8	5
12	9	16
12	10	11
12	11	30
12	12	54
12	13	50
12	14	27
12	15	118
12	16	196
12	17	192
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	0
13	9	0
13	10	0
13	11	2
13	12	0
13	13	2
13	14	0
13	15	0
13	16	0
13	17	0
14	1	0
14	2	0
14	3	0
14	4	0
14	5	7
14	6	0
14	7	12
14	8	2
14	9	17
14	10	6
14	11	34
14	12	47
14	13	53
14	14	20
14	15	33
14	16	90
14	17	113
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	0
15	11	5
15	12	20
15	13	25
15	14	43
15	15	23
15	16	70
15	17	131
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	0
17	7	2
17	8	0
17	9	0
17	10	0
17	11	0
17	12	0
17	13	0
17	14	0
17	15	0
17	16	0
17	17	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
18	12	0
18	13	0
18	14	0
18	15	0
18	16	0
18	17	0
19	1	1
19	2	0
19	3	0
19	4	0
19	5	0
19	6	0
19	7	0
19	8	0
19	9	0
19	10	0
19	11	0
19	12	1
19	13	3
19	14	1
19	15	0
19	16	0
19	17	6
20	1	5
20	2	0
20	3	0
20	4	0
20	5	1
20	6	0
20	7	0
20	8	3
20	9	0
20	10	0
20	11	0
20	12	0
20	13	0
20	14	1
20	15	0
20	16	0
20	17	0
21	1	6
21	2	0
21	3	0
21	4	0
21	5	2
21	6	0
21	7	4
21	8	3
21	9	5
21	10	2
21	11	0
21	12	6
21	13	2
21	14	5
21	15	0
21	16	9
21	17	5
22	1	0
22	2	0
22	3	0
22	4	0
22	5	0
22	6	0
22	7	0
22	8	0
22	9	0
22	10	1
22	11	0
22	12	0
22	13	0
22	14	0
22	15	0
22	16	0
22	17	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	0
23	7	0
23	8	0
23	9	0
23	10	0
23	11	0
23	12	0
23	13	0
23	14	0
23	15	0
23	16	0
23	17	0
24	1	1
24	2	0
24	3	0
24	4	0
24	5	2
24	6	0
24	7	2
24	8	0
24	9	0
24	10	0
24	11	1
24	12	2
24	13	2
24	14	2
24	15	0
24	16	22
24	17	6
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	47
25	13	24
25	14	37
25	15	93
25	16	157
25	17	274
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	0
26	7	0
26	8	0
26	9	0
26	10	0
26	11	2
26	12	1
26	13	0
26	14	0
26	15	0
26	16	24
26	17	0
27	1	0
27	2	0
27	3	0
27	4	0
27	5	2
27	6	0
27	7	1
27	8	0
27	9	3
27	10	0
27	11	1
27	12	0
27	13	0
27	14	3
27	15	0
27	16	0
27	17	0
28	1	0
28	2	0
28	3	0
28	4	0
28	5	2
28	6	0
28	7	0
28	8	0
28	9	0
28	10	0
28	11	0
28	12	0
28	13	1
28	14	0
28	15	0
28	16	0
28	17	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	0
29	7	0
29	8	0
29	9	0
29	10	0
29	11	0
29	12	0
29	13	0
29	14	0
29	15	0
29	16	0
29	17	0
30	1	0
30	2	0
30	3	0
30	4	0
30	5	0
30	6	0
30	7	0
30	8	0
30	9	0
30	10	0
30	11	0
30	12	0
30	13	0
30	14	2
30	15	0
30	16	0
30	17	0
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	0
31	7	0
31	8	1
31	9	0
31	10	0
31	11	0
31	12	0
31	13	0
31	14	1
31	15	0
31	16	0
31	17	0
32	1	0
32	2	0
32	3	0
32	4	0
32	5	0
32	6	0
32	7	0
32	8	0
32	9	0
32	10	0
32	11	0
32	12	0
32	13	0
32	14	0
32	15	0
32	16	0
32	17	0
33	1	0
33	2	0
33	3	0
33	4	0
33	5	0
33	6	0
33	7	0
33	8	0
33	9	0
33	10	0
33	11	0
33	12	0
33	13	0
33	14	0
33	15	0
33	16	0
33	17	0
34	1	0
34	2	0
34	3	0
34	4	0
34	5	0
34	6	0
34	7	0
34	8	0
34	9	0
34	10	0
34	11	0
34	12	0
34	13	0
34	14	0
34	15	0
34	16	0
34	17	0
35	1	1
35	2	0
35	3	0
35	4	0
35	5	0
35	6	0
35	7	0
35	8	1
35	9	0
35	10	0
35	11	0
35	12	0
35	13	1
35	14	2
35	15	0
35	16	0
35	17	0
36	1	3
36	2	0
36	3	0
36	4	0
36	5	18
36	6	0
36	7	52
36	8	25
36	9	30
36	10	17
36	11	40
36	12	61
36	13	57
36	14	82
36	15	140
36	16	311
36	17	415
37	1	16
37	2	0
37	3	0
37	4	0
37	5	12
37	6	0
37	7	43
37	8	14
37	9	37
37	10	9
37	11	52
37	12	50
37	13	81
37	14	79
37	15	135
37	16	204
37	17	193
38	1	0
38	2	0
38	3	0
38	4	0
38	5	1
38	6	0
38	7	0
38	8	0
38	9	0
38	10	0
38	11	0
38	12	0
38	13	0
38	14	0
38	15	0
38	16	0
38	17	0
39	1	5
39	2	0
39	3	0
39	4	0
39	5	1
39	6	0
39	7	3
39	8	2
39	9	10
39	10	2
39	11	5
39	12	13
39	13	0
39	14	3
39	15	0
39	16	0
39	17	0
40	1	1
40	2	0
40	3	0
40	4	0
40	5	0
40	6	0
40	7	0
40	8	0
40	9	0
40	10	0
40	11	0
40	12	0
40	13	1
40	14	0
40	15	0
40	16	0
40	17	0
41	1	1
41	2	0
41	3	0
41	4	0
41	5	0
41	6	0
41	7	0
41	8	0
41	9	0
41	10	0
41	11	0
41	12	0
41	13	0
41	14	0
41	15	0
41	16	0
41	17	0
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	0
42	7	0
42	8	0
42	9	0
42	10	0
42	11	0
42	12	0
42	13	0
42	14	3
42	15	0
42	16	0
42	17	40
43	1	0
43	2	0
43	3	0
43	4	0
43	5	0
43	6	0
43	7	1
43	8	0
43	9	1
43	10	0
43	11	0
43	12	0
43	13	0
43	14	0
43	15	0
43	16	0
43	17	0
44	1	0
44	2	0
44	3	0
44	4	0
44	5	0
44	6	0
44	7	5
44	8	0
44	9	0
44	10	0
44	11	3
44	12	1
44	13	0
44	14	1
44	15	0
44	16	0
44	17	0
45	1	1
45	2	0
45	3	0
45	4	0
45	5	0
45	6	0
45	7	0
45	8	0
45	9	1
45	10	0
45	11	2
45	12	1
45	13	2
45	14	4
45	15	0
45	16	75
45	17	0
46	1	0
46	2	0
46	3	0
46	4	0
46	5	3
46	6	0
46	7	3
46	8	1
46	9	0
46	10	1
46	11	1
46	12	4
46	13	0
46	14	3
46	15	0
46	16	11
46	17	8
47	1	0
47	2	0
47	3	0
47	4	0
47	5	0
47	6	0
47	7	2
47	8	0
47	9	0
47	10	0
47	11	0
47	12	1
47	13	0
47	14	1
47	15	0
47	16	0
47	17	0
48	1	1
48	2	0
48	3	0
48	4	0
48	5	1
48	6	0
48	7	3
48	8	3
48	9	0
48	10	0
48	11	2
48	12	2
48	13	7
48	14	15
48	15	12
48	16	18
48	17	85
