day	hour	value
1	1	1
1	2	2
1	3	0
1	4	1
1	5	2
1	6	0
1	7	1
1	8	3
1	9	5
1	10	4
1	11	14
1	12	3
1	13	1
1	14	12
1	15	0
1	16	0
1	17	48
2	1	0
2	2	0
2	3	0
2	4	1
2	5	0
2	6	7
2	7	5
2	8	8
2	9	2
2	10	0
2	11	0
2	12	2
2	13	1
2	14	3
2	15	0
2	16	0
2	17	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	40
3	7	40
3	8	73
3	9	55
3	10	46
3	11	50
3	12	40
3	13	46
3	14	57
3	15	48
3	16	38
3	17	20
4	1	4
4	2	12
4	3	7
4	4	9
4	5	9
4	6	0
4	7	2
4	8	11
4	9	5
4	10	3
4	11	3
4	12	1
4	13	0
4	14	4
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	1
5	7	26
5	8	2
5	9	3
5	10	6
5	11	0
5	12	0
5	13	0
5	14	10
5	15	0
5	16	0
5	17	48
6	1	0
6	2	0
6	3	0
6	4	0
6	5	6
6	6	0
6	7	1
6	8	13
6	9	1
6	10	1
6	11	4
6	12	0
6	13	2
6	14	4
6	15	13
6	16	0
6	17	0
7	1	90
7	2	83
7	3	77
7	4	76
7	5	73
7	6	42
7	7	48
7	8	62
7	9	85
7	10	36
7	11	32
7	12	57
7	13	44
7	14	73
7	15	152
7	16	27
7	17	0
8	1	17
8	2	12
8	3	15
8	4	41
8	5	6
8	6	2
8	7	6
8	8	5
8	9	2
8	10	1
8	11	0
8	12	0
8	13	1
8	14	10
8	15	25
8	16	0
8	17	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	3
9	7	1
9	8	4
9	9	0
9	10	5
9	11	0
9	12	0
9	13	0
9	14	1
9	15	0
9	16	0
9	17	0
10	1	50
10	2	45
10	3	62
10	4	79
10	5	51
10	6	97
10	7	84
10	8	96
10	9	165
10	10	26
10	11	37
10	12	53
10	13	44
10	14	72
10	15	176
10	16	51
10	17	51
11	1	4
11	2	8
11	3	5
11	4	5
11	5	3
11	6	4
11	7	3
11	8	12
11	9	7
11	10	5
11	11	1
11	12	1
11	13	1
11	14	2
11	15	0
11	16	0
11	17	0
12	1	3
12	2	4
12	3	3
12	4	1
12	5	7
12	6	0
12	7	5
12	8	1
12	9	0
12	10	4
12	11	0
12	12	2
12	13	5
12	14	7
12	15	0
12	16	36
12	17	20
13	1	26
13	2	12
13	3	32
13	4	36
13	5	30
13	6	7
13	7	8
13	8	19
13	9	9
13	10	1
13	11	3
13	12	2
13	13	5
13	14	0
13	15	0
13	16	0
13	17	0
14	1	7
14	2	14
14	3	1
14	4	9
14	5	6
14	6	6
14	7	11
14	8	6
14	9	18
14	10	8
14	11	7
14	12	7
14	13	11
14	14	20
14	15	0
14	16	0
14	17	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	23
15	11	36
15	12	21
15	13	30
15	14	32
15	15	13
15	16	16
15	17	12
16	1	0
16	2	1
16	3	0
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
17	1	7
17	2	3
17	3	0
17	4	1
17	5	2
17	6	0
17	7	1
17	8	19
17	9	12
17	10	0
17	11	1
17	12	1
17	13	0
17	14	2
17	15	0
17	16	0
17	17	0
18	1	0
18	2	1
18	3	0
18	4	0
18	5	2
18	6	0
18	7	0
18	8	0
18	9	1
18	10	0
18	11	0
18	12	0
18	13	0
18	14	0
18	15	0
18	16	0
18	17	0
19	1	26
19	2	44
19	3	36
19	4	30
19	5	41
19	6	14
19	7	21
19	8	96
19	9	34
19	10	31
19	11	13
19	12	14
19	13	8
19	14	53
19	15	0
19	16	0
19	17	0
20	1	52
20	2	54
20	3	46
20	4	54
20	5	67
20	6	62
20	7	60
20	8	121
20	9	70
20	10	44
20	11	46
20	12	41
20	13	46
20	14	44
20	15	33
20	16	401
20	17	314
21	1	3
21	2	2
21	3	0
21	4	2
21	5	1
21	6	4
21	7	1
21	8	7
21	9	24
21	10	12
21	11	15
21	12	12
21	13	1
21	14	19
21	15	0
21	16	21
21	17	96
22	1	5
22	2	15
22	3	8
22	4	17
22	5	2
22	6	4
22	7	5
22	8	3
22	9	3
22	10	1
22	11	1
22	12	4
22	13	4
22	14	6
22	15	0
22	16	0
22	17	25
23	1	7
23	2	42
23	3	23
23	4	62
23	5	13
23	6	7
23	7	4
23	8	11
23	9	7
23	10	3
23	11	3
23	12	2
23	13	4
23	14	3
23	15	0
23	16	0
23	17	0
24	1	6
24	2	4
24	3	3
24	4	6
24	5	6
24	6	4
24	7	8
24	8	33
24	9	15
24	10	17
24	11	4
24	12	10
24	13	3
24	14	4
24	15	0
24	16	0
24	17	48
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	86
25	13	133
25	14	96
25	15	263
25	16	86
25	17	118
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	17
26	7	28
26	8	17
26	9	19
26	10	9
26	11	8
26	12	7
26	13	5
26	14	5
26	15	42
26	16	0
26	17	47
27	1	0
27	2	8
27	3	8
27	4	7
27	5	8
27	6	13
27	7	24
27	8	80
27	9	14
27	10	7
27	11	10
27	12	5
27	13	8
27	14	7
27	15	282
27	16	7
27	17	48
28	1	0
28	2	1
28	3	0
28	4	0
28	5	1
28	6	0
28	7	0
28	8	0
28	9	0
28	10	0
28	11	0
28	12	3
28	13	0
28	14	1
28	15	25
28	16	0
28	17	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	0
29	7	0
29	8	2
29	9	0
29	10	1
29	11	0
29	12	3
29	13	0
29	14	0
29	15	0
29	16	0
29	17	0
30	1	28
30	2	48
30	3	16
30	4	108
30	5	52
30	6	23
30	7	30
30	8	23
30	9	31
30	10	14
30	11	8
30	12	26
30	13	21
30	14	11
30	15	50
30	16	0
30	17	30
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	1
31	7	0
31	8	0
31	9	0
31	10	0
31	11	0
31	12	0
31	13	0
31	14	0
31	15	0
31	16	0
31	17	0
32	1	3
32	2	5
32	3	9
32	4	15
32	5	3
32	6	2
32	7	2
32	8	2
32	9	4
32	10	0
32	11	0
32	12	1
32	13	1
32	14	1
32	15	0
32	16	0
32	17	0
33	1	0
33	2	0
33	3	0
33	4	1
33	5	0
33	6	0
33	7	1
33	8	0
33	9	0
33	10	0
33	11	0
33	12	0
33	13	0
33	14	0
33	15	0
33	16	0
33	17	0
34	1	0
34	2	0
34	3	0
34	4	0
34	5	0
34	6	1
34	7	0
34	8	0
34	9	0
34	10	0
34	11	0
34	12	0
34	13	0
34	14	0
34	15	0
34	16	0
34	17	0
35	1	0
35	2	0
35	3	2
35	4	4
35	5	0
35	6	1
35	7	0
35	8	0
35	9	0
35	10	0
35	11	0
35	12	0
35	13	1
35	14	0
35	15	0
35	16	0
35	17	0
36	1	0
36	2	1
36	3	2
36	4	6
36	5	0
