day	hour	value
1	1	13
1	2	1
1	3	5
1	4	11
1	5	7
1	6	8
1	7	9
1	8	6
1	9	2
1	10	2
1	11	0
1	12	1
1	13	1
1	14	5
1	15	0
1	16	0
1	17	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	2
2	14	0
2	15	0
2	16	0
2	17	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	2
3	7	5
3	8	15
3	9	0
3	10	5
3	11	1
3	12	1
3	13	1
3	14	1
3	15	0
3	16	0
3	17	0
4	1	1
4	2	1
4	3	0
4	4	8
4	5	8
4	6	0
4	7	5
4	8	4
4	9	0
4	10	9
4	11	5
4	12	3
4	13	5
4	14	7
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
5	14	1
5	15	0
5	16	0
5	17	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	2
6	11	3
6	12	0
6	13	1
6	14	1
6	15	0
6	16	5
6	17	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	2
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	1
7	14	1
7	15	0
7	16	0
7	17	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	2
8	6	8
8	7	0
8	8	1
8	9	5
8	10	0
8	11	0
8	12	0
8	13	0
8	14	0
8	15	0
8	16	0
8	17	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	1
9	8	0
9	9	0
9	10	0
9	11	0
9	12	0
9	13	0
9	14	0
9	15	0
9	16	0
9	17	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	0
10	7	1
10	8	0
10	9	0
10	10	0
10	11	0
10	12	0
10	13	0
10	14	0
10	15	0
10	16	0
10	17	0
11	1	3
11	2	1
11	3	0
11	4	1
11	5	0
11	6	0
11	7	1
11	8	0
11	9	0
11	10	0
11	11	0
11	12	0
11	13	0
11	14	0
11	15	0
11	16	0
11	17	0
12	1	7
12	2	2
12	3	10
12	4	32
12	5	20
12	6	14
12	7	31
12	8	1
12	9	7
12	10	2
12	11	0
12	12	1
12	13	3
12	14	1
12	15	0
12	16	23
12	17	0
13	1	1
13	2	0
13	3	0
13	4	0
13	5	3
13	6	1
13	7	0
13	8	0
13	9	0
13	10	0
13	11	0
13	12	0
13	13	0
13	14	0
13	15	0
13	16	0
13	17	0
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	0
14	7	2
14	8	0
14	9	1
14	10	0
14	11	0
14	12	0
14	13	0
14	14	0
14	15	0
14	16	0
14	17	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	31
15	11	33
15	12	7
15	13	2
15	14	5
15	15	0
15	16	0
15	17	40
16	1	404
16	2	316
16	3	403
16	4	399
16	5	518
16	6	328
16	7	422
16	8	421
16	9	434
16	10	325
16	11	370
16	12	404
16	13	338
16	14	298
16	15	586
16	16	400
16	17	374
17	1	49
17	2	2
17	3	29
17	4	54
17	5	20
17	6	36
17	7	30
17	8	16
17	9	2
17	10	7
17	11	2
17	12	4
17	13	4
17	14	6
17	15	32
17	16	29
17	17	18
18	1	187
18	2	17
18	3	64
18	4	129
18	5	48
18	6	104
18	7	77
18	8	82
18	9	27
18	10	32
18	11	11
18	12	32
18	13	39
18	14	32
18	15	83
18	16	68
18	17	66
19	1	0
19	2	0
19	3	0
19	4	0
19	5	0
19	6	0
19	7	0
19	8	0
19	9	0
19	10	0
19	11	0
19	12	0
19	13	0
19	14	0
19	15	0
19	16	0
19	17	0
20	1	4
20	2	1
20	3	0
20	4	4
20	5	5
20	6	5
20	7	9
20	8	13
20	9	10
20	10	2
20	11	2
20	12	3
20	13	1
20	14	4
20	15	0
20	16	0
20	17	0
21	1	3
21	2	2
21	3	3
21	4	4
21	5	3
21	6	5
21	7	17
21	8	0
21	9	1
21	10	3
21	11	0
21	12	6
21	13	1
21	14	0
21	15	0
21	16	0
21	17	0
22	1	0
22	2	0
22	3	1
22	4	0
22	5	0
22	6	1
22	7	0
22	8	0
22	9	0
22	10	0
22	11	0
22	12	0
22	13	0
22	14	0
22	15	0
22	16	0
22	17	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	2
23	6	1
23	7	0
23	8	0
23	9	0
23	10	0
23	11	0
23	12	0
23	13	0
23	14	0
23	15	0
23	16	0
23	17	0
24	1	0
24	2	0
24	3	1
24	4	0
24	5	0
24	6	0
24	7	1
24	8	0
24	9	0
24	10	0
24	11	0
24	12	0
24	13	0
24	14	0
24	15	0
24	16	0
24	17	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	4
25	13	1
25	14	1
25	15	0
25	16	42
25	17	65
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	2
26	7	45
26	8	23
26	9	29
26	10	8
26	11	22
26	12	10
26	13	9
26	14	4
26	15	82
26	16	12
26	17	15
27	1	0
27	2	0
27	3	0
27	4	0
27	5	0
27	6	0
27	7	0
27	8	0
27	9	1
27	10	0
27	11	0
27	12	0
27	13	0
27	14	0
27	15	0
27	16	0
27	17	0
28	1	0
28	2	0
28	3	0
28	4	0
28	5	0
28	6	0
28	7	0
28	8	0
28	9	0
28	10	0
28	11	0
28	12	0
28	13	0
28	14	0
28	15	0
28	16	0
28	17	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	1
29	7	1
29	8	1
29	9	0
29	10	0
29	11	0
29	12	0
29	13	0
29	14	0
29	15	0
29	16	0
29	17	0
30	1	0
30	2	0
30	3	0
30	4	0
30	5	0
30	6	0
30	7	0
30	8	0
30	9	0
30	10	0
30	11	0
30	12	0
30	13	0
30	14	0
30	15	0
30	16	0
30	17	0
31	1	0
31	2	0
31	3	0
31	4	0
31	5	0
31	6	1
31	7	1
31	8	0
31	9	1
31	10	0
31	11	0
31	12	0
31	13	0
31	14	0
31	15	0
31	16	0
31	17	0
32	1	4
32	2	0
32	3	0
32	4	0
32	5	15
32	6	34
32	7	2
32	8	8
32	9	1
32	10	1
32	11	4
32	12	2
32	13	3
32	14	2
32	15	0
32	16	0
32	17	13
33	1	2
33	2	0
33	3	2
33	4	2
33	5	5
33	6	0
33	7	0
33	8	0
33	9	1
33	10	0
33	11	0
33	12	2
33	13	3
33	14	2
33	15	0
33	16	0
33	17	0
34	1	2
34	2	3
34	3	0
34	4	7
34	5	13
34	6	19
34	7	4
34	8	12
34	9	5
34	10	1
34	11	1
34	12	5
34	13	19
34	14	2
34	15	0
34	16	0
34	17	22
35	1	11
35	2	3
35	3	3
35	4	4
35	5	36
35	6	35
35	7	5
35	8	17
35	9	2
35	10	4
35	11	10
35	12	11
35	13	11
35	14	1
35	15	0
35	16	17
35	17	0
36	1	1
36	2	0
36	3	0
36	4	0
36	5	1
36	6	0
36	7	0
36	8	0
36	9	0
36	10	0
36	11	0
36	12	0
36	13	0
36	14	0
36	15	0
36	16	0
36	17	0
37	1	0
37	2	0
37	3	0
37	4	0
37	5	0
37	6	0
37	7	0
37	8	0
37	9	0
37	10	0
37	11	0
37	12	0
37	13	0
37	14	0
37	15	0
37	16	0
37	17	0
38	1	20
38	2	5
38	3	8
38	4	22
38	5	18
38	6	11
38	7	13
38	8	12
38	9	4
38	10	13
38	11	10
38	12	12
38	13	19
38	14	4
38	15	0
38	16	0
38	17	0
39	1	1
39	2	0
39	3	0
39	4	1
39	5	0
39	6	0
39	7	0
39	8	0
39	9	0
39	10	1
39	11	0
39	12	1
39	13	0
39	14	0
39	15	0
39	16	0
39	17	0
40	1	375
40	2	397
40	3	325
40	4	604
40	5	400
40	6	491
40	7	483
40	8	687
40	9	525
40	10	523
40	11	768
40	12	796
40	13	795
40	14	809
40	15	1010
40	16	879
40	17	746
41	1	141
41	2	107
41	3	175
41	4	241
41	5	189
41	6	199
41	7	220
41	8	267
41	9	230
41	10	260
41	11	311
41	12	343
41	13	379
41	14	387
41	15	331
41	16	535
41	17	609
42	1	0
42	2	0
42	3	0
42	4	0
42	5	0
42	6	39
42	7	54
42	8	55
42	9	28
42	10	43
42	11	91
42	12	83
42	13	89
42	14	122
42	15	241
42	16	233
42	17	284
43	1	0
43	2	0
43	3	0
43	4	0
43	5	0
43	6	1
43	7	0
43	8	0
43	9	0
43	10	0
43	11	0
43	12	0
43	13	0
43	14	0
43	15	0
43	16	0
43	17	0
44	1	1
44	2	0
44	3	0
44	4	1
44	5	0
44	6	0
44	7	0
44	8	0
44	9	0
44	10	0
44	11	0
44	12	0
44	13	0
44	14	0
44	15	0
44	16	0
44	17	0
45	1	0
45	2	0
45	3	0
45	4	0
45	5	0
45	6	0
45	7	0
45	8	0
45	9	0
45	10	0
45	11	0
45	12	0
45	13	0
45	14	0
45	15	0
45	16	0
45	17	0
46	1	0
46	2	0
46	3	2
46	4	0
46	5	0
46	6	0
46	7	0
46	8	0
46	9	1
46	10	0
46	11	0
46	12	0
46	13	0
46	14	0
46	15	0
46	16	0
46	17	0
47	1	0
47	2	0
47	3	0
47	4	0
47	5	0
47	6	0
47	7	0
47	8	0
47	9	0
47	10	0
47	11	0
47	12	0
47	13	0
47	14	0
47	15	0
47	16	0
47	17	0
48	1	0
48	2	2
48	3	3
48	4	0
48	5	3
48	6	3
48	7	1
48	8	10
48	9	1
48	10	2
48	11	0
48	12	0
48	13	1
48	14	0
48	15	17
48	16	0
48	17	0
