day	hour	value
1	1	10
1	2	5
1	3	4
1	4	21
1	5	2
1	6	11
1	7	8
1	8	3
1	9	9
1	10	24
1	11	12
1	12	11
1	13	13
1	14	20
1	15	0
1	16	0
1	17	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	0
2	15	0
2	16	0
2	17	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	15
3	7	16
3	8	8
3	9	6
3	10	9
3	11	7
3	12	3
3	13	11
3	14	7
3	15	0
3	16	0
3	17	0
4	1	7
4	2	11
4	3	12
4	4	8
4	5	8
4	6	2
4	7	20
4	8	9
4	9	8
4	10	8
4	11	2
4	12	6
4	13	9
4	14	3
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	1
5	7	1
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
5	14	0
5	15	0
5	16	0
5	17	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	2
6	6	2
6	7	0
6	8	2
6	9	0
6	10	0
6	11	0
6	12	0
6	13	1
6	14	0
6	15	0
6	16	0
6	17	0
7	1	0
7	2	0
7	3	0
7	4	1
7	5	0
7	6	0
7	7	2
7	8	0
7	9	0
7	10	0
7	11	0
7	12	1
7	13	1
7	14	0
7	15	0
7	16	0
7	17	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	0
8	9	0
8	10	0
8	11	0
8	12	0
8	13	0
8	14	0
8	15	0
8	16	0
8	17	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	2
9	8	0
9	9	0
9	10	0
9	11	0
9	12	0
9	13	0
9	14	0
9	15	0
9	16	0
9	17	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	0
10	7	0
10	8	1
10	9	0
10	10	0
10	11	0
10	12	0
10	13	0
10	14	1
10	15	0
10	16	0
10	17	0
11	1	0
11	2	1
11	3	3
11	4	5
11	5	2
11	6	4
11	7	6
11	8	2
11	9	2
11	10	1
11	11	2
11	12	4
11	13	8
11	14	4
11	15	0
11	16	0
11	17	0
12	1	0
12	2	0
12	3	1
12	4	1
12	5	1
12	6	4
12	7	0
12	8	0
12	9	0
12	10	1
12	11	0
12	12	0
12	13	0
12	14	0
12	15	0
12	16	0
12	17	0
13	1	0
13	2	1
13	3	0
13	4	0
13	5	0
13	6	0
13	7	1
13	8	0
13	9	0
13	10	0
13	11	0
13	12	0
13	13	0
13	14	0
13	15	0
13	16	0
13	17	0
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	0
14	7	0
14	8	0
14	9	0
14	10	0
14	11	0
14	12	0
14	13	0
14	14	0
14	15	0
14	16	0
14	17	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	32
15	11	51
15	12	32
15	13	24
15	14	16
15	15	0
15	16	0
15	17	17
16	1	33
16	2	57
16	3	25
16	4	84
16	5	41
16	6	39
16	7	66
16	8	53
16	9	64
16	10	36
16	11	28
16	12	40
16	13	40
16	14	22
16	15	130
16	16	64
16	17	64
17	1	253
17	2	224
17	3	230
17	4	294
17	5	204
17	6	181
17	7	168
17	8	181
17	9	181
17	10	194
17	11	178
17	12	149
17	13	161
17	14	167
17	15	102
17	16	199
17	17	173
18	1	960
18	2	1307
18	3	1134
18	4	1290
18	5	1298
18	6	1211
18	7	1353
18	8	1396
18	9	1410
18	10	1265
18	11	1320
18	12	1166
18	13	1357
18	14	1543
18	15	1668
18	16	1655
18	17	1686
19	1	0
19	2	0
19	3	0
19	4	0
19	5	0
19	6	0
19	7	0
19	8	0
19	9	0
19	10	0
19	11	0
19	12	0
19	13	0
19	14	0
19	15	0
19	16	0
19	17	0
20	1	12
20	2	9
20	3	11
20	4	9
20	5	4
20	6	15
20	7	4
20	8	8
20	9	5
20	10	8
20	11	2
20	12	2
20	13	0
20	14	5
20	15	0
20	16	0
20	17	0
21	1	2
21	2	2
21	3	2
21	4	6
21	5	1
21	6	7
21	7	6
21	8	0
21	9	0
21	10	14
21	11	2
21	12	4
21	13	2
21	14	4
21	15	0
21	16	0
21	17	0
22	1	0
22	2	0
22	3	0
22	4	0
22	5	0
22	6	0
22	7	0
22	8	0
22	9	0
22	10	0
22	11	0
22	12	0
22	13	0
22	14	0
22	15	0
22	16	0
22	17	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	0
23	7	0
23	8	0
23	9	1
23	10	0
23	11	0
23	12	0
23	13	0
23	14	0
23	15	0
23	16	0
23	17	0
24	1	0
24	2	0
24	3	0
24	4	2
24	5	0
24	6	1
24	7	0
24	8	0
24	9	0
24	10	0
24	11	0
24	12	0
24	13	0
24	14	0
24	15	0
24	16	0
24	17	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	0
25	13	12
25	14	4
25	15	0
25	16	17
25	17	0
26	1	0
26	2	0
26	3	0
26	4	0
26	5	0
26	6	19
26	7	14
26	8	17
26	9	9
26	10	16
26	11	2
26	12	10
26	13	4
26	14	6
26	15	0
26	16	0
26	17	0
27	1	0
27	2	0
27	3	0
27	4	0
27	5	0
27	6	0
27	7	0
27	8	0
27	9	0
27	10	0
27	11	0
27	12	0
27	13	0
27	14	0
27	15	0
27	16	0
27	17	0
28	1	0
28	2	0
28	3	0
28	4	0
28	5	0
28	6	0
28	7	0
28	8	0
28	9	0
28	10	0
28	11	0
28	12	0
28	13	0
28	14	0
28	15	0
28	16	0
28	17	0
29	1	0
29	2	0
