day	hour	value
1	1	7
1	2	7
1	3	5
1	4	3
1	5	3
1	6	2
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	1
1	13	3
1	14	0
1	15	0
1	16	34
1	17	0
2	1	0
2	2	0
2	3	2
2	4	2
2	5	0
2	6	40
2	7	15
2	8	2
2	9	18
2	10	4
2	11	2
2	12	14
2	13	6
2	14	9
2	15	16
2	16	0
2	17	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	33
3	7	32
3	8	25
3	9	23
3	10	41
3	11	41
3	12	40
3	13	48
3	14	36
3	15	28
3	16	75
3	17	69
4	1	4
4	2	3
4	3	6
4	4	8
4	5	18
4	6	6
4	7	7
4	8	0
4	9	2
4	10	6
4	11	16
4	12	15
4	13	11
4	14	7
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	1
5	7	7
5	8	23
5	9	10
5	10	4
5	11	8
5	12	8
5	13	18
5	14	11
5	15	0
5	16	0
5	17	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	4
6	6	5
6	7	3
6	8	2
6	9	0
6	10	1
6	11	1
6	12	2
6	13	0
6	14	0
6	15	0
6	16	14
6	17	0
7	1	66
7	2	36
7	3	61
7	4	47
7	5	39
7	6	37
7	7	34
7	8	36
7	9	45
7	10	41
7	11	82
7	12	79
7	13	42
7	14	40
7	15	0
7	16	0
7	17	21
8	1	79
8	2	148
8	3	129
8	4	90
8	5	121
8	6	170
8	7	92
8	8	146
8	9	157
8	10	79
8	11	88
8	12	134
8	13	142
8	14	107
8	15	91
8	16	150
8	17	305
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	35
9	7	135
9	8	84
9	9	134
9	10	76
9	11	62
9	12	97
9	13	99
9	14	122
9	15	16
9	16	76
9	17	60
10	1	102
10	2	73
10	3	95
10	4	86
10	5	117
10	6	92
10	7	209
10	8	183
10	9	170
10	10	109
10	11	150
10	12	100
10	13	140
10	14	91
10	15	97
10	16	430
10	17	141
11	1	41
11	2	31
11	3	50
11	4	26
11	5	46
11	6	24
11	7	33
11	8	45
11	9	52
11	10	14
11	11	44
11	12	50
11	13	41
11	14	42
11	15	0
11	16	68
11	17	0
12	1	13
12	2	4
12	3	30
12	4	14
12	5	34
12	6	13
12	7	25
12	8	12
12	9	18
12	10	7
12	11	5
12	12	19
12	13	13
12	14	9
12	15	0
12	16	15
12	17	11
13	1	14
13	2	19
13	3	28
13	4	24
13	5	41
13	6	16
13	7	11
13	8	11
13	9	14
13	10	6
13	11	12
13	12	9
13	13	7
13	14	2
13	15	0
13	16	0
13	17	0
14	1	69
14	2	12
14	3	76
14	4	57
14	5	92
14	6	62
14	7	107
14	8	56
14	9	75
14	10	42
14	11	31
14	12	42
14	13	50
14	14	21
14	15	0
14	16	57
14	17	44
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	6
15	11	6
15	12	5
15	13	9
15	14	9
15	15	0
15	16	67
15	17	57
16	1	1
16	2	0
16	3	0
16	4	0
16	5	0
16	6	1
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	0
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
17	1	0
17	2	0
17	3	0
17	4	10
17	5	17
17	6	5
17	7	18
17	8	0
17	9	0
17	10	0
17	11	0
17	12	0
17	13	1
17	14	0
17	15	0
17	16	0
17	17	0
18	1	0
18	2	0
18	3	0
18	4	1
18	5	2
18	6	2
18	7	4
18	8	0
18	9	0
18	10	0
18	11	0
18	12	0
18	13	0
18	14	0
18	15	0
18	16	0
18	17	0
19	1	272
19	2	306
19	3	311
19	4	200
19	5	235
19	6	455
19	7	203
19	8	339
19	9	312
19	10	182
19	11	189
19	12	278
19	13	278
19	14	205
19	15	80
19	16	85
19	17	147
20	1	61
20	2	52
20	3	38
20	4	54
20	5	44
20	6	25
20	7	26
20	8	13
20	9	9
20	10	9
20	11	7
20	12	9
20	13	11
20	14	10
20	15	0
20	16	0
20	17	0
21	1	1
21	2	5
21	3	0
21	4	3
21	5	8
21	6	4
21	7	14
21	8	3
21	9	12
21	10	2
21	11	0
21	12	3
21	13	6
21	14	0
21	15	0
21	16	0
21	17	21
22	1	57
22	2	117
22	3	80
22	4	73
22	5	125
22	6	134
22	7	58
22	8	109
22	9	148
22	10	50
22	11	62
22	12	112
22	13	106
22	14	69
22	15	39
22	16	132
22	17	0
23	1	148
23	2	172
23	3	58
23	4	166
23	5	132
23	6	45
23	7	29
23	8	30
23	9	28
23	10	18
23	11	24
23	12	65
23	13	27
23	14	45
23	15	66
23	16	60
23	17	41
24	1	13
24	2	7
24	3	6
24	4	7
24	5	8
24	6	11
24	7	5
24	8	13
24	9	8
24	10	0
24	11	4
24	12	0
24	13	1
24	14	3
24	15	58
24	16	0
24	17	29
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	0
25	9	0
25	10	0
25	11	0
25	12	29
