day	hour	value
1	1	61
1	2	20
1	3	12
1	4	63
1	5	33
1	6	13
1	7	34
1	8	38
1	9	36
1	10	53
1	11	38
1	12	43
1	13	22
1	14	39
1	15	0
1	16	12
1	17	12
2	1	0
2	2	7
2	3	13
2	4	2
2	5	17
2	6	74
2	7	149
2	8	56
2	9	82
2	10	67
2	11	29
2	12	66
2	13	27
2	14	113
2	15	52
2	16	12
2	17	28
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	19
3	7	20
3	8	27
3	9	47
3	10	23
3	11	16
3	12	27
3	13	14
3	14	34
3	15	0
3	16	44
3	17	0
4	1	3
4	2	2
4	3	5
4	4	1
4	5	2
4	6	0
4	7	2
4	8	1
4	9	3
4	10	3
4	11	2
4	12	2
4	13	4
4	14	2
4	15	0
4	16	0
4	17	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	12
5	7	15
5	8	4
5	9	12
5	10	3
5	11	1
5	12	12
5	13	3
5	14	8
5	15	0
5	16	15
5	17	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	1
6	6	2
6	7	4
6	8	0
6	9	3
6	10	0
6	11	6
6	12	5
6	13	1
6	14	0
6	15	0
6	16	0
6	17	0
7	1	20
7	2	9
7	3	6
7	4	9
7	5	5
7	6	5
7	7	17
7	8	8
7	9	11
7	10	14
7	11	13
7	12	9
7	13	29
7	14	9
7	15	28
7	16	0
7	17	0
8	1	483
8	2	629
8	3	404
8	4	639
8	5	562
8	6	841
8	7	914
8	8	772
8	9	1038
8	10	1018
8	11	775
8	12	821
8	13	745
8	14	912
8	15	835
8	16	667
8	17	869
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	89
9	7	116
9	8	173
9	9	135
9	10	131
9	11	129
9	12	160
9	13	133
9	14	91
9	15	81
9	16	291
9	17	127
10	1	29
10	2	12
10	3	6
10	4	52
10	5	15
10	6	20
10	7	31
10	8	47
10	9	42
10	10	15
10	11	20
10	12	32
10	13	36
10	14	32
10	15	0
10	16	0
10	17	39
11	1	23
11	2	3
11	3	5
11	4	19
11	5	14
11	6	6
11	7	15
11	8	18
11	9	21
11	10	11
11	11	8
11	12	22
11	13	17
11	14	14
11	15	0
11	16	13
11	17	0
12	1	12
12	2	16
12	3	6
12	4	13
12	5	13
12	6	22
12	7	24
12	8	7
12	9	34
12	10	3
12	11	8
12	12	16
12	13	6
12	14	13
12	15	24
12	16	0
12	17	12
13	1	16
13	2	10
13	3	34
13	4	58
13	5	43
13	6	16
13	7	13
13	8	3
13	9	10
13	10	4
13	11	2
13	12	4
13	13	1
13	14	2
13	15	0
13	16	0
13	17	0
14	1	15
14	2	33
14	3	13
14	4	32
14	5	21
14	6	34
14	7	20
14	8	41
14	9	33
14	10	9
14	11	22
14	12	35
14	13	37
14	14	51
14	15	28
14	16	88
14	17	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	37
15	11	16
15	12	14
15	13	6
15	14	24
15	15	0
15	16	0
15	17	0
16	1	0
16	2	0
16	3	1
16	4	2
16	5	0
16	6	1
16	7	0
16	8	0
16	9	2
16	10	0
16	11	0
16	12	0
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	0
17	7	0
17	8	2
17	9	0
17	10	0
17	11	0
17	12	0
17	13	0
17	14	0
17	15	0
17	16	0
17	17	0
18	1	1
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	1
18	8	1
18	9	0
18	10	0
18	11	0
18	12	0
18	13	0
18	14	2
18	15	0
18	16	0
18	17	0
19	1	81
19	2	52
19	3	37
19	4	131
19	5	96
19	6	86
19	7	174
19	8	119
19	9	149
19	10	69
19	11	75
19	12	97
19	13	34
19	14	53
19	15	387
19	16	24
19	17	30
