day	hour	value
1	1	2095
1	2	1820
1	3	2584
1	4	3015
1	5	3055
1	6	3143
1	7	3189
1	8	3573
1	9	3756
1	10	3559
1	11	3631
1	12	3698
1	13	4200
1	14	4263
1	15	6254
1	16	5591
1	17	3931
2	1	0
2	2	296
2	3	347
2	4	418
2	5	527
2	6	2915
2	7	3815
2	8	4308
2	9	5113
2	10	3955
2	11	5353
2	12	5881
2	13	6272
2	14	6630
2	15	8686
2	16	8409
2	17	7727
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	483
3	7	633
3	8	622
3	9	845
3	10	482
3	11	511
3	12	556
3	13	601
3	14	585
3	15	341
3	16	372
3	17	333
4	1	70
4	2	91
4	3	99
4	4	115
4	5	175
4	6	80
4	7	134
4	8	100
4	9	95
4	10	156
4	11	135
4	12	148
4	13	168
4	14	143
4	15	52
4	16	126
4	17	128
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	1158
5	7	1632
5	8	1713
5	9	2075
5	10	1812
5	11	2173
5	12	2357
5	13	2536
5	14	2416
5	15	3086
5	16	2754
5	17	2768
6	1	0
6	2	0
6	3	0
6	4	0
6	5	851
6	6	814
6	7	916
6	8	940
6	9	997
6	10	857
6	11	972
6	12	1261
6	13	1216
6	14	1189
6	15	2101
6	16	1741
6	17	1843
7	1	288
7	2	269
7	3	295
7	4	363
7	5	346
7	6	243
7	7	300
7	8	345
7	9	393
7	10	346
7	11	330
7	12	437
7	13	434
7	14	421
7	15	641
7	16	399
7	17	496
8	1	1151
8	2	1323
8	3	1164
8	4	1396
8	5	1703
8	6	1700
8	7	1744
8	8	1850
8	9	2229
8	10	1899
8	11	1934
8	12	2049
8	13	1998
8	14	2051
8	15	2075
8	16	2026
8	17	2169
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	295
9	7	399
9	8	419
9	9	472
9	10	401
9	11	395
9	12	448
9	13	471
9	14	435
9	15	373
9	16	516
9	17	439
10	1	605
10	2	700
10	3	615
10	4	832
10	5	1017
10	6	1114
10	7	1334
10	8	1362
10	9	1653
10	10	1055
10	11	1184
10	12	1221
10	13	1234
10	14	1264
10	15	1563
10	16	1809
10	17	1695
11	1	506
11	2	470
11	3	440
11	4	550
11	5	724
11	6	667
11	7	605
11	8	771
11	9	777
11	10	559
11	11	623
11	12	719
11	13	620
11	14	739
11	15	789
11	16	906
11	17	713
12	1	1394
12	2	1265
12	3	1378
12	4	1598
12	5	2161
12	6	1644
12	7	2205
12	8	2526
12	9	3013
12	10	2244
12	11	2960
12	12	3395
12	13	3680
12	14	3702
12	15	7325
12	16	6789
12	17	5886
13	1	116
13	2	93
13	3	195
13	4	221
13	5	245
13	6	99
13	7	104
13	8	80
13	9	109
13	10	30
13	11	47
13	12	38
13	13	43
13	14	31
13	15	18
13	16	0
13	17	0
14	1	3020
14	2	3127
14	3	3302
14	4	3824
14	5	4710
14	6	5043
14	7	5788
14	8	6516
14	9	7518
14	10	6326
14	11	7077
14	12	8210
14	13	8619
14	14	9403
14	15	13474
14	16	12039
14	17	11262
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	0
15	10	1227
15	11	1385
15	12	1534
15	13	1767
15	14	1877
15	15	2270
15	16	1446
15	17	2823
16	1	460
16	2	402
16	3	466
16	4	536
16	5	660
16	6	425
16	7	531
16	8	520
16	9	589
16	10	411
16	11	414
16	12	480
16	13	428
16	14	348
16	15	716
16	16	464
16	17	450
17	1	553
17	2	546
17	3	564
17	4	730
17	5	763
17	6	697
17	7	659
17	8	738
17	9	876
17	10	752
17	11	774
17	12	818
17	13	835
17	14	873
17	15	1053
17	16	984
