day	hour	value
1	1	0
1	2	10
1	3	22
1	4	27
1	5	11
1	6	12
1	7	10
1	8	24
1	9	32
1	10	14
1	11	57
1	12	54
1	13	66
1	14	67
1	15	0
1	16	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	3
2	7	10
2	8	33
2	9	14
2	10	6
2	11	27
2	12	20
2	13	21
2	14	23
2	15	51
2	16	81
3	1	0
3	2	20
3	3	11
3	4	9
3	5	9
3	6	13
3	7	8
3	8	24
3	9	38
3	10	27
3	11	43
3	12	66
3	13	51
3	14	32
3	15	130
3	16	32
4	1	0
4	2	3
4	3	30
4	4	4
4	5	6
4	6	6
4	7	10
4	8	25
4	9	14
4	10	14
4	11	48
4	12	55
4	13	48
4	14	47
4	15	59
4	16	95
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	29
5	7	30
5	8	116
5	9	83
5	10	67
5	11	133
5	12	141
5	13	166
5	14	153
5	15	332
5	16	246
6	1	0
6	2	20
6	3	19
6	4	22
6	5	21
6	6	10
6	7	17
6	8	46
6	9	41
6	10	26
6	11	63
6	12	57
6	13	46
6	14	63
6	15	26
6	16	44
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	4
7	7	8
7	8	25
7	9	13
7	10	11
7	11	39
7	12	28
7	13	33
7	14	35
7	15	22
7	16	139
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	7
8	7	5
8	8	21
8	9	26
8	10	13
8	11	51
8	12	61
8	13	72
8	14	57
8	15	292
8	16	163
9	1	0
9	2	0
9	3	5
9	4	1
9	5	2
9	6	1
9	7	4
9	8	4
9	9	1
9	10	2
9	11	4
9	12	3
9	13	14
9	14	5
9	15	22
9	16	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	8
10	7	12
10	8	60
10	9	44
10	10	47
10	11	126
10	12	115
10	13	100
10	14	109
10	15	128
10	16	44
11	1	0
11	2	0
11	3	0
11	4	0
11	5	0
11	6	0
11	7	0
11	8	0
11	9	0
11	10	0
11	11	0
11	12	30
11	13	34
11	14	49
11	15	119
11	16	26
12	1	0
12	2	3
12	3	2
12	4	4
12	5	4
12	6	28
12	7	27
12	8	95
12	9	85
12	10	60
12	11	141
12	12	163
12	13	211
12	14	242
12	15	737
12	16	610
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	8
13	7	15
13	8	28
13	9	37
13	10	20
13	11	41
13	12	58
13	13	38
13	14	52
13	15	205
13	16	223
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	4
14	7	13
14	8	36
14	9	60
14	10	25
14	11	63
14	12	89
14	13	80
14	14	87
14	15	300
14	16	199
15	1	0
15	2	7
15	3	13
15	4	3
15	5	8
15	6	3
15	7	4
15	8	19
15	9	18
15	10	12
15	11	28
15	12	18
15	13	20
15	14	15
15	15	0
15	16	32
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	22
16	7	37
16	8	127
16	9	144
16	10	65
16	11	164
16	12	207
16	13	168
16	14	185
16	15	547
16	16	195
17	1	0
17	2	14
17	3	5
17	4	4
17	5	6
17	6	14
17	7	7
17	8	25
17	9	60
17	10	40
17	11	53
17	12	73
17	13	83
17	14	58
17	15	104
17	16	192
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	1
18	7	0
18	8	4
18	9	15
18	10	1
18	11	12
18	12	28
18	13	37
18	14	37
18	15	76
18	16	32
19	1	0
19	2	3
19	3	2
19	4	4
19	5	1
19	6	0
19	7	1
19	8	1
19	9	2
19	10	0
19	11	4
19	12	7
19	13	2
19	14	6
19	15	0
19	16	0
20	1	0
20	2	1
20	3	2
20	4	1
20	5	2
20	6	1
20	7	0
20	8	18
20	9	10
20	10	13
20	11	20
20	12	32
20	13	7
20	14	16
20	15	0
20	16	0
21	1	0
21	2	4
21	3	5
21	4	12
21	5	7
21	6	10
21	7	13
21	8	24
21	9	42
21	10	17
21	11	24
21	12	40
21	13	54
21	14	86
21	15	0
21	16	88
22	1	0
22	2	13
22	3	2
22	4	8
22	5	8
22	6	2
22	7	2
22	8	12
22	9	32
22	10	26
22	11	30
22	12	37
22	13	23
22	14	26
22	15	20
22	16	56
23	1	0
23	2	7
23	3	6
23	4	14
23	5	14
23	6	8
23	7	5
23	8	9
23	9	14
23	10	16
23	11	26
23	12	30
23	13	44
23	14	42
23	15	56
23	16	23
