day	hour	value
1	1	31
1	2	6
1	3	20
1	4	13
1	5	29
1	6	3
1	7	12
1	8	6
1	9	18
1	10	6
1	11	6
1	12	6
1	13	9
1	14	9
1	15	0
1	16	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	3
2	8	2
2	9	6
2	10	5
2	11	10
2	12	3
2	13	4
2	14	7
2	15	0
2	16	0
3	1	85
3	2	55
3	3	68
3	4	58
3	5	94
3	6	54
3	7	56
3	8	60
3	9	65
3	10	52
3	11	80
3	12	74
3	13	93
3	14	91
3	15	0
3	16	251
4	1	18
4	2	23
4	3	16
4	4	19
4	5	25
4	6	8
4	7	11
4	8	5
4	9	15
4	10	11
4	11	11
4	12	5
4	13	11
4	14	11
4	15	0
4	16	16
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	24
5	7	60
5	8	40
5	9	83
5	10	46
5	11	64
5	12	31
5	13	63
5	14	66
5	15	155
5	16	160
6	1	47
6	2	48
6	3	55
6	4	17
6	5	88
6	6	18
6	7	39
6	8	33
6	9	55
6	10	38
6	11	43
6	12	32
6	13	56
6	14	59
6	15	142
6	16	120
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	1
7	7	0
7	8	2
7	9	4
7	10	10
7	11	7
7	12	8
7	13	8
7	14	13
7	15	0
7	16	52
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	2
8	7	11
8	8	10
8	9	16
8	10	9
8	11	9
8	12	13
8	13	29
8	14	22
8	15	135
8	16	70
9	1	1
9	2	0
9	3	0
9	4	0
9	5	1
9	6	0
9	7	1
9	8	0
9	9	1
9	10	0
9	11	0
9	12	0
9	13	2
9	14	1
9	15	0
9	16	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	15
10	7	48
10	8	29
10	9	55
10	10	44
10	11	55
10	12	41
10	13	65
10	14	58
10	15	209
10	16	80
11	1	0
11	2	0
11	3	0
11	4	0
11	5	0
11	6	0
11	7	0
11	8	0
11	9	0
11	10	0
11	11	0
11	12	8
11	13	17
11	14	24
11	15	52
11	16	0
12	1	1
12	2	3
12	3	1
12	4	1
12	5	11
12	6	8
12	7	18
12	8	6
12	9	14
12	10	10
12	11	16
12	12	8
12	13	19
12	14	19
12	15	44
12	16	59
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	10
13	7	20
13	8	3
13	9	10
13	10	19
13	11	14
13	12	16
13	13	25
13	14	27
13	15	139
13	16	83
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	2
14	7	6
14	8	2
14	9	5
14	10	6
14	11	7
14	12	3
14	13	14
14	14	6
14	15	0
14	16	0
15	1	7
15	2	1
15	3	1
15	4	0
15	5	6
15	6	2
15	7	7
15	8	8
15	9	7
15	10	4
15	11	2
15	12	1
15	13	1
15	14	10
15	15	0
15	16	61
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	11
16	7	36
16	8	12
16	9	31
16	10	59
16	11	30
16	12	52
16	13	78
16	14	80
16	15	183
16	16	114
17	1	26
17	2	48
17	3	31
17	4	37
17	5	67
17	6	48
17	7	36
17	8	45
17	9	59
17	10	50
17	11	56
17	12	52
17	13	65
17	14	56
17	15	107
17	16	154
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	1
18	7	0
18	8	0
18	9	1
18	10	0
18	11	0
18	12	0
18	13	0
18	14	0
18	15	0
18	16	0
19	1	0
19	2	0
19	3	0
19	4	0
19	5	2
19	6	0
19	7	0
19	8	0
19	9	1
19	10	0
19	11	0
19	12	0
19	13	0
19	14	0
19	15	0
19	16	0
20	1	18
20	2	6
20	3	1
20	4	3
20	5	10
20	6	9
20	7	7
20	8	1
20	9	2
20	10	1
20	11	3
20	12	2
20	13	5
20	14	7
20	15	0
20	16	0
21	1	7
21	2	6
21	3	5
21	4	6
21	5	28
21	6	8
21	7	12
21	8	5
21	9	13
21	10	16
21	11	16
21	12	5
21	13	21
21	14	8
21	15	23
21	16	87
22	1	8
22	2	8
22	3	5
22	4	5
22	5	12
22	6	1
22	7	6
22	8	18
22	9	12
22	10	7
22	11	16
22	12	11
22	13	18
22	14	15
22	15	0
22	16	33
23	1	1
23	2	0
23	3	0
23	4	1
23	5	3
23	6	2
23	7	0
23	8	0
23	9	3
23	10	5
23	11	1
23	12	2
23	13	3
23	14	7
23	15	0
23	16	0
