day	hour	value
1	1	67
1	2	33
1	3	34
1	4	48
1	5	71
1	6	4
1	7	5
1	8	16
1	9	10
1	10	6
1	11	8
1	12	12
1	13	18
1	14	15
1	15	0
1	16	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	2
2	8	6
2	9	0
2	10	0
2	11	4
2	12	7
2	13	2
2	14	4
2	15	0
2	16	0
3	1	40
3	2	18
3	3	22
3	4	26
3	5	44
3	6	7
3	7	11
3	8	5
3	9	7
3	10	2
3	11	1
3	12	3
3	13	2
3	14	2
3	15	0
3	16	37
4	1	240
4	2	130
4	3	165
4	4	223
4	5	247
4	6	49
4	7	42
4	8	52
4	9	43
4	10	49
4	11	57
4	12	74
4	13	79
4	14	81
4	15	331
4	16	323
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	11
5	7	11
5	8	11
5	9	22
5	10	8
5	11	5
5	12	10
5	13	14
5	14	12
5	15	0
5	16	0
6	1	24
6	2	13
6	3	13
6	4	15
6	5	29
6	6	5
6	7	2
6	8	5
6	9	4
6	10	4
6	11	4
6	12	3
6	13	7
6	14	4
6	15	0
6	16	22
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	3
7	8	3
7	9	2
7	10	3
7	11	2
7	12	2
7	13	10
7	14	6
7	15	29
7	16	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	7
8	7	10
8	8	14
8	9	9
8	10	5
8	11	18
8	12	14
8	13	24
8	14	15
8	15	50
8	16	89
9	1	10
9	2	5
9	3	6
9	4	13
9	5	4
9	6	2
9	7	5
9	8	5
9	9	1
9	10	0
9	11	4
9	12	1
9	13	0
9	14	9
9	15	11
9	16	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	6
10	7	5
10	8	5
10	9	5
10	10	1
10	11	12
10	12	3
10	13	6
10	14	5
10	15	13
10	16	0
11	1	0
11	2	0
11	3	0
11	4	0
11	5	0
11	6	0
11	7	0
11	8	0
11	9	0
11	10	0
11	11	0
11	12	1
11	13	3
11	14	1
11	15	0
11	16	0
12	1	13
12	2	4
12	3	11
12	4	9
12	5	12
12	6	8
12	7	24
12	8	33
12	9	32
12	10	24
12	11	34
12	12	50
12	13	47
12	14	62
12	15	174
12	16	150
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	31
13	7	18
13	8	41
13	9	25
13	10	21
13	11	27
13	12	28
13	13	18
13	14	29
13	15	79
13	16	127
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	25
14	7	27
14	8	40
14	9	38
14	10	33
14	11	48
14	12	42
14	13	42
14	14	60
14	15	69
14	16	52
15	1	5
15	2	1
15	3	1
15	4	2
15	5	5
15	6	2
15	7	0
15	8	4
15	9	4
15	10	0
15	11	1
15	12	4
15	13	1
15	14	0
15	15	0
15	16	0
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	6
16	7	14
16	8	9
16	9	11
16	10	16
16	11	9
16	12	9
16	13	19
16	14	8
16	15	0
16	16	0
17	1	47
17	2	32
17	3	52
17	4	72
17	5	81
17	6	10
17	7	15
17	8	14
17	9	9
17	10	9
17	11	19
17	12	16
17	13	29
17	14	48
17	15	64
17	16	18
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	1
18	10	0
18	11	1
18	12	1
18	13	0
18	14	2
18	15	13
18	16	0
19	1	0
19	2	2
19	3	1
19	4	0
19	5	2
19	6	0
19	7	0
19	8	0
19	9	0
19	10	0
19	11	0
19	12	0
19	13	0
19	14	0
19	15	0
19	16	0
20	1	1
20	2	0
20	3	2
20	4	1
20	5	1
20	6	0
20	7	0
20	8	0
20	9	0
20	10	0
20	11	0
20	12	0
20	13	0
20	14	0
20	15	0
20	16	0
21	1	10
21	2	8
21	3	9
21	4	24
21	5	16
21	6	7
21	7	11
21	8	8
21	9	9
21	10	4
21	11	7
21	12	4
21	13	8
21	14	3
21	15	0
21	16	0
22	1	16
22	2	12
22	3	18
22	4	32
22	5	35
22	6	4
22	7	5
22	8	7
22	9	3
22	10	3
22	11	3
22	12	1
22	13	3
22	14	4
22	15	0
22	16	0
23	1	21
23	2	7
23	3	4
23	4	14
23	5	9
23	6	3
23	7	0
23	8	1
23	9	1
23	10	0
23	11	4
23	12	1
23	13	5
23	14	3
23	15	17
23	16	0
